K15n49936,"{(1, 1, (0,), (0,)): 1, (4, 24, (0, 2, 9, 617), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 9, 9, 9, 9, 19, 617, 617, 617)): 1, (3, 6, (0, 2, 2), (0, 2, 2, 2, 2, 3, 9, 19)): 1, (3, 3, (0, 5, 5, 23, 23), (0, 5, 5, 23, 23)): 1, (4, 24, (0, 2, 3, 3), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 9, 19, 367, 367, 367)): 1, (4, 24, (0, 2, 3, 3, 7, 8, 31), (0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 7, 7, 7, 9, 16, 19, 31, 31, 31, 64, 64)): 1, (2, 2, (0, 19, 27), (0, 19, 27)): 1, (4, 4, (0, 5, 5, 19, 27), (0, 5, 5, 19, 27)): 1}"
K15n50825,"{(1, 1, (0,), (0,)): 1, (4, 24, (0, 2, 3, 3), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 9, 19, 367, 367, 367)): 1, (4, 24, (0, 2, 3, 8, 13, 47), (0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 9, 13, 13, 13, 16, 19, 47, 47, 47, 64, 64)): 1, (4, 24, (0, 2, 3, 1747), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 9, 19, 1747, 1747, 1747)): 1, (3, 6, (0, 2, 2), (0, 2, 2, 2, 2, 3, 9, 19)): 1, (2, 2, (0, 19, 27), (0, 19, 27)): 1, (3, 3, (0, 5, 5, 23, 23), (0, 5, 5, 23, 23)): 1, (4, 4, (0, 5, 5, 19, 27), (0, 5, 5, 19, 27)): 1}"
K15n10668,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 523), (0, 523)): 1, (3, 3, (0, 7, 7, 23, 23), (0, 7, 7, 23, 23)): 1, (4, 4, (0, 29, 29, 523), (0, 29, 29, 523)): 1}"
K15a59378,"{(1, 1, (0,), (0,)): 1, (3, 3, (0, 251, 251), (0, 251, 251)): 1, (2, 2, (0, 11, 113), (0, 11, 113)): 1, (4, 4, (0, 11, 25, 25, 113), (0, 11, 25, 25, 113)): 1}"
K15a57589,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 11, 113), (0, 11, 113)): 1, (4, 4, (0, 11, 25, 25, 113), (0, 11, 25, 25, 113)): 1, (3, 3, (0, 251, 251), (0, 251, 251)): 1}"
K15n10696,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 523), (0, 523)): 1, (3, 3, (0, 7, 7, 23, 23), (0, 7, 7, 23, 23)): 1, (4, 4, (0, 29, 29, 523), (0, 29, 29, 523)): 1}"
K15a10035,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 727), (0, 727)): 1, (4, 12, (0, 2, 2, 5, 7), (0, 2, 2, 5, 5, 5, 7, 7, 7, 8, 8, 73, 73)): 1, (4, 4, (0, 11, 11, 727), (0, 11, 11, 727)): 1, (3, 3, (0, 2, 2, 73, 73), (0, 2, 2, 73, 73)): 1}"
K15n10263,"{(1, 1, (0,), (0,)): 1, (3, 3, (0, 23, 23), (0, 23, 23)): 1, (2, 2, (0, 173), (0, 173)): 1, (4, 4, (0, 17, 17, 173), (0, 17, 17, 173)): 1}"
K15a7627,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 727), (0, 727)): 1, (4, 12, (0, 2, 2, 5, 7), (0, 2, 2, 5, 5, 5, 7, 7, 7, 8, 8, 73, 73)): 1, (4, 4, (0, 11, 11, 727), (0, 11, 11, 727)): 1, (3, 3, (0, 2, 2, 73, 73), (0, 2, 2, 73, 73)): 1}"
K15n8187,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 173), (0, 173)): 1, (3, 3, (0, 23, 23), (0, 23, 23)): 1, (4, 4, (0, 17, 17, 173), (0, 17, 17, 173)): 1}"
K15n118005,"{(1, 1, (0,), (0,)): 1, (4, 24, (0, 2, 9), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 9, 9, 9, 43)): 1, (3, 6, (0, 2, 2), (0, 2, 2, 2, 2, 3, 43)): 1, (4, 12, (0, 7), (0, 2, 2, 5, 5, 7, 7, 7, 7, 7)): 1, (4, 24, (0, 0, 2, 7), (0, 0, 0, 0, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 7, 7, 7, 43)): 1, (4, 24, (0, 2, 7), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 7, 7, 7, 11, 11, 11, 43)): 1, (2, 2, (0, 3, 43), (0, 3, 43)): 1, (3, 3, (0, 2, 2, 5, 5, 7, 7), (0, 2, 2, 5, 5, 7, 7)): 1, (4, 4, (0, 3, 5, 5, 43), (0, 3, 5, 5, 43)): 1}"
K15n118552,"{(1, 1, (0,), (0,)): 1, (3, 3, (0, 2, 2, 5, 5, 7, 7), (0, 2, 2, 5, 5, 7, 7)): 1, (4, 24, (0, 2, 7), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 7, 7, 7, 11, 11, 11, 43)): 1, (3, 6, (0, 2, 2), (0, 2, 2, 2, 2, 3, 43)): 1, (2, 2, (0, 3, 43), (0, 3, 43)): 1, (4, 24, (0, 2, 9), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 9, 9, 9, 43)): 1, (4, 24, (0, 0, 2, 7), (0, 0, 0, 0, 3, 4, 4, 4, 7, 7, 7, 43, 47, 47, 47)): 1, (4, 12, (0, 7), (0, 2, 2, 5, 5, 7, 7, 7, 7, 7)): 1, (4, 4, (0, 3, 5, 5, 43), (0, 3, 5, 5, 43)): 1}"
K15a7229,"{(1, 1, (0,), (0,)): 1, (4, 24, (0, 2), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 7, 13, 13, 13, 25, 25, 25, 31)): 1, (4, 24, (0, 2, 9), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 7, 9, 9, 9, 9, 9, 9, 31, 43, 43, 43)): 1, (2, 2, (0, 3, 7, 31), (0, 3, 7, 31)): 1, (3, 3, (0, 2, 2, 49, 49), (0, 2, 2, 49, 49)): 1, (4, 4, (0, 3, 5, 5, 7, 31), (0, 3, 5, 5, 7, 31)): 1, (4, 24, (0, 0, 8), (0, 0, 0, 0, 3, 5, 5, 5, 7, 16, 16, 16, 31)): 1, (3, 6, (0, 2, 2), (0, 2, 2, 2, 2, 3, 7, 31)): 1, (4, 12, (0, 193), (0, 2, 2, 49, 49, 193, 193, 193)): 1}"
K15a7739,"{(1, 1, (0,), (0,)): 1, (4, 24, (0, 2), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 7, 13, 13, 13, 25, 25, 25, 31)): 1, (2, 2, (0, 3, 7, 31), (0, 3, 7, 31)): 1, (4, 24, (0, 2, 9), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 7, 9, 9, 9, 9, 9, 9, 31, 43, 43, 43)): 1, (4, 12, (0, 193), (0, 2, 2, 49, 49, 193, 193, 193)): 1, (4, 24, (0, 0, 8), (0, 0, 0, 0, 3, 7, 16, 16, 16, 31, 37, 37, 37)): 1, (3, 6, (0, 2, 2), (0, 2, 2, 2, 2, 3, 7, 31)): 1, (3, 3, (0, 2, 2, 49, 49), (0, 2, 2, 49, 49)): 1, (4, 4, (0, 3, 5, 5, 7, 31), (0, 3, 5, 5, 7, 31)): 1}"
K15n10082,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 13, 17), (0, 13, 17)): 1, (4, 4, (0, 9, 9, 13, 17), (0, 9, 9, 13, 17)): 1, (3, 3, (0, 7, 7), (0, 7, 7)): 1}"
K15n8105,"{(1, 1, (0,), (0,)): 1, (3, 3, (0, 7, 7), (0, 7, 7)): 1, (2, 2, (0, 13, 17), (0, 13, 17)): 1, (4, 4, (0, 9, 9, 13, 17), (0, 9, 9, 13, 17)): 1}"
K15n27392,"{(1, 1, (0,), (0,)): 1, (3, 3, (0, 37, 37), (0, 37, 37)): 1, (2, 2, (0, 313), (0, 313)): 1, (4, 4, (0, 313), (0, 313)): 1}"
K15n8836,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 313), (0, 313)): 1, (3, 3, (0, 37, 37), (0, 37, 37)): 1, (4, 4, (0, 313), (0, 313)): 1}"
