group,invariant
"['K15n8176', 'K15n29613']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 13, 17), (0, 13, 17)): 1, (4, 4, (0, 13, 17), (0, 13, 17)): 1, (5, 60, (0, 3, 61), (0, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 9, 9, 9, 9, 11, 11, 11, 11, 11, 41, 41, 41, 61, 61, 61, 61, 61, 61, 61, 61, 61, 89, 89, 89)): 1, (3, 3, (0, 25, 25), (0, 25, 25)): 1, (5, 5, (0, 139, 139), (0, 139, 139)): 1}"
"['K15a2220', 'K15a2257', 'K15a2584']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 953), (0, 953)): 1, (3, 3, (0, 277, 277), (0, 277, 277)): 1, (4, 4, (0, 41, 41, 953), (0, 41, 41, 953)): 1, (5, 5, (0, 2371, 2371), (0, 2371, 2371)): 1}"
"['K15a5482', 'K15a5497']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 2, 16), (0, 2, 7, 7, 13, 13, 16, 64, 64)): 1, (3, 3, (0, 2, 2, 7, 7, 13, 13), (0, 2, 2, 7, 7, 13, 13)): 1, (2, 2, (0, 563), (0, 563)): 1, (5, 5, (0, 3191, 3191), (0, 3191, 3191)): 1, (4, 4, (0, 37, 37, 563), (0, 37, 37, 563)): 1}"
"['K13n2527', 'K15n9379']","{(1, 1, (0,), (0,)): 1, (5, 10, (0, 11), (0, 5, 11, 11)): 1, (2, 2, (0, 5), (0, 5)): 1, (3, 3, (0, 7, 7), (0, 7, 7)): 1, (4, 4, (0, 5, 7, 7), (0, 5, 7, 7)): 1, (5, 5, (0, 2, 2, 2, 2, 3, 3, 3, 3), (0, 2, 2, 2, 2, 3, 3, 3, 3)): 1}"
"['K15n13130', 'K15n12987']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 7, 59), (0, 7, 59)): 1, (3, 3, (0, 7, 7, 19, 19), (0, 7, 7, 19, 19)): 1, (4, 4, (0, 7, 23, 23, 59), (0, 7, 23, 23, 59)): 1, (5, 5, (0, 661, 661), (0, 661, 661)): 1}"
"['K14a481', 'K14a683']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 7, 17), (0, 4, 4, 7, 7, 7, 17, 17, 17, 29, 29)): 1, (2, 2, (0, 487), (0, 487)): 1, (3, 3, (0, 4, 4, 29, 29), (0, 4, 4, 29, 29)): 1, (4, 4, (0, 7, 7, 487), (0, 7, 7, 487)): 1, (5, 5, (0, 919, 919), (0, 919, 919)): 1}"
"['K15n20303', 'K15n15223']","{(1, 1, (0,), (0,)): 1, (3, 3, (0, 101, 101), (0, 101, 101)): 1, (2, 2, (0, 383), (0, 383)): 1, (5, 5, (0, 89, 89), (0, 89, 89)): 1, (4, 4, (0, 11, 11, 383), (0, 11, 11, 383)): 1}"
"['K15n31924', 'K15n31877']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 13, 17), (0, 8, 8, 13, 13, 13, 17, 17, 17)): 1, (5, 60, (0, 3, 31), (0, 2, 2, 2, 2, 3, 4, 4, 5, 5, 5, 8, 8, 8, 8, 9, 9, 9, 9, 11, 11, 11, 31, 31, 31, 31, 89, 89, 89)): 1, (3, 3, (0, 8, 8), (0, 8, 8)): 1, (2, 2, (0, 7, 41), (0, 7, 41)): 1, (4, 4, (0, 7, 9, 9, 41), (0, 7, 9, 9, 41)): 1, (5, 5, (0,), (0,)): 1}"
"['K15a7526', 'K15a7405']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 17, 53), (0, 17, 53)): 1, (3, 3, (0, 157, 157), (0, 157, 157)): 1, (4, 4, (0, 11, 11, 17, 53), (0, 11, 11, 17, 53)): 1, (5, 5, (0, 701, 701), (0, 701, 701)): 1}"
"['K15n23196', 'K15n22996']","{(1, 1, (0,), (0,)): 1, (3, 3, (0, 107, 107), (0, 107, 107)): 1, (2, 2, (0, 19, 25), (0, 19, 25)): 1, (4, 4, (0, 17, 17, 19, 25), (0, 17, 17, 19, 25)): 1, (5, 5, (0, 11, 11, 101, 101), (0, 11, 11, 101, 101)): 1, (5, 10, (0, 5), (0, 5, 5, 5, 5, 19)): 1}"
"['K14n18466', 'K14n18695']","{(1, 1, (0,), (0,)): 1, (3, 3, (0, 49, 49), (0, 49, 49)): 1, (2, 2, (0, 11, 23), (0, 11, 23)): 1, (5, 60, (0, 0, 2, 3), (0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 8, 8, 16, 16, 16, 16, 16, 32, 32, 32, 32)): 1, (5, 5, (0, 121, 121), (0, 121, 121)): 1, (4, 4, (0, 3, 3, 11, 23), (0, 3, 3, 11, 23)): 1}"
"['K15n2427', 'K15n2013']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 113), (0, 113)): 1, (3, 3, (0, 31, 31), (0, 31, 31)): 1, (4, 4, (0, 9, 9, 113), (0, 9, 9, 113)): 1, (5, 5, (0, 431, 431), (0, 431, 431)): 1}"
"['K15a64692', 'K15a64603']","{(1, 1, (0,), (0,)): 1, (5, 60, (0, 2, 2, 3), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 8, 11, 11, 11, 16, 16, 16, 16)): 1, (2, 2, (0, 7, 61), (0, 7, 61)): 1, (3, 3, (0, 5, 5, 16, 16), (0, 5, 5, 16, 16)): 1, (4, 4, (0, 3, 3, 7, 61), (0, 3, 3, 7, 61)): 1, (5, 5, (0, 11, 11, 109, 109), (0, 11, 11, 109, 109)): 1, (4, 12, (0, 13, 31), (0, 5, 5, 13, 13, 13, 16, 16, 31, 31, 31)): 1}"
"['K14n562', 'K14n604']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 53), (0, 53)): 1, (4, 4, (0, 13, 13, 53), (0, 13, 13, 53)): 1, (4, 12, (0, 2, 4), (0, 2, 4, 8, 8, 8, 8)): 1, (5, 5, (0, 3, 3, 3, 3, 4, 4, 4, 4), (0, 3, 3, 3, 3, 4, 4, 4, 4)): 1, (3, 3, (0, 8, 8), (0, 8, 8)): 1}"
"['K15n10667', 'K15n6880', 'K15n6761']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 233), (0, 233)): 1, (3, 3, (0, 49, 49), (0, 49, 49)): 1, (4, 4, (0, 233), (0, 233)): 1, (5, 5, (0, 269, 269), (0, 269, 269)): 1}"
"['K15n119312', 'K15n119578']","{(1, 1, (0,), (0,)): 1, (4, 24, (0, 8), (0, 2, 3, 7, 8, 8, 13, 16, 64, 64)): 1, (4, 24, (0, 2, 2), (0, 2, 2, 2, 2, 3, 4, 7, 7, 7, 7, 13, 16, 16, 16, 16, 16)): 1, (4, 24, (0, 5, 16), (0, 2, 3, 5, 5, 5, 7, 8, 8, 13, 32, 128, 128, 271, 271, 271)): 1, (3, 6, (0, 2, 8), (0, 2, 2, 3, 7, 8, 8, 13)): 1, (5, 5, (0, 29, 29, 31, 31), (0, 29, 29, 31, 31)): 1, (2, 2, (0, 3, 7, 13), (0, 3, 7, 13)): 1, (3, 3, (0, 43, 43), (0, 43, 43)): 1, (4, 4, (0, 3, 7, 7, 7, 13), (0, 3, 7, 7, 7, 13)): 1}"
"['K15n340', 'K15n1089']","{(1, 1, (0,), (0,)): 1, (3, 6, (0,), (0, 3, 3, 41)): 1, (2, 2, (0, 9, 41), (0, 9, 41)): 1, (3, 3, (0, 127, 127), (0, 127, 127)): 1, (4, 4, (0, 9, 29, 29, 41), (0, 9, 29, 29, 41)): 1, (5, 5, (0, 2, 2, 2, 2, 509, 509), (0, 2, 2, 2, 2, 509, 509)): 1}"
"['K15a2893', 'K15a3071']","{(1, 1, (0,), (0,)): 1, (5, 120, (0, 2, 2, 3, 5, 25), (0, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 8, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 16, 17, 17, 17, 17, 17, 17, 23, 23, 23, 23, 23, 25, 25, 25, 25, 27, 32, 32, 32, 32, 64, 64, 64, 64, 73, 73, 73, 73, 73, 125, 125, 125, 128, 157, 157, 157, 157, 269)): 1, (4, 24, (0, 8, 9), (0, 2, 2, 2, 2, 3, 3, 3, 3, 8, 8, 8, 8, 9, 9, 9, 19, 19, 19, 32, 32, 269)): 1, (3, 6, (0, 2, 8), (0, 2, 2, 3, 8, 8, 269)): 1, (3, 3, (0, 8, 8, 19, 19), (0, 8, 8, 19, 19)): 1, (2, 2, (0, 3, 269), (0, 3, 269)): 1, (4, 4, (0, 3, 9, 9, 269), (0, 3, 9, 9, 269)): 1, (4, 12, (0, 11), (0, 8, 8, 11, 11, 11, 19, 19)): 1, (4, 24, (0, 2, 16, 23, 27), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 16, 16, 23, 23, 23, 27, 27, 27, 32, 32, 32, 32, 269)): 1, (4, 24, (0, 3, 5, 4096), (0, 2, 2, 2, 2, 3, 3, 3, 3, 5, 5, 5, 32, 32, 32, 269, 8192, 32768, 32768)): 1, (5, 5, (0, 5879, 5879), (0, 5879, 5879)): 1}"
"['K15a48246', 'K15a12925']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 7, 83), (0, 7, 83)): 1, (3, 3, (0, 5, 5, 17, 17), (0, 5, 5, 17, 17)): 1, (4, 4, (0, 7, 9, 9, 83), (0, 7, 9, 9, 83)): 1, (5, 60, (0, 3, 5, 31), (0, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 9, 9, 9, 9, 25, 25, 25, 31, 31, 31, 31, 281, 281, 281)): 1, (5, 5, (0, 3, 3, 3, 3, 4, 4, 4, 4, 11, 11), (0, 3, 3, 3, 3, 4, 4, 4, 4, 11, 11)): 1}"
"['K15a1995', 'K15a1985']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 5, 169), (0, 5, 169)): 1, (3, 3, (0, 7, 7, 37, 37), (0, 7, 7, 37, 37)): 1, (4, 4, (0, 5, 43, 43, 169), (0, 5, 43, 43, 169)): 1, (5, 5, (0, 3, 3, 3, 3, 11, 11, 29, 29), (0, 3, 3, 3, 3, 11, 11, 29, 29)): 1, (5, 10, (0, 5), (0, 5, 5, 5, 169)): 1}"
"['K15a38193', 'K15a37572']","{(1, 1, (0,), (0,)): 1, (5, 10, (0, 3, 3), (0, 3, 3, 3, 3, 5, 163)): 1, (2, 2, (0, 5, 163), (0, 5, 163)): 1, (3, 3, (0, 7, 7, 23, 23), (0, 7, 7, 23, 23)): 1, (4, 4, (0, 5, 11, 11, 163), (0, 5, 11, 11, 163)): 1, (5, 5, (0, 3, 3, 3, 3, 41, 41), (0, 3, 3, 3, 3, 41, 41)): 1}"
"['K15n7568', 'K15n7936']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 2, 4), (0, 2, 2, 2, 4, 16, 16)): 1, (4, 24, (0, 2, 2, 3), (0, 0, 0, 2, 2, 2, 2, 3, 3, 3, 3, 4, 5, 5, 5, 5, 8, 8, 8)): 1, (4, 12, (0, 2, 4, 5), (0, 2, 2, 2, 4, 5, 5, 5, 16, 16)): 1, (3, 6, (0, 0, 4), (0, 0, 0, 3, 4, 4, 5)): 1, (4, 12, (0, 0, 8), (0, 0, 0, 0, 8, 32, 32)): 1, (5, 10, (0, 5), (0, 5, 5, 5, 9)): 1, (4, 12, (0, 2, 2, 13), (0, 2, 2, 4, 4, 4, 4, 13, 13, 13)): 2, (2, 2, (0, 5, 9), (0, 5, 9)): 1, (4, 4, (0, 5, 9), (0, 5, 9)): 1, (5, 60, (0, 0, 0), (0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)): 1, (4, 24, (0, 2, 2, 5), (0, 0, 0, 0, 0, 0, 3, 4, 4, 5, 5, 5, 5, 16, 64, 64)): 1, (5, 60, (0, 2, 2, 2, 2, 3, 3), (0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5)): 1, (4, 24, (0, 2, 2, 3, 17), (0, 0, 0, 2, 2, 2, 2, 3, 3, 3, 3, 4, 5, 5, 5, 5, 8, 8, 8, 17, 17, 17)): 1, (5, 5, (0, 2, 2, 2, 2), (0, 2, 2, 2, 2)): 1, (3, 3, (0, 2, 2, 2, 2), (0, 2, 2, 2, 2)): 1}"
"['K15a58198', 'K15a58154']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 7, 89), (0, 7, 89)): 1, (5, 60, (0, 2, 2, 9), (0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 5, 5, 5, 32, 32, 64, 64, 64, 64)): 1, (5, 60, (0, 3, 13), (0, 2, 3, 4, 5, 5, 5, 8, 8, 8, 8, 8, 8, 9, 9, 9, 9, 13, 13, 13, 13, 13, 13, 13, 13, 13, 16, 16, 16, 16, 71, 71, 71, 71, 71, 4799, 4799, 4799)): 1, (5, 5, (0, 409, 409), (0, 409, 409)): 1, (3, 3, (0, 47, 47), (0, 47, 47)): 1, (4, 4, (0, 7, 89), (0, 7, 89)): 1}"
"['K15n4218', 'K15n4075']","{(1, 1, (0,), (0,)): 1, (5, 20, (0, 2, 4, 53), (0, 2, 2, 2, 2, 4, 4, 4, 4, 25, 25, 53, 53, 53, 53, 61)): 1, (4, 12, (0, 7, 13), (0, 7, 7, 7, 7, 7, 8, 8, 13, 13, 13)): 1, (5, 20, (0, 2, 8), (0, 2, 2, 2, 2, 8, 8, 8, 8, 25, 25, 61)): 1, (2, 2, (0, 61), (0, 61)): 1, (3, 3, (0, 7, 7, 8, 8), (0, 7, 7, 8, 8)): 1, (4, 4, (0, 25, 25, 61), (0, 25, 25, 61)): 1, (5, 5, (0, 151, 151), (0, 151, 151)): 1}"
"['K15n22618', 'K15n23417']","{(1, 1, (0,), (0,)): 1, (4, 24, (0, 8), (0, 2, 2, 2, 2, 3, 8, 8, 8, 8, 32, 32, 71, 81, 81, 81)): 1, (5, 120, (0, 2, 2, 2), (0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 8, 8, 8, 8, 16, 25, 25, 25, 27, 27, 27, 27, 71, 125, 125, 125)): 1, (3, 6, (0, 2, 8), (0, 2, 2, 3, 8, 8, 71)): 1, (2, 2, (0, 3, 71), (0, 3, 71)): 1, (4, 24, (0, 0), (0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 3, 71)): 1, (3, 3, (0, 7, 7, 13, 13), (0, 7, 7, 13, 13)): 1, (4, 4, (0, 3, 27, 27, 71), (0, 3, 27, 27, 71)): 1, (5, 5, (0, 1361, 1361), (0, 1361, 1361)): 1, (4, 24, (0, 0, 2), (0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 8, 32, 32, 71)): 1}"
"['K14n2847', 'K14n2823']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 19), (0, 2, 2, 19, 19, 19, 49, 49)): 1, (2, 2, (0, 223), (0, 223)): 1, (3, 3, (0, 2, 2, 49, 49), (0, 2, 2, 49, 49)): 1, (4, 4, (0, 31, 31, 223), (0, 31, 31, 223)): 1, (5, 5, (0, 2, 2, 2, 2, 449, 449), (0, 2, 2, 2, 2, 449, 449)): 1}"
"['K15a476', 'K15a838']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 971), (0, 971)): 1, (3, 3, (0, 227, 227), (0, 227, 227)): 1, (4, 4, (0, 17, 17, 971), (0, 17, 17, 971)): 1, (5, 5, (0, 11, 11, 109, 109), (0, 11, 11, 109, 109)): 1}"
"['K15a3830', 'K15a4456']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 883), (0, 883)): 1, (3, 3, (0, 269, 269), (0, 269, 269)): 1, (4, 4, (0, 49, 49, 883), (0, 49, 49, 883)): 1, (5, 5, (0, 5351, 5351), (0, 5351, 5351)): 1}"
"['K15a14233', 'K15a15395']","{(1, 1, (0,), (0,)): 1, (5, 10, (0, 19, 19), (0, 5, 5, 19, 19, 19, 19, 43)): 1, (2, 2, (0, 25, 43), (0, 25, 43)): 1, (3, 3, (0, 191, 191), (0, 191, 191)): 1, (4, 4, (0, 13, 13, 25, 43), (0, 13, 13, 25, 43)): 1, (5, 5, (0, 2, 2, 2, 2, 239, 239), (0, 2, 2, 2, 2, 239, 239)): 1}"
"['K15n120297', 'K15n120041']","{(1, 1, (0,), (0,)): 1, (5, 60, (0, 2, 3, 3, 8), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 8, 8, 8, 8, 8, 9, 9, 9, 9, 16, 16, 16, 16)): 1, (3, 3, (0, 5, 5, 19, 19), (0, 5, 5, 19, 19)): 1, (2, 2, (0, 467), (0, 467)): 1, (4, 4, (0, 467), (0, 467)): 1, (5, 5, (0, 29, 29, 31, 31), (0, 29, 29, 31, 31)): 1}"
"['K15n12351', 'K15n12035']","{(1, 1, (0,), (0,)): 1, (4, 24, (0, 4, 7), (0, 2, 3, 4, 4, 7, 7, 7, 23, 23, 23, 64, 107, 256, 256)): 1, (4, 24, (0, 0, 2), (0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 3, 4, 7, 7, 7, 107)): 1, (4, 24, (0, 0), (0, 0, 0, 0, 2, 3, 3, 3, 3, 4, 4, 5, 5, 5, 107)): 1, (3, 6, (0, 2, 4), (0, 2, 2, 3, 4, 4, 107)): 1, (4, 12, (0, 31), (0, 2, 2, 23, 23, 31, 31, 31)): 1, (2, 2, (0, 3, 107), (0, 3, 107)): 1, (3, 3, (0, 2, 2, 23, 23), (0, 2, 2, 23, 23)): 1, (4, 4, (0, 3, 107), (0, 3, 107)): 1, (5, 5, (0, 59, 59), (0, 59, 59)): 1}"
"['K15a2261', 'K15a2394']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 919), (0, 919)): 1, (3, 3, (0, 11, 11, 13, 13), (0, 11, 11, 13, 13)): 1, (4, 4, (0, 11, 11, 919), (0, 11, 11, 919)): 1, (5, 5, (0, 8, 8, 8, 8, 19, 19), (0, 8, 8, 8, 8, 19, 19)): 1}"
"['K15a59279', 'K15a56517']","{(1, 1, (0,), (0,)): 1, (3, 3, (0, 5, 5, 49, 49), (0, 5, 5, 49, 49)): 1, (2, 2, (0, 7, 181), (0, 7, 181)): 1, (4, 4, (0, 3, 3, 7, 7, 7, 181), (0, 3, 3, 7, 7, 7, 181)): 1, (5, 5, (0, 3, 3, 3, 3, 11, 11, 19, 19), (0, 3, 3, 3, 3, 11, 11, 19, 19)): 1}"
"['K15n85790', 'K15n84689']","{(1, 1, (0,), (0,)): 1, (3, 6, (0, 9), (0, 9, 17, 27)): 1, (3, 3, (0, 7, 7), (0, 7, 7)): 1, (2, 2, (0, 3, 17), (0, 3, 17)): 1, (4, 4, (0, 3, 11, 11, 17), (0, 3, 11, 11, 17)): 1, (5, 5, (0, 109, 109), (0, 109, 109)): 1}"
"['K15a58457', 'K15a58811']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 757), (0, 757)): 1, (3, 3, (0, 49, 49), (0, 49, 49)): 1, (4, 4, (0, 757), (0, 757)): 1, (5, 5, (0, 271, 271), (0, 271, 271)): 1}"
"['K14n7175', 'K14n7162']","{(1, 1, (0,), (0,)): 1, (5, 60, (0, 0, 4), (0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 8, 8, 8, 8, 8, 47, 47, 47, 47, 47, 331, 331, 331)): 1, (5, 60, (0, 0, 0, 0, 2), (0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 4, 4, 8, 8, 8, 8, 8, 8, 8, 8, 13, 13, 13, 13, 13, 32, 32, 64, 64, 64, 64)): 1, (5, 60, (0, 0, 2), (0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 8, 8, 11, 11, 11, 11, 11, 16, 16, 16, 16, 16, 16, 16, 16)): 1, (5, 60, (0, 0, 2), (0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 8, 8, 8, 8, 8, 8, 8, 8, 11, 11, 11, 11, 11, 16, 16, 32, 32, 32, 32)): 1, (4, 12, (0, 3, 7), (0, 2, 2, 3, 3, 3, 7, 7, 7, 37, 37)): 1, (2, 2, (0, 311), (0, 311)): 1, (3, 3, (0, 2, 2, 37, 37), (0, 2, 2, 37, 37)): 1, (4, 4, (0, 3, 3, 311), (0, 3, 3, 311)): 1, (5, 5, (0, 2, 2, 2, 2, 211, 211), (0, 2, 2, 2, 2, 211, 211)): 1}"
"['K15a9213', 'K15a8711']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 1093), (0, 1093)): 1, (3, 3, (0, 271, 271), (0, 271, 271)): 1, (4, 4, (0, 3, 3, 13, 13, 1093), (0, 3, 3, 13, 13, 1093)): 1, (5, 5, (0, 29, 29, 149, 149), (0, 29, 29, 149, 149)): 1}"
"['K15a20059', 'K15a16932']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 947), (0, 947)): 1, (3, 3, (0, 2, 2, 5, 5, 29, 29), (0, 2, 2, 5, 5, 29, 29)): 1, (4, 4, (0, 53, 53, 947), (0, 53, 53, 947)): 1, (5, 5, (0, 31, 31, 211, 211), (0, 31, 31, 211, 211)): 1, (4, 12, (0, 2, 9, 32), (0, 2, 5, 5, 9, 9, 9, 29, 29, 32, 128, 128)): 1, (5, 60, (0, 2, 3, 5, 16), (0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 11, 11, 11, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 25, 25, 25)): 1}"
"['K15n9770', 'K15n20040']","{(1, 1, (0,), (0,)): 1, (5, 60, (0, 3, 5, 81), (0, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 7, 7, 7, 7, 79, 79, 79, 151, 151, 151, 243, 243, 243, 243, 853, 853, 853, 853, 853)): 1, (2, 2, (0, 467), (0, 467)): 1, (4, 4, (0, 467), (0, 467)): 1, (5, 5, (0, 23, 23, 23, 23), (0, 23, 23, 23, 23)): 1, (3, 3, (0, 7, 7, 11, 11), (0, 7, 7, 11, 11)): 1}"
"['K14a222', 'K14a1915']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 521), (0, 521)): 1, (3, 3, (0, 2, 2, 83, 83), (0, 2, 2, 83, 83)): 1, (5, 5, (0, 3, 3, 3, 3, 17, 17, 17, 17), (0, 3, 3, 3, 3, 17, 17, 17, 17)): 1, (4, 4, (0, 3, 3, 11, 11, 521), (0, 3, 3, 11, 11, 521)): 1, (4, 12, (0, 2, 2, 5, 17), (0, 2, 2, 5, 5, 5, 8, 8, 17, 17, 17, 83, 83)): 1, (5, 120, (0, 2, 2, 3, 3, 631), (0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 11, 11, 11, 11, 11, 13, 13, 13, 13, 13, 25, 25, 25, 25, 25, 32, 49, 49, 49, 49, 49, 49, 64, 64, 64, 64, 521, 631, 631, 631, 631)): 1}"
"['K14n4030', 'K14n3932']","{(1, 1, (0,), (0,)): 1, (4, 24, (0, 2, 2, 3), (0, 2, 2, 2, 2, 3, 3, 3, 3, 8, 8, 8, 8, 31)): 1, (4, 24, (0, 2, 5), (0, 2, 2, 2, 2, 3, 5, 5, 5, 8, 8, 31, 43, 43, 43)): 1, (3, 6, (0, 2, 2), (0, 2, 2, 2, 2, 3, 31)): 1, (4, 12, (0, 7), (0, 2, 2, 7, 7, 7, 11, 11)): 1, (4, 24, (0, 2, 3), (0, 2, 2, 2, 2, 3, 3, 3, 3, 5, 5, 5, 8, 8, 31)): 1, (3, 3, (0, 2, 2, 11, 11), (0, 2, 2, 11, 11)): 1, (2, 2, (0, 3, 31), (0, 3, 31)): 1, (4, 4, (0, 3, 3, 3, 31), (0, 3, 3, 3, 31)): 1, (5, 5, (0, 31, 31), (0, 31, 31)): 1}"
"['K14n6227', 'K14n6076']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 7, 19), (0, 7, 19)): 1, (3, 3, (0, 2, 2, 23, 23), (0, 2, 2, 23, 23)): 1, (4, 4, (0, 7, 7, 7, 19), (0, 7, 7, 7, 19)): 1, (5, 5, (0, 89, 89), (0, 89, 89)): 1, (4, 12, (0, 2, 8), (0, 2, 8, 23, 23, 32, 32)): 1}"
"['K15a10914', 'K15a10904']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 7, 139), (0, 7, 139)): 1, (3, 3, (0, 7, 7, 19, 19), (0, 7, 7, 19, 19)): 1, (5, 5, (0, 2, 2, 2, 2, 1361, 1361), (0, 2, 2, 2, 2, 1361, 1361)): 1, (4, 4, (0, 7, 13, 13, 139), (0, 7, 13, 13, 139)): 1}"
"['K15a16200', 'K15a19451']","{(1, 1, (0,), (0,)): 1, (3, 3, (0, 151, 151), (0, 151, 151)): 1, (2, 2, (0, 941), (0, 941)): 1, (4, 4, (0, 3, 3, 941), (0, 3, 3, 941)): 1, (5, 5, (0, 1289, 1289), (0, 1289, 1289)): 1}"
