group,invariant
"['K15n88956', 'K15n96989']","{(1, 1, (0,), (0,)): 1, (5, 10, (0, 5, 1559), (0, 5, 5, 5, 79, 1559, 1559)): 1, (5, 60, (0, 3, 5), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 5, 5, 5, 5, 5, 5, 5, 9, 9, 9, 9, 11, 11, 11, 11, 11, 23, 23, 23, 23, 23, 25, 25, 25)): 1, (2, 2, (0, 5, 79), (0, 5, 79)): 1, (3, 3, (0, 107, 107), (0, 107, 107)): 1, (4, 4, (0, 5, 13, 13, 79), (0, 5, 13, 13, 79)): 1, (5, 5, (0, 41, 41), (0, 41, 41)): 1}"
"['K15a2662', 'K15a2042']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 2, 2, 9), (0, 2, 2, 8, 8, 9, 9, 9, 139, 139)): 1, (2, 2, (0, 1151), (0, 1151)): 1, (3, 3, (0, 2, 2, 139, 139), (0, 2, 2, 139, 139)): 1, (4, 4, (0, 3, 3, 13, 13, 1151), (0, 3, 3, 13, 13, 1151)): 1, (5, 5, (0, 29, 29, 179, 179), (0, 29, 29, 179, 179)): 1}"
"['K15n20312', 'K15n17104']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 163), (0, 163)): 1, (4, 12, (0, 2, 3, 4), (0, 2, 3, 3, 3, 4, 13, 13, 16, 16)): 1, (3, 3, (0, 2, 2, 13, 13), (0, 2, 2, 13, 13)): 1, (4, 4, (0, 3, 3, 163), (0, 3, 3, 163)): 1, (5, 5, (0, 269, 269), (0, 269, 269)): 1}"
"['K15a57593', 'K15a57529']","{(1, 1, (0,), (0,)): 1, (5, 60, (0, 0, 0), (0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 4, 4, 8, 8, 8, 8, 349, 349, 349, 349, 349)): 1, (2, 2, (0, 877), (0, 877)): 1, (3, 3, (0, 151, 151), (0, 151, 151)): 1, (4, 4, (0, 11, 11, 877), (0, 11, 11, 877)): 1, (5, 5, (0, 2, 2, 2, 2, 11, 11, 19, 19), (0, 2, 2, 2, 2, 11, 11, 19, 19)): 1}"
"['K15n9785', 'K15n10199']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 11, 47), (0, 11, 47)): 1, (3, 3, (0, 5, 5, 17, 17), (0, 5, 5, 17, 17)): 1, (5, 60, (0, 0, 2, 9), (0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 8, 16, 16, 16, 16, 19, 19, 19, 809, 809, 809, 809, 809)): 1, (4, 4, (0, 3, 3, 11, 47), (0, 3, 3, 11, 47)): 1, (5, 5, (0, 2, 2, 2, 2, 3, 3, 3, 3), (0, 2, 2, 2, 2, 3, 3, 3, 3)): 1}"
"['K14a9679', 'K14a9677']","{(1, 1, (0,), (0,)): 1, (4, 24, (0, 3, 8), (0, 0, 0, 2, 3, 3, 3, 3, 5, 5, 5, 11, 11, 11, 11, 11, 13, 13, 13, 16, 16, 16, 59)): 1, (5, 120, (0, 2, 2, 13), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 13, 13, 13, 13, 49, 49, 49, 49, 49, 59, 121, 121, 121, 121, 121, 121)): 1, (2, 2, (0, 9, 59), (0, 9, 59)): 1, (5, 20, (0, 4, 16), (0, 4, 4, 4, 4, 5, 5, 9, 16, 16, 16, 16, 59)): 1, (5, 20, (0, 2, 2, 19), (0, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 9, 19, 19, 19, 19, 59)): 1, (4, 24, (0, 2, 2, 5, 5, 59), (0, 0, 0, 0, 0, 0, 2, 2, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 11, 11, 16, 16, 59, 59, 59, 59)): 1, (5, 60, (0, 9, 11, 11), (0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 16, 32, 32, 32, 32)): 1, (4, 12, (0, 0, 2, 5, 23), (0, 0, 0, 0, 2, 5, 5, 5, 8, 8, 23, 23, 23, 23, 23)): 1, (4, 24, (0, 8, 461), (0, 0, 0, 2, 3, 3, 3, 3, 11, 11, 16, 16, 16, 59, 461, 461, 461)): 1, (3, 6, (0, 0, 2, 11), (0, 0, 0, 2, 2, 3, 11, 11, 59)): 1, (3, 3, (0, 4, 4, 23, 23), (0, 4, 4, 23, 23)): 1, (4, 4, (0, 5, 5, 9, 59), (0, 5, 5, 9, 59)): 1, (5, 5, (0, 11, 11), (0, 11, 11)): 1}"
"['K15a10182', 'K15a8451']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 5, 7, 31), (0, 5, 7, 31)): 1, (3, 3, (0, 373, 373), (0, 373, 373)): 1, (4, 4, (0, 5, 7, 31, 83, 83), (0, 5, 7, 31, 83, 83)): 1, (5, 5, (0, 13, 13, 13, 13, 89, 89), (0, 13, 13, 13, 13, 89, 89)): 1, (5, 10, (0, 7559), (0, 5, 7, 31, 7559, 7559)): 1}"
"['K15n40931', 'K15n40729']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 7, 37), (0, 7, 37)): 1, (4, 12, (0, 11), (0, 11, 11, 11, 32, 32)): 1, (3, 3, (0, 32, 32), (0, 32, 32)): 1, (4, 4, (0, 7, 11, 11, 37), (0, 7, 11, 11, 37)): 1, (5, 5, (0, 859, 859), (0, 859, 859)): 1}"
"['K15a1205', 'K15a1409']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 23, 31), (0, 23, 31)): 1, (4, 12, (0, 2, 2, 5, 29), (0, 2, 2, 5, 5, 5, 8, 8, 29, 29, 29, 71, 71)): 1, (3, 3, (0, 2, 2, 71, 71), (0, 2, 2, 71, 71)): 1, (4, 4, (0, 13, 13, 23, 31), (0, 13, 13, 23, 31)): 1, (5, 5, (0, 1031, 1031), (0, 1031, 1031)): 1}"
"['K15n21210', 'K15n21059']","{(1, 1, (0,), (0,)): 1, (4, 24, (0, 5, 8), (0, 0, 0, 2, 3, 5, 5, 5, 16, 16, 16, 19, 19, 19, 19, 19, 61, 71, 71, 71)): 1, (4, 12, (0, 0, 2, 11, 25), (0, 0, 0, 0, 2, 8, 8, 11, 11, 11, 25, 25, 25, 25, 25)): 1, (3, 6, (0, 0, 2, 19), (0, 0, 0, 2, 2, 3, 19, 19, 61)): 1, (2, 2, (0, 9, 61), (0, 9, 61)): 1, (4, 24, (0, 3, 8, 1369), (0, 0, 0, 2, 3, 3, 3, 3, 5, 5, 5, 16, 16, 16, 19, 19, 61, 1369, 1369, 1369)): 1, (4, 4, (0, 7, 7, 9, 61), (0, 7, 7, 9, 61)): 1, (4, 24, (0, 2, 2, 7, 7, 61), (0, 0, 0, 0, 0, 0, 2, 2, 3, 4, 5, 5, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 16, 16, 19, 19, 61, 61, 61, 61)): 1, (5, 60, (0, 3, 3, 101, 101), (0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 8, 16, 16, 16, 16, 27, 81, 81, 81, 81, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101)): 1, (5, 5, (0, 101, 101), (0, 101, 101)): 1, (3, 3, (0, 4, 4, 25, 25), (0, 4, 4, 25, 25)): 1}"
