rep,covers,group
K15a9146,"[1, 1, 1, 1, 1, 8]","['K15a9146', 'K15a9228']"
K15n120478,"[1, 2, 4, 3, 12, 1]","['K15n120478', 'K15n124001']"
K14n1273,"[1, 1, 2, 3, 7, 9]","['K14n1273', 'K14n1523']"
K15n16366,"[1, 5, 10, 5, 43, 27]","['K15n16366', 'K15n16427']"
K15n16182,"[1, 1, 2, 4, 10, 5]","['K15n16182', 'K15n19210']"
K14n20743,"[1, 5, 10, 3, 39, 16]","['K14n20743', 'K14n20805']"
K15n32049,"[1, 1, 2, 2, 8, 6]","['K15n32049', 'K15n32699']"
K15n127819,"[1, 5, 4, 5, 28, 33]","['K15n127819', 'K15n137919']"
K15n33583,"[1, 2, 4, 3, 11, 9]","['K15n33583', 'K15n33709']"
K15a10248,"[1, 2, 4, 7, 15, 7]","['K15a10248', 'K15a10744']"
K15n19936,"[1, 1, 1, 1, 13, 34]","['K15n19936', 'K15n8149']"
K14n11823,"[1, 2, 5, 3, 17, 9]","['K14n11823', 'K14n13484']"
K15a2764,"[1, 2, 5, 2, 18, 17]","['K15a2764', 'K15a2766']"
K15n24848,"[1, 1, 1, 1, 7, 5]","['K15n24848', 'K15n25151']"
K14n12124,"[1, 1, 1, 1, 11, 5]","['K14n12124', 'K14n12663']"
K15a58851,"[1, 1, 1, 2, 8, 5]","['K15a58851', 'K15a59065']"
K15a21868,"[1, 2, 1, 4, 8, 4]","['K15a21868', 'K15a23482']"
K15a58371,"[1, 1, 2, 4, 4, 6]","['K15a58371', 'K15a59195']"
K15n29988,"[1, 1, 2, 7, 12, 2]","['K15n29988', 'K15n32619']"
K15n106895,"[1, 1, 1, 4, 2, 4]","['K15n106895', 'K15n68579']"
K14a9312,"[1, 1, 1, 3, 2, 4]","['K14a9312', 'K14a9583']"
K15n10444,"[1, 1, 1, 9, 23, 12]","['K15n10444', 'K15n10744']"
K15n70340,"[1, 1, 1, 5, 3, 5]","['K15n70340', 'K15n88692']"
K15n1141,"[1, 1, 2, 2, 10, 8]","['K15n1141', 'K15n700']"
K15a56673,"[1, 1, 1, 3, 5, 5]","['K15a56673', 'K15a56756']"
K15n117946,"[1, 1, 1, 5, 10, 11]","['K15n117946', 'K15n118817', 'K15n118857']"
K14a165,"[1, 2, 1, 2, 7, 15]","['K14a165', 'K14a215']"
K15n32873,"[1, 1, 1, 3, 3, 4]","['K15n32873', 'K15n32977']"
K15n1449,"[1, 1, 2, 5, 5, 5]","['K15n1449', 'K15n1627']"
K15n122733,"[1, 2, 5, 5, 15, 12]","['K15n122733', 'K15n123128']"
K15a2261,"[1, 1, 1, 1, 3, 7]","['K15a2261', 'K15a2394']"
K15n30627,"[1, 1, 1, 2, 2, 7]","['K15n30627', 'K15n30700']"
K15a58930,"[1, 1, 1, 1, 1, 9]","['K15a58930', 'K15a58974']"
K14n343,"[1, 2, 4, 6, 19, 10]","['K14n343', 'K14n357']"
K15n13027,"[1, 2, 1, 2, 10, 8]","['K15n13027', 'K15n13112']"
K15n8819,"[1, 1, 2, 4, 6, 7]","['K15n8819', 'K15n9192']"
K15n60502,"[1, 1, 1, 4, 5, 4]","['K15n60502', 'K15n70250']"
K15n15047,"[1, 1, 2, 2, 8, 6]","['K15n15047', 'K15n15969']"
K15n2538,"[1, 2, 2, 4, 10, 10]","['K15n2538', 'K15n3008']"
K15n19521,"[1, 2, 4, 2, 9, 7]","['K15n19521', 'K15n21283']"
K15a45476,"[1, 1, 1, 3, 7, 14]","['K15a45476', 'K15a47705']"
K15n119305,"[1, 1, 1, 4, 10, 4]","['K15n119305', 'K15n119345']"
K15n4096,"[1, 2, 1, 2, 4, 6]","['K15n4096', 'K15n4387']"
K15n21909,"[1, 2, 1, 3, 5, 15]","['K15n21909', 'K15n21910']"
K14a2061,"[1, 1, 2, 3, 5, 9]","['K14a2061', 'K14a2076']"
K15n125890,"[1, 1, 1, 1, 5, 5]","['K15n125890', 'K15n125931']"
K15a32202,"[1, 1, 1, 3, 10, 9]","['K15a32202', 'K15a32638']"
K15n7756,"[1, 2, 4, 3, 17, 17]","['K15n7756', 'K15n9972']"
K15n109523,"[1, 1, 2, 2, 16, 12]","['K15n109523', 'K15n37968']"
K15n54370,"[1, 2, 1, 5, 11, 13]","['K15n54370', 'K15n54371']"
K15a55840,"[1, 1, 1, 2, 4, 4]","['K15a55840', 'K15a56424']"
K15a38253,"[1, 1, 1, 3, 9, 8]","['K15a38253', 'K15a53651']"
K15n22484,"[1, 1, 2, 4, 7, 5]","['K15n22484', 'K15n22946']"
K15n7024,"[1, 1, 1, 9, 36, 16]","['K15n7024', 'K15n9499']"
K15a3688,"[1, 2, 4, 2, 11, 5]","['K15a3688', 'K15a4546']"
K15n123028,"[1, 2, 4, 2, 18, 8]","['K15n123028', 'K15n123241']"
K15n69844,"[1, 2, 4, 2, 20, 8]","['K15n69844', 'K15n71261']"
K15a3747,"[1, 1, 2, 4, 6, 2]","['K15a3747', 'K15a4256']"
K15n123938,"[1, 1, 1, 5, 9, 8]","['K15n123938', 'K15n124031']"
K15n123938,"[1, 1, 1, 5, 9, 8]","['K15n123938', 'K15n124031']"
K14n3808,"[1, 1, 2, 4, 8, 8]","['K14n3808', 'K14n3948']"
K15a60750,"[1, 2, 2, 1, 7, 9]","['K15a60750', 'K15a60754']"
K15n7302,"[1, 1, 1, 2, 9, 7]","['K15n7302', 'K15n9837']"
K15n10234,"[1, 2, 4, 4, 18, 9]","['K15n10234', 'K15n8238']"
K15n118354,"[1, 1, 2, 2, 8, 3]","['K15n118354', 'K15n118458']"
K15a662,"[1, 2, 2, 3, 5, 6]","['K15a662', 'K15a790']"
K15n14706,"[1, 2, 4, 2, 12, 9]","['K15n14706', 'K15n15093']"
K15n10215,"[1, 1, 1, 3, 4, 6]","['K15n10215', 'K15n10288']"
K15n5542,"[1, 2, 5, 6, 25, 23]","['K15n5542', 'K15n6099']"
K15n68049,"[1, 1, 2, 9, 18, 7]","['K15n68049', 'K15n70255']"
K15n10292,"[1, 1, 1, 4, 7, 8]","['K15n10292', 'K15n8151']"
K14n656,"[1, 2, 2, 4, 6, 8]","['K14n656', 'K14n704']"
K15a48333,"[1, 1, 2, 1, 3, 6]","['K15a48333', 'K15a48346']"
K15n118995,"[1, 1, 1, 5, 3, 5]","['K15n118995', 'K15n123348']"
K15a3176,"[1, 5, 18, 5, 66, 32]","['K15a3176', 'K15a3300']"
K15a2082,"[1, 1, 1, 4, 10, 21]","['K15a2082', 'K15a2589', 'K15a4846']"
K15n31886,"[1, 1, 1, 3, 7, 4]","['K15n31886', 'K15n32676']"
K15n25702,"[1, 1, 1, 1, 3, 3]","['K15n25702', 'K15n27016']"
K15n8655,"[1, 1, 1, 1, 5, 3]","['K15n8655', 'K15n9341']"
K15n8679,"[1, 1, 1, 1, 5, 5]","['K15n8679', 'K15n9275']"
K14n1889,"[1, 2, 5, 4, 18, 8]","['K14n1889', 'K14n2245']"
K15n7010,"[1, 1, 1, 5, 21, 7]","['K15n7010', 'K15n9502']"
K15n34934,"[1, 1, 2, 1, 3, 3]","['K15n34934', 'K15n35029']"
K15a38412,"[1, 2, 5, 13, 23, 49]","['K15a38412', 'K15a38419']"
K15n21397,"[1, 1, 1, 1, 1, 4]","['K15n21397', 'K15n21431']"
K15a56572,"[1, 1, 1, 1, 7, 3]","['K15a56572', 'K15a59212']"
K15n12722,"[1, 1, 1, 2, 1, 5]","['K15n12722', 'K15n8141']"
K15n76700,"[1, 1, 1, 4, 4, 4]","['K15n76700', 'K15n80426']"
K15a43485,"[1, 1, 1, 2, 10, 5]","['K15a43485', 'K15a51141']"
K15n1046,"[1, 2, 1, 2, 10, 19]","['K15n1046', 'K15n1320']"
K15a23869,"[1, 1, 2, 2, 6, 4]","['K15a23869', 'K15a48255']"
K14a17531,"[1, 1, 2, 15, 12, 20]","['K14a17531', 'K14a17680']"
K15n109385,"[1, 1, 2, 3, 7, 9]","['K15n109385', 'K15n71832']"
K15n24656,"[1, 1, 1, 3, 5, 9]","['K15n24656', 'K15n27991']"
K15n121520,"[1, 2, 5, 4, 20, 8]","['K15n121520', 'K15n121585']"
K15n118666,"[1, 1, 1, 1, 3, 6]","['K15n118666', 'K15n118691']"
K15n33350,"[1, 2, 5, 3, 13, 25]","['K15n33350', 'K15n33418']"
K15a30533,"[1, 1, 1, 2, 4, 6]","['K15a30533', 'K15a33268']"
K15n92345,"[1, 1, 1, 5, 9, 7]","['K15n92345', 'K15n95397']"
K15n378,"[1, 2, 5, 3, 17, 11]","['K15n378', 'K15n487']"
K15n33243,"[1, 2, 5, 2, 12, 8]","['K15n33243', 'K15n33316']"
K15n16897,"[1, 1, 1, 4, 14, 5]","['K15n16897', 'K15n19266']"
K15n10034,"[1, 1, 1, 2, 10, 4]","['K15n10034', 'K15n7443']"
K15n81419,"[1, 1, 1, 2, 4, 6]","['K15n81419', 'K15n81424']"
K15a3657,"[1, 1, 2, 2, 8, 6]","['K15a3657', 'K15a4866']"
K15n22583,"[1, 1, 1, 2, 3, 6]","['K15n22583', 'K15n23445']"
K15n122242,"[1, 1, 1, 3, 7, 14]","['K15n122242', 'K15n122445']"
K15n5698,"[1, 1, 1, 4, 10, 6]","['K15n5698', 'K15n6075']"
K15a7333,"[1, 1, 1, 2, 6, 10]","['K15a7333', 'K15a7509']"
K15n122246,"[1, 1, 1, 2, 6, 11]","['K15n122246', 'K15n122547']"
K15n24643,"[1, 1, 2, 2, 10, 6]","['K15n24643', 'K15n25535']"
K15a2852,"[1, 1, 1, 2, 1, 7]","['K15a2852', 'K15a3007']"
K15n8882,"[1, 1, 1, 3, 7, 8]","['K15n8882', 'K15n9335']"
K15n51946,"[1, 2, 9, 2, 24, 17]","['K15n51946', 'K15n52345']"
K15n118975,"[1, 1, 1, 6, 10, 10]","['K15n118975', 'K15n123808']"
K15n37232,"[1, 1, 1, 3, 3, 3]","['K15n37232', 'K15n37243']"
K15n1111,"[1, 1, 1, 1, 1, 6]","['K15n1111', 'K15n632']"
K15a470,"[1, 1, 1, 4, 6, 9]","['K15a470', 'K15a530']"
K15n7740,"[1, 1, 2, 4, 4, 5]","['K15n7740', 'K15n7860']"
K15a59444,"[1, 1, 2, 7, 13, 11]","['K15a59444', 'K15a59463']"
K15n44937,"[1, 1, 2, 2, 10, 8]","['K15n44937', 'K15n49561']"
K15n37134,"[1, 1, 2, 3, 9, 9]","['K15n37134', 'K15n37166']"
K15a38253,"[1, 1, 1, 3, 9, 8]","['K15a38253', 'K15a53651']"
K15n122846,"[1, 1, 1, 3, 9, 8]","['K15n122846', 'K15n122921']"
K15n27850,"[1, 2, 5, 4, 15, 14]","['K15n27850', 'K15n28581', 'K15n28583']"
K14a1662,"[1, 1, 1, 2, 6, 5]","['K14a1662', 'K14a1865']"
K14n1485,"[1, 1, 2, 3, 9, 10]","['K14n1485', 'K14n1506']"
K13a157,"[1, 2, 5, 7, 21, 49]","['K13a157', 'K13a160']"
K14a13100,"[1, 1, 1, 2, 4, 4]","['K14a13100', 'K14a13553']"
K15a2082,"[1, 1, 1, 4, 10, 21]","['K15a2082', 'K15a2589', 'K15a4846']"
K15n18910,"[1, 2, 5, 4, 30, 16]","['K15n18910', 'K15n20824']"
K13n357,"[1, 1, 1, 5, 5, 3]","['K13n357', 'K13n520', 'K13n530']"
K15n10718,"[1, 2, 4, 6, 16, 5]","['K15n10718', 'K15n10813']"
K15a267,"[1, 1, 1, 2, 4, 7]","['K15a267', 'K15a75']"
K15n33226,"[1, 2, 2, 3, 13, 24]","['K15n33226', 'K15n33229']"
K15a9261,"[1, 2, 5, 2, 18, 9]","['K15a9261', 'K15a9554']"
K15n79595,"[1, 1, 1, 3, 11, 7]","['K15n79595', 'K15n82162']"
K15n15836,"[1, 1, 1, 1, 7, 4]","['K15n15836', 'K15n18180']"
K15n22655,"[1, 1, 1, 6, 10, 7]","['K15n22655', 'K15n23507']"
K15n7496,"[1, 1, 1, 4, 6, 8]","['K15n7496', 'K15n7600']"
K15n30540,"[1, 1, 1, 3, 9, 10]","['K15n30540', 'K15n30649']"
K15a26399,"[1, 1, 1, 4, 6, 4]","['K15a26399', 'K15a26899']"
K15n82900,"[1, 1, 1, 4, 6, 5]","['K15n82900', 'K15n99323', 'K15n99713']"
K14a2416,"[1, 2, 5, 6, 48, 24]","['K14a2416', 'K14a2449', 'K14a9692']"
K15a11796,"[1, 1, 2, 2, 6, 3]","['K15a11796', 'K15a11862']"
K15n12373,"[1, 1, 1, 3, 3, 8]","['K15n12373', 'K15n13360']"
K15a7201,"[1, 1, 1, 4, 5, 6]","['K15a7201', 'K15a7452']"
K15n12716,"[1, 1, 1, 6, 6, 8]","['K15n12716', 'K15n13242']"
K15n106810,"[1, 1, 2, 4, 8, 5]","['K15n106810', 'K15n36304']"
K15n15233,"[1, 1, 2, 4, 6, 6]","['K15n15233', 'K15n19197']"
K15n23147,"[1, 1, 1, 3, 4, 5]","['K15n23147', 'K15n23330']"
K14a2596,"[1, 1, 1, 4, 8, 8]","['K14a2596', 'K14a2602']"
K15n16103,"[1, 1, 1, 1, 3, 4]","['K15n16103', 'K15n16334']"
K15n25184,"[1, 1, 2, 3, 9, 6]","['K15n25184', 'K15n26227']"
K14a11783,"[1, 1, 2, 1, 3, 7]","['K14a11783', 'K14a3784']"
K15a56839,"[1, 1, 1, 3, 1, 9]","['K15a56839', 'K15a56857']"
K15n7710,"[1, 1, 1, 4, 8, 15]","['K15n7710', 'K15n9130']"
K15n2328,"[1, 1, 2, 4, 12, 8]","['K15n2328', 'K15n2994']"
K15n10336,"[1, 1, 2, 7, 15, 7]","['K15n10336', 'K15n9380']"
K15n21493,"[1, 2, 5, 4, 16, 10]","['K15n21493', 'K15n21696']"
K15n33440,"[1, 1, 2, 2, 6, 5]","['K15n33440', 'K15n33502']"
K15a645,"[1, 1, 2, 2, 4, 6]","['K15a645', 'K15a676']"
K15a5646,"[1, 1, 1, 4, 6, 5]","['K15a5646', 'K15a8511']"
K15n28108,"[1, 1, 2, 3, 9, 8]","['K15n28108', 'K15n4565']"
K14a1457,"[1, 1, 1, 2, 5, 4]","['K14a1457', 'K14a1474']"
K15n5212,"[1, 1, 1, 2, 4, 9]","['K15n5212', 'K15n6271']"
K15a2221,"[1, 1, 1, 1, 7, 7]","['K15a2221', 'K15a2384']"
K15a4738,"[1, 1, 1, 2, 26, 9]","['K15a4738', 'K15a4742']"
K15n35080,"[1, 1, 2, 4, 4, 10]","['K15n35080', 'K15n35092']"
K14n10157,"[1, 1, 1, 2, 4, 10]","['K14n10157', 'K14n18411']"
K15a36520,"[1, 2, 5, 4, 18, 11]","['K15a36520', 'K15a53642']"
K15a13687,"[1, 1, 1, 7, 7, 3]","['K15a13687', 'K15a16708']"
K15n30595,"[1, 1, 1, 2, 20, 8]","['K15n30595', 'K15n30656']"
K15n11008,"[1, 1, 2, 4, 4, 4]","['K15n11008', 'K15n6573']"
K14n1784,"[1, 1, 1, 2, 6, 5]","['K14n1784', 'K14n2258']"
K15a444,"[1, 1, 1, 1, 3, 6]","['K15a444', 'K15a696']"
K14a1132,"[1, 1, 2, 4, 10, 4]","['K14a1132', 'K14a1375']"
K15n29979,"[1, 1, 2, 2, 6, 8]","['K15n29979', 'K15n32614']"
K15a58266,"[1, 1, 1, 1, 3, 5]","['K15a58266', 'K15a59182']"
K15n6957,"[1, 1, 1, 5, 21, 7]","['K15n6957', 'K15n7010', 'K15n9502']"
K15n24967,"[1, 2, 4, 4, 12, 8]","['K15n24967', 'K15n25946']"
K15a2556,"[1, 2, 5, 3, 17, 16]","['K15a2556', 'K15a2568']"
K15n1071,"[1, 1, 2, 2, 14, 10]","['K15n1071', 'K15n811']"
K15a27710,"[1, 2, 1, 5, 15, 21]","['K15a27710', 'K15a27885']"
K15n10473,"[1, 2, 5, 3, 17, 19]","['K15n10473', 'K15n10775']"
K15a1785,"[1, 2, 5, 3, 15, 14]","['K15a1785', 'K15a2356']"
K15a3647,"[1, 1, 1, 3, 5, 2]","['K15a3647', 'K15a5129']"
K15n7313,"[1, 1, 1, 1, 1, 15]","['K15n7313', 'K15n9899']"
K15n121696,"[1, 2, 9, 5, 25, 12]","['K15n121696', 'K15n121734']"
K15a1358,"[1, 1, 2, 2, 6, 19]","['K15a1358', 'K15a7535']"
K15a16343,"[1, 2, 5, 3, 31, 22]","['K15a16343', 'K15a16464']"
K15n14407,"[1, 1, 2, 6, 10, 8]","['K15n14407', 'K15n16594']"
K15n24512,"[1, 2, 4, 4, 10, 4]","['K15n24512', 'K15n25829']"
K15n27403,"[1, 1, 1, 11, 50, 10]","['K15n27403', 'K15n28062']"
K15n29854,"[1, 2, 5, 4, 19, 13]","['K15n29854', 'K15n30759']"
K15n1509,"[1, 2, 4, 2, 10, 2]","['K15n1509', 'K15n1547']"
K15n43866,"[1, 1, 1, 1, 3, 3]","['K15n43866', 'K15n43871']"
K15n9619,"[1, 1, 1, 2, 7, 10]","['K15n9619', 'K15n9896']"
K15a55337,"[1, 1, 1, 3, 5, 7]","['K15a55337', 'K15a55369']"
K15a55194,"[1, 2, 5, 3, 17, 18]","['K15a55194', 'K15a55526']"
K15a3512,"[1, 1, 2, 1, 5, 3]","['K15a3512', 'K15a3640']"
K15n5153,"[1, 1, 2, 4, 8, 6]","['K15n5153', 'K15n5880']"
K15n10132,"[1, 2, 5, 2, 15, 11]","['K15n10132', 'K15n7135']"
K15n8025,"[1, 2, 5, 3, 13, 25]","['K15n8025', 'K15n9980']"
K15n1468,"[1, 1, 2, 3, 7, 3]","['K15n1468', 'K15n751']"
K15n136818,"[1, 2, 2, 6, 13, 18]","['K15n136818', 'K15n136835']"
K15a4500,"[1, 1, 1, 4, 4, 6]","['K15a4500', 'K15a5060']"
K15a15568,"[1, 1, 1, 3, 3, 5]","['K15a15568', 'K15a15835']"
K15n26382,"[1, 1, 1, 3, 5, 12]","['K15n26382', 'K15n26588']"
K15a55366,"[1, 1, 1, 7, 26, 13]","['K15a55366', 'K15a55372']"
K15n14253,"[1, 1, 1, 2, 2, 4]","['K15n14253', 'K15n14258']"
K14a13219,"[1, 2, 5, 1, 13, 12]","['K14a13219', 'K14a13235']"
K15n39403,"[1, 2, 5, 2, 12, 14]","['K15n39403', 'K15n39420']"
K15n10148,"[1, 1, 2, 2, 6, 9]","['K15n10148', 'K15n8040']"
K15a38413,"[1, 2, 5, 4, 28, 37]","['K15a38413', 'K15a38415']"
K15n13709,"[1, 1, 1, 2, 4, 3]","['K15n13709', 'K15n16311']"
K15n12505,"[1, 1, 1, 1, 3, 6]","['K15n12505', 'K15n12564']"
K15n7856,"[1, 2, 4, 2, 12, 10]","['K15n7856', 'K15n9976']"
K15n25541,"[1, 1, 2, 3, 13, 29]","['K15n25541', 'K15n27519']"
K15n59939,"[1, 1, 2, 4, 6, 4]","['K15n59939', 'K15n67874']"
K15a59053,"[1, 2, 4, 1, 9, 5]","['K15a59053', 'K15a59059']"
K15n100644,"[1, 2, 9, 2, 30, 45]","['K15n100644', 'K15n105113']"
K14a13043,"[1, 1, 2, 5, 6, 5]","['K14a13043', 'K14a13075']"
K15n10374,"[1, 2, 4, 1, 11, 10]","['K15n10374', 'K15n9461']"
K15n8242,"[1, 1, 1, 12, 20, 12]","['K15n8242', 'K15n9850']"
K15n3031,"[1, 1, 1, 2, 2, 4]","['K15n3031', 'K15n3154']"
K15a56006,"[1, 1, 1, 6, 8, 4]","['K15a56006', 'K15a56191']"
K15a2676,"[1, 1, 1, 1, 1, 3]","['K15a2676', 'K15a2680']"
K15n30943,"[1, 2, 1, 6, 17, 21]","['K15n30943', 'K15n31601']"
K15a296,"[1, 1, 1, 2, 4, 3]","['K15a296', 'K15a299']"
K15n44959,"[1, 1, 1, 2, 6, 8]","['K15n44959', 'K15n49572']"
K15n66892,"[1, 2, 1, 4, 20, 17]","['K15n66892', 'K15n66893']"
K15n30030,"[1, 1, 2, 3, 12, 7]","['K15n30030', 'K15n30639']"
K15n13701,"[1, 1, 1, 3, 3, 8]","['K15n13701', 'K15n16306']"
K15n1102,"[1, 1, 1, 5, 9, 4]","['K15n1102', 'K15n451', 'K15n467']"
K15n21421,"[1, 2, 2, 4, 6, 8]","['K15n21421', 'K15n21427']"
K15n18748,"[1, 2, 9, 4, 22, 14]","['K15n18748', 'K15n20997']"
K15n5239,"[1, 1, 2, 1, 7, 6]","['K15n5239', 'K15n5959']"
K15n6518,"[1, 1, 1, 2, 6, 11]","['K15n6518', 'K15n6686']"
K15n11019,"[1, 1, 1, 8, 10, 8]","['K15n11019', 'K15n6813']"
K15n32758,"[1, 2, 4, 3, 15, 3]","['K15n32758', 'K15n32777']"
K14a561,"[1, 1, 2, 3, 15, 12]","['K14a561', 'K14a564']"
K13n2941,"[1, 1, 1, 2, 8, 4]","['K13n2941', 'K13n3409']"
K15n24265,"[1, 1, 1, 7, 10, 8]","['K15n24265', 'K15n8845']"
K15n7590,"[1, 2, 4, 2, 15, 7]","['K15n7590', 'K15n9864', 'K15n9879']"
K15n30920,"[1, 1, 1, 5, 9, 13]","['K15n30920', 'K15n31616']"
K15n134169,"[1, 1, 1, 4, 17, 14]","['K15n134169', 'K15n137010']"
K15n7333,"[1, 2, 4, 4, 16, 12]","['K15n7333', 'K15n9870']"
K15n115321,"[1, 1, 2, 3, 9, 6]","['K15n115321', 'K15n88430']"
K15a10162,"[1, 2, 4, 5, 11, 4]","['K15a10162', 'K15a8424']"
K15n119413,"[1, 2, 4, 1, 15, 7]","['K15n119413', 'K15n120289']"
K15n11307,"[1, 1, 2, 3, 7, 9]","['K15n11307', 'K15n19193']"
K15n26963,"[1, 1, 1, 1, 1, 7]","['K15n26963', 'K15n27499']"
K14n3371,"[1, 1, 1, 2, 4, 3]","['K14n3371', 'K14n3576']"
K15a56951,"[1, 1, 1, 4, 6, 6]","['K15a56951', 'K15a57338']"
K15a59317,"[1, 2, 5, 6, 22, 10]","['K15a59317', 'K15a59325']"
K15n31230,"[1, 2, 5, 3, 16, 7]","['K15n31230', 'K15n32691']"
K15a43410,"[1, 1, 1, 2, 1, 4]","['K15a43410', 'K15a49289']"
K15a514,"[1, 1, 1, 3, 1, 8]","['K15a514', 'K15a517']"
K15n1849,"[1, 2, 2, 1, 5, 6]","['K15n1849', 'K15n2511']"
K14n820,"[1, 1, 2, 1, 7, 8]","['K14n820', 'K14n949']"
K15n11423,"[1, 1, 1, 2, 4, 9]","['K15n11423', 'K15n11589']"
K15n4011,"[1, 2, 1, 3, 13, 11]","['K15n4011', 'K15n4601']"
K15n25192,"[1, 1, 1, 2, 4, 4]","['K15n25192', 'K15n26231']"
K14a1716,"[1, 1, 1, 3, 7, 11]","['K14a1716', 'K14a1756']"
K15a2039,"[1, 1, 1, 4, 14, 16]","['K15a2039', 'K15a2599']"
K15n13868,"[1, 1, 1, 4, 12, 9]","['K15n13868', 'K15n19597']"
K11n49,"[1, 1, 6, 4, 12, 1]","['K11n49', 'K15n103488']"
K15n11192,"[1, 1, 1, 6, 11, 6]","['K15n11192', 'K15n9406']"
K15n7039,"[1, 1, 1, 1, 5, 6]","['K15n7039', 'K15n9575']"
K15n101168,"[1, 2, 1, 4, 4, 17]","['K15n101168', 'K15n107079']"
K15n52592,"[1, 1, 2, 5, 5, 4]","['K15n52592', 'K15n54320']"
K15n10879,"[1, 1, 2, 1, 5, 8]","['K15n10879', 'K15n11197']"
K15a13445,"[1, 1, 1, 1, 3, 5]","['K15a13445', 'K15a16189']"
K15a2839,"[1, 1, 2, 3, 10, 5]","['K15a2839', 'K15a5548']"
K15a30258,"[1, 1, 1, 2, 5, 8]","['K15a30258', 'K15a53768']"
K15a58570,"[1, 2, 2, 7, 19, 12]","['K15a58570', 'K15a58645']"
K15n25893,"[1, 5, 14, 6, 66, 24]","['K15n25893', 'K15n28348']"
K15n109853,"[1, 1, 1, 2, 1, 10]","['K15n109853', 'K15n74182']"
K15a4940,"[1, 1, 2, 1, 5, 6]","['K15a4940', 'K15a5135']"
K15n33243,"[1, 2, 5, 2, 12, 8]","['K15n33243', 'K15n33316']"
K15n106797,"[1, 1, 2, 3, 6, 6]","['K15n106797', 'K15n56244']"
K15a16501,"[1, 1, 2, 4, 12, 10]","['K15a16501', 'K15a16571']"
K15a6616,"[1, 1, 1, 2, 4, 7]","['K15a6616', 'K15a7198']"
K14a12846,"[1, 1, 2, 6, 6, 9]","['K14a12846', 'K14a12853']"
K15n28489,"[1, 2, 5, 14, 28, 51]","['K15n28489', 'K15n28625']"
K15n28494,"[1, 2, 5, 14, 28, 44]","['K15n28494', 'K15n28630']"
K15a60690,"[1, 2, 4, 2, 12, 5]","['K15a60690', 'K15a62904']"
K14n3006,"[1, 2, 5, 3, 13, 11]","['K14n3006', 'K14n4264']"
K15n102289,"[1, 1, 1, 2, 12, 12]","['K15n102289', 'K15n102402']"
K15n29035,"[1, 1, 1, 4, 2, 8]","['K15n29035', 'K15n29186']"
K14n5585,"[1, 5, 14, 3, 55, 22]","['K14n5585', 'K14n5590']"
K15a2071,"[1, 2, 5, 14, 55, 89]","['K15a2071', 'K15a901']"
K15n106893,"[1, 1, 2, 3, 6, 7]","['K15n106893', 'K15n47820']"
K15n19492,"[1, 2, 5, 7, 23, 20]","['K15n19492', 'K15n33328']"
K15n20645,"[1, 2, 5, 3, 29, 22]","['K15n20645', 'K15n3446']"
K15n106749,"[1, 1, 1, 4, 6, 8]","['K15n106749', 'K15n57872']"
K15a4389,"[1, 1, 2, 6, 8, 6]","['K15a4389', 'K15a5068']"
K15a57196,"[1, 1, 1, 4, 12, 6]","['K15a57196', 'K15a57462']"
K15a1854,"[1, 1, 2, 3, 9, 4]","['K15a1854', 'K15a2692', 'K15a2698']"
K15n65327,"[1, 14, 26, 14, 129, 276]","['K15n65327', 'K15n65328']"
K15a14495,"[1, 2, 5, 3, 13, 15]","['K15a14495', 'K15a9628']"
K15n23149,"[1, 2, 4, 1, 13, 5]","['K15n23149', 'K15n23332']"
K15n50755,"[1, 1, 1, 1, 1, 5]","['K15n50755', 'K15n50795']"
K15n111239,"[1, 5, 15, 6, 65, 67]","['K15n111239', 'K15n90976']"
K15n62667,"[1, 2, 5, 29, 91, 143]","['K15n62667', 'K15n62672']"
K14n5293,"[1, 1, 2, 4, 6, 5]","['K14n5293', 'K14n5373']"
K14a2663,"[1, 1, 1, 1, 1, 6]","['K14a2663', 'K14a2664']"
K15a55567,"[1, 1, 1, 1, 1, 2]","['K15a55567', 'K15a59424']"
K14a2103,"[1, 1, 1, 1, 5, 4]","['K14a2103', 'K14a2126']"
K15n7990,"[1, 1, 1, 3, 8, 9]","['K15n7990', 'K15n9827']"
K15n13972,"[1, 1, 1, 1, 3, 5]","['K15n13972', 'K15n14068', 'K15n19657']"
K15n8769,"[1, 1, 1, 3, 5, 29]","['K15n8769', 'K15n8849']"
K15n134626,"[1, 1, 1, 8, 17, 9]","['K15n134626', 'K15n137453']"
K15a2057,"[1, 1, 1, 4, 4, 7]","['K15a2057', 'K15a2534']"
K15a59562,"[1, 2, 9, 2, 20, 18]","['K15a59562', 'K15a59572']"
K15n79933,"[1, 2, 5, 5, 32, 41]","['K15n79933', 'K15n79938']"
K15n289,"[1, 2, 4, 4, 14, 7]","['K15n289', 'K15n307']"
K15n33203,"[1, 2, 2, 2, 10, 15]","['K15n33203', 'K15n33210']"
K15n125910,"[1, 1, 2, 1, 3, 2]","['K15n125910', 'K15n125917']"
K15n66556,"[1, 2, 2, 9, 13, 24]","['K15n66556', 'K15n66557']"
K15n106846,"[1, 1, 2, 1, 5, 8]","['K15n106846', 'K15n107914']"
K15n130786,"[1, 1, 2, 4, 3, 12]","['K15n130786', 'K15n133207']"
K15n9867,"[1, 1, 1, 5, 7, 18]","['K15n9867', 'K15n9884']"
