name,crossings,alexander_polynomial,matched_name
19nh_211293478,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_211308297,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_211343941,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_211362805,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_211428059,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_211428058,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_211443402,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_211492177,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_211492475,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_211508107,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_211615990,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_211615989,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_211615992,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_211615991,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_211656923,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_211657207,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_211657208,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_211681181,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_211731698,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_211740823,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_211740824,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_211798617,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_211805732,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_211805733,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_211807752,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_211807753,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_211859151,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_211864807,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_211871731,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_211879450,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_211919954,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_211972704,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_211983620,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_212045521,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212045522,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212058084,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_212072436,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_212126377,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_212126378,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_212126379,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_212126376,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_212135908,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212135909,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212137069,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_212199255,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_212242536,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212300885,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_212318368,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_212322913,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_212323692,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212323693,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212337630,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_212361215,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_212381466,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_212381467,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_212381791,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_212387467,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212389030,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212418230,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_212478083,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212537284,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212537285,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212554184,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_212593261,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_212594126,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212626434,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_212627044,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212627537,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212627539,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212627538,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212627541,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212627540,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212627542,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212627543,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212627547,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212627548,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212627550,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212627544,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212627545,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212627551,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212627546,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212627549,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212627552,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212652379,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212653756,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_212680744,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_212689423,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_212727087,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_212738983,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_212816457,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_212826970,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
