name,crossings,alexander_polynomial,matched_name
19nh_126758689,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126759764,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_126779765,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126779764,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126781747,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126781748,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126795560,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_126814727,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_126825144,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126833543,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126838538,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_126843811,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126843810,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126846727,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126861683,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126861682,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126893045,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_126893718,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126901767,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_126901766,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_126903121,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_126908997,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126911398,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_126912857,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126912858,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126931154,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126968482,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_126984330,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_126991533,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_126999580,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_127007374,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_127030553,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_127030552,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_127030554,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_127030555,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_127047382,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_127095692,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_127095691,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_127095693,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_127095695,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_127095694,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_127095697,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_127095696,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_127095698,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_127097783,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_127097784,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_127108492,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_127124523,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_127127135,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_127128069,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_127144636,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_127145782,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_127146299,19,"{0: 2, 1: -5, 2: 2}",6_1
