name,crossings,alexander_polynomial,matched_name
19nh_009029451,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009029452,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009030941,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009031338,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009034976,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009034977,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009037338,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009038920,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009039890,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009041222,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009042657,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009045269,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009045270,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009045327,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009045328,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009045348,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009047877,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009048487,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009049072,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009049860,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009052042,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009052813,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009053217,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009054298,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009056247,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009056246,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009059340,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009059762,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009060020,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009060653,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009061081,19,"{0: 2, 1: -5, 2: 2}",6_1
