name,crossings,alexander_polynomial,matched_name
17nh_0001377,17,"{0: 1, 1: -3, 2: 5, 3: -7, 4: 5, 5: -3, 6: 1}",8_9
17nh_0001403,17,"{0: 1, 1: -1, 3: 1, 5: -1, 6: 1}",8_19
17nh_0001406,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0001425,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1}",7_1
17nh_0001448,17,"{0: 1, 1: -5, 2: 7, 3: -5, 4: 1}",7_6
17nh_0001471,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0001479,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0001499,17,"{0: 4, 1: -7, 2: 4}",7_4
17nh_0001518,17,"{0: 2, 1: -7, 2: 11, 3: -7, 4: 2}",8_13
17nh_0001530,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0001600,17,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
17nh_0001614,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0001617,17,"{0: 2, 1: -4, 2: 5, 3: -4, 4: 2}",7_5
17nh_0001626,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0001632,17,"{0: 2, 1: -8, 2: 11, 3: -8, 4: 2}",8_14
17nh_0001637,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0001642,17,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 3, 5: -3, 6: 1}",8_2
17nh_0001641,17,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
17nh_0001685,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0001689,17,"{0: 3, 1: -8, 2: 11, 3: -8, 4: 3}",8_15
17nh_0001705,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0001735,17,"{0: 2, 1: -7, 2: 9, 3: -7, 4: 2}",8_11
17nh_0001757,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0001765,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0001783,17,"{0: 2, 1: -7, 2: 11, 3: -7, 4: 2}",8_13
17nh_0001830,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0001843,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0001848,17,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 3, 5: -3, 6: 1}",8_2
17nh_0001869,17,"{0: 1, 1: -3, 2: 4, 3: -5, 4: 4, 5: -3, 6: 1}",8_5
17nh_0001919,17,"{0: 2, 1: -6, 2: 7, 3: -6, 4: 2}",8_6
17nh_0002014,17,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
17nh_0002016,17,"{0: 2, 1: -5, 2: 5, 3: -5, 4: 2}",8_4
17nh_0002025,17,"{0: 1, 1: -4, 2: 8, 3: -11, 4: 8, 5: -4, 6: 1}",8_17
17nh_0002032,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0002053,17,"{0: 2, 1: -8, 2: 11, 3: -8, 4: 2}",8_14
17nh_0002086,17,"{0: 1, 1: -3, 2: 5, 3: -5, 4: 5, 5: -3, 6: 1}",8_7
17nh_0002104,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0002121,17,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
17nh_0002198,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0002228,17,"{0: 1, 1: -4, 2: 5, 3: -4, 4: 1}",8_21
17nh_0002237,17,"{0: 1, 1: -5, 2: 10, 3: -13, 4: 10, 5: -5, 6: 1}",8_18
17nh_0002243,17,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
