name,crossings,alexander_polynomial,matched_name
18nh_00000002,18,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1}",7_1
18nh_00000079,18,"{0: 1, 1: -5, 2: 7, 3: -5, 4: 1}",7_6
18nh_00000108,18,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
18nh_00000254,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00000271,18,"{0: 2, 1: -4, 2: 5, 3: -4, 4: 2}",7_5
18nh_00000334,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00000335,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00000399,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00000400,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00000455,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00000514,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00000598,18,"{0: 4, 1: -7, 2: 4}",7_4
18nh_00000686,18,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
18nh_00000707,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00001073,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00001216,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00001266,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00001374,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00001458,18,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
18nh_00001659,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00001748,18,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
18nh_00001756,18,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
18nh_00001763,18,"{0: 1, 1: -5, 2: 9, 3: -5, 4: 1}",7_7
18nh_00001817,18,"{0: 1, 1: -5, 2: 7, 3: -5, 4: 1}",7_6
18nh_00001821,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00001841,18,"{0: 3, 1: -5, 2: 3}",7_2
18nh_00001890,18,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
18nh_00001905,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00001948,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00001967,18,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1}",7_1
18nh_00002108,18,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
18nh_00002117,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00002173,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00002208,18,"{0: 2, 1: -4, 2: 5, 3: -4, 4: 2}",7_5
18nh_00002288,18,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
18nh_00002355,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00002512,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00002513,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00002559,18,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
18nh_00002574,18,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
18nh_00002613,18,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
18nh_00002683,18,"{0: 2, 1: -4, 2: 5, 3: -4, 4: 2}",7_5
18nh_00002714,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00002766,18,"{0: 2, 1: -5, 2: 2}",6_1
18nh_00002785,18,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
18nh_00002814,18,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
18nh_00002931,18,"{0: 4, 1: -7, 2: 4}",7_4
18nh_00002991,18,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
18nh_00003002,18,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
18nh_00003031,18,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
18nh_00003103,18,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
