name,crossings,alexander_polynomial,matched_name
16nh_0000001,16,"{0: 1, 1: -1, 3: 1, 5: -1, 6: 1}",8_19
16nh_0000011,16,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
16nh_0000122,16,"{0: 2, 1: -5, 2: 2}",6_1
16nh_0000143,16,"{0: 1, 1: -3, 2: 4, 3: -5, 4: 4, 5: -3, 6: 1}",8_5
16nh_0000156,16,"{0: 1, 1: -1, 3: 1, 5: -1, 6: 1}",8_19
16nh_0000223,16,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
16nh_0000252,16,"{0: 2, 1: -9, 2: 15, 3: -9, 4: 2}",9_14
16nh_0000279,16,"{0: 2, 1: -5, 2: 2}",6_1
16nh_0000283,16,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}",8_10
16nh_0000287,16,"{0: 1, 1: -2, 2: 1, 3: -2, 4: 1}",9_42
16nh_0000292,16,"{0: 2, 1: -5, 2: 2}",6_1
16nh_0000296,16,"{0: 4, 1: -9, 2: 4}",8_3
16nh_0000305,16,"{0: 2, 1: -7, 2: 9, 3: -7, 4: 2}",8_11
16nh_0000352,16,"{0: 2, 1: -11, 2: 17, 3: -11, 4: 2}",9_21
16nh_0000362,16,"{0: 2, 1: -6, 2: 7, 3: -6, 4: 2}",8_6
16nh_0000364,16,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
16nh_0000365,16,"{0: 1, 1: -4, 2: 5, 3: -4, 4: 1}",8_21
16nh_0000372,16,"{0: 4, 1: -8, 2: 9, 3: -8, 4: 4}",9_10
16nh_0000386,16,"{0: 2, 1: -4, 2: 5, 3: -5, 4: 5, 5: -4, 6: 2}",9_6
16nh_0000402,16,"{0: 1, 1: -5, 2: 9, 3: -5, 4: 1}",7_7
16nh_0000424,16,"{0: 3, 1: -8, 2: 11, 3: -8, 4: 3}",8_15
16nh_0000443,16,"{0: 3, 1: -5, 2: 3}",7_2
16nh_0000445,16,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
16nh_0000455,16,"{0: 2, 1: -5, 2: 2}",6_1
16nh_0000464,16,"{0: 2, 1: -5, 2: 2}",6_1
16nh_0000465,16,"{0: 2, 1: -5, 2: 2}",6_1
16nh_0000479,16,"{0: 2, 1: -4, 2: 5, 3: -4, 4: 2}",7_5
16nh_0000508,16,"{0: 2, 1: -6, 2: 7, 3: -6, 4: 2}",8_6
16nh_0000513,16,"{0: 3, 1: -14, 2: 21, 3: -14, 4: 3}",9_39
16nh_0000520,16,"{0: 2, 1: -5, 2: 2}",6_1
16nh_0000528,16,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}",8_10
16nh_0000533,16,"{0: 2, 1: -5, 2: 2}",6_1
16nh_0000553,16,"{0: 1, 1: -5, 2: 9, 3: -9, 4: 9, 5: -5, 6: 1}",9_17
16nh_0000589,16,"{0: 1, 1: -3, 2: 5, 3: -7, 4: 5, 5: -3, 6: 1}",8_9
16nh_0000590,16,"{0: 1, 1: -5, 2: 7, 3: -5, 4: 1}",7_6
16nh_0000596,16,"{0: 4, 1: -7, 2: 4}",7_4
16nh_0000605,16,"{0: 2, 1: -4, 2: 5, 3: -4, 4: 2}",7_5
16nh_0000607,16,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
16nh_0000610,16,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
16nh_0000620,16,"{0: 1, 1: -3, 2: 5, 3: -7, 4: 5, 5: -3, 6: 1}",8_9
16nh_0000629,16,"{0: 1, 1: -5, 2: 9, 3: -5, 4: 1}",7_7
16nh_0000632,16,"{0: 2, 1: -5, 2: 2}",6_1
16nh_0000631,16,"{0: 2, 1: -11, 2: 17, 3: -11, 4: 2}",9_21
16nh_0000634,16,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
16nh_0000642,16,"{0: 2, 1: -6, 2: 7, 3: -6, 4: 2}",8_6
16nh_0000645,16,"{0: 1, 1: -3, 2: 5, 3: -7, 4: 5, 5: -3, 6: 1}",8_9
16nh_0000652,16,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
16nh_0000677,16,"{0: 1, 1: -3, 2: 4, 3: -5, 4: 4, 5: -3, 6: 1}",8_5
16nh_0000682,16,"{0: 2, 1: -5, 2: 5, 3: -5, 4: 2}",8_4
16nh_0000709,16,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
16nh_0000747,16,"{0: 2, 1: -4, 2: 6, 3: -7, 4: 6, 5: -4, 6: 2}",9_9
16nh_0000759,16,"{0: 1, 1: -1, 3: 1, 5: -1, 6: 1}",8_19
16nh_0000760,16,"{0: 1, 1: -3, 2: 2, 3: -1, 4: 2, 5: -3, 6: 1}",9_43
16nh_0000765,16,"{0: 1, 1: -3, 2: 5, 3: -7, 4: 5, 5: -3, 6: 1}",8_9
16nh_0000773,16,"{0: 2, 1: -7, 2: 9, 3: -7, 4: 2}",8_11
16nh_0000774,16,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 3, 5: -3, 6: 1}",8_2
16nh_0000779,16,"{0: 1, 1: -4, 2: 6, 3: -5, 4: 6, 5: -4, 6: 1}",9_47
16nh_0000792,16,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
16nh_0000802,16,"{0: 1, 1: -4, 2: 8, 3: -9, 4: 8, 5: -4, 6: 1}",8_16
16nh_0000805,16,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
16nh_0000835,16,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1}",7_1
16nh_0000834,16,"{0: 2, 1: -5, 2: 2}",6_1
16nh_0000841,16,"{0: 1, 1: -7, 2: 11, 3: -7, 4: 1}",9_48
16nh_0000843,16,"{0: 3, 1: -12, 2: 19, 3: -12, 4: 3}",9_41
16nh_0000879,16,"{0: 1, 1: -3, 2: 5, 3: -5, 4: 5, 5: -3, 6: 1}",8_7
16nh_0000884,16,"{0: 2, 1: -4, 2: 6, 3: -7, 4: 6, 5: -4, 6: 2}",9_9
16nh_0000890,16,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
16nh_0000899,16,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
16nh_0000909,16,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
16nh_0000921,16,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
16nh_0000920,16,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
16nh_0000982,16,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
16nh_0000987,16,"{0: 1, 1: -2, 2: 1, 3: -2, 4: 1}",9_42
16nh_0000993,16,"{0: 6, 1: -11, 2: 6}",9_5
16nh_0000994,16,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
16nh_0001014,16,"{0: 3, 1: -5, 2: 5, 3: -5, 4: 3}",9_4
16nh_0001022,16,"{0: 4, 1: -8, 2: 9, 3: -8, 4: 4}",9_10
16nh_0001037,16,"{0: 1, 1: -3, 2: 5, 3: -7, 4: 5, 5: -3, 6: 1}",8_9
16nh_0001038,16,"{0: 1, 1: -4, 2: 8, 3: -9, 4: 8, 5: -4, 6: 1}",8_16
16nh_0001046,16,"{0: 3, 1: -5, 2: 3}",7_2
16nh_0001058,16,"{0: 3, 1: -6, 2: 7, 3: -6, 4: 3}",9_49
16nh_0001063,16,"{0: 3, 1: -12, 2: 19, 3: -12, 4: 3}",9_41
16nh_0001077,16,"{0: 2, 1: -11, 2: 19, 3: -11, 4: 2}",9_37
16nh_0001083,16,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
16nh_0001112,16,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
16nh_0001122,16,"{0: 2, 1: -5, 2: 2}",6_1
16nh_0001120,16,"{0: 2, 1: -10, 2: 17, 3: -10, 4: 2}",9_19
16nh_0001133,16,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 3, 5: -3, 6: 1}",8_2
16nh_0001136,16,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
16nh_0001144,16,"{0: 1, 1: -7, 2: 13, 3: -7, 4: 1}",8_12
16nh_0001164,16,"{0: 4, 1: -9, 2: 4}",8_3
16nh_0001170,16,"{0: 1, 1: -3, 2: 5, 3: -7, 4: 5, 5: -3, 6: 1}",8_9
16nh_0001192,16,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
16nh_0001193,16,"{0: 4, 1: -7, 2: 4}",7_4
16nh_0001194,16,"{0: 3, 1: -7, 2: 3}",8_1
16nh_0001195,16,"{0: 1, 1: -2, 2: 1, 3: -2, 4: 1}",9_42
16nh_0001203,16,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
16nh_0001205,16,"{0: 2, 1: -5, 2: 2}",6_1
16nh_0001231,16,"{0: 2, 1: -6, 2: 7, 3: -6, 4: 2}",8_6
16nh_0001234,16,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
16nh_0001249,16,"{0: 4, 1: -7, 2: 4}",7_4
16nh_0001276,16,"{0: 1, 1: -4, 2: 6, 3: -5, 4: 6, 5: -4, 6: 1}",9_47
16nh_0001283,16,"{0: 1, 1: -5, 2: 9, 3: -5, 4: 1}",7_7
16nh_0001293,16,"{0: 1, 1: -4, 2: 5, 3: -4, 4: 1}",8_21
16nh_0001298,16,"{0: 3, 1: -12, 2: 19, 3: -12, 4: 3}",9_41
16nh_0001316,16,"{0: 2, 1: -5, 2: 2}",6_1
16nh_0001319,16,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
16nh_0001343,16,"{0: 3, 1: -12, 2: 19, 3: -12, 4: 3}",9_41
