name,crossings,dt_code
8_18,8,
9_24,9,
16nh_0001458,16,mHDNAlkjBpgfeOCi
16nh_0003591,16,liEkOHMJbFpdNGAC
16nh_0005791,16,lDFPgCoKJMHaNIeB
16nh_0005790,16,jDOBAimKfpLHngCE
16nh_0010478,16,joepcbmKFaLHngId
16nh_0010479,16,lDfPgcoKJMHaNIeB
16nh_0010531,16,lIOMpgjkAefhNDBC
16nh_0010532,16,hNOGkIDpJFleABMC
16nh_0012337,16,mKGOPBlCaNIfhJED
16nh_0012438,16,mNgOPlckfDaheJBI
16nh_0013617,16,dGHmFLAKonBEpjic
16nh_0015918,16,ngpJIHbMLDOEFaKc
16nh_0017696,16,ejopcGMilNbhFKad
16nh_0017697,16,lFAGkBCDOMpeNJHI
16nh_0019831,16,lJHOMpKBfAGiNECD
16nh_0019832,16,hFNkICOpJEldAGBM
16nh_0020387,16,gfKnomaILpCHBedj
16nh_0021725,16,kELOIAjnCgfMBpDh
16nh_0021824,16,mlgjNHckDpfbaOEi
16nh_0023512,16,kEHpGnAOLcdMIfBj
16nh_0024685,16,nmHaGJPBLEOIcdKF
16nh_0025143,16,meKGLaDIPNCBfOJH
16nh_0025980,16,mihKbGPLdaNCeOJF
16nh_0026937,16,nHMOjikDAegfCpBL
16nh_0027305,16,eInLbGMJAHDoFpkc
16nh_0028850,16,hFgmkAOpJLeIncdB
16nh_0028849,16,hpMkInbaJEldOfCg
16nh_0029264,16,hleocbNpJMGFaIKd
16nh_0030890,16,nfJphcMKeBIOGaLd
16nh_0032628,16,edlbaGOMNpickHFj
16nh_0035505,16,mehNaJCPklFibODG
16nh_0035506,16,hDfmOpbeJLnIckAg
16nh_0035507,16,jGifHoBDAcLNpKem
16nh_0035508,16,eoDMpGIkFnhaCBjl
16nh_0036374,16,glJIoBaKMNHFpCed
16nh_0036842,16,igfpNcbLaKOMHEJd
16nh_0037734,16,jHNMAIClOpDgkFBE
16nh_0038013,16,kiaNLpojbhgMECDf
16nh_0038089,16,ljaIMkOECHbfNDPG
16nh_0038090,16,ljHIMkOECabfNDPG
16nh_0038098,16,mlfNbKdipgaEjOCh
16nh_0039464,16,gpJoKLaIMBDNFHEc
16nh_0040753,16,iLdhfpNbcKMAJOGe
16nh_0040754,16,iLdhFPnbcKMAJogE
16nh_0041087,16,cniEHPlDamOfkbJG
16nh_0042968,16,liNFjMPkOeagDBCH
16nh_0046308,16,mfHpJcLBNEOGaKId
16nh_0046822,16,hMOKNjCpDfiGBAEL
16nh_0048109,16,dhmpGIKaEonFjclb
16nh_0048273,16,jNimHoKEAcLGpBDf
16nh_0049602,16,eMIOkGJALFpNBHDC
16nh_0054193,16,lMEKGpCNBADoIHjf
16nh_0054481,16,cMhFOJILaDPNBGKE
