name,crossings
8_13,8
16nh_0001987,16
16nh_0001999,16
16nh_0002606,16
16nh_0003704,16
16nh_0004408,16
16nh_0004461,16
16nh_0004704,16
16nh_0006551,16
16nh_0006839,16
16nh_0007798,16
16nh_0008995,16
16nh_0010692,16
16nh_0013246,16
16nh_0014816,16
16nh_0015335,16
16nh_0015815,16
16nh_0017216,16
16nh_0020483,16
16nh_0020484,16
16nh_0020519,16
16nh_0023453,16
16nh_0025501,16
16nh_0035207,16
16nh_0045973,16
16nh_0051641,16
16nh_0052015,16
16nh_0052156,16
16nh_0052473,16
16nh_0054879,16
16nh_0055969,16
16nh_0057559,16
16nh_0059243,16
16nh_0061381,16
16nh_0061834,16
16nh_0063272,16
16nh_0063898,16
16nh_0069474,16
16nh_0071661,16
16nh_0072554,16
16nh_0081568,16
16nh_0084539,16
16nh_0087014,16
16nh_0090670,16
16nh_0098382,16
16nh_0101982,16
16nh_0102231,16
16nh_0103375,16
16nh_0108849,16
16nh_0111258,16
16nh_0111454,16
16nh_0111455,16
16nh_0117056,16
16nh_0121246,16
16nh_0121797,16
16nh_0126542,16
16nh_0127282,16
16nh_0127283,16
16nh_0128005,16
16nh_0131995,16
16nh_0131996,16
16nh_0140732,16
16nh_0141125,16
16nh_0149013,16
16nh_0156842,16
16nh_0156843,16
16nh_0157456,16
16nh_0164919,16
16nh_0166505,16
16nh_0168695,16
16nh_0168696,16
16nh_0169804,16
16nh_0176474,16
16nh_0176475,16
16nh_0182857,16
16nh_0184929,16
16nh_0185188,16
16nh_0192046,16
16nh_0201705,16
16nh_0206908,16
16nh_0213760,16
16nh_0231505,16
16nh_0231506,16
16nh_0231610,16
16nh_0266661,16
16nh_0266662,16
16nh_0271783,16
16nh_0274580,16
16nh_0276292,16
16nh_0281998,16
16nh_0283180,16
16nh_0284797,16
16nh_0291326,16
16nh_0292265,16
16nh_0292871,16
16nh_0301566,16
16nh_0302001,16
16nh_0336977,16
16nh_0336978,16
16nh_0338146,16
16nh_0338190,16
16nh_0342982,16
16nh_0347026,16
16nh_0347027,16
16nh_0362161,16
16nh_0367617,16
16nh_0372788,16
16nh_0389288,16
16nh_0389884,16
16nh_0397641,16
16nh_0401844,16
16nh_0401845,16
16nh_0401846,16
16nh_0401847,16
16nh_0417854,16
16nh_0435081,16
16nh_0448900,16
16nh_0448899,16
16nh_0456622,16
16nh_0469176,16
16nh_0502213,16
16nh_0508659,16
16nh_0508660,16
16nh_0531216,16
16nh_0555179,16
16nh_0567618,16
16nh_0570629,16
16nh_0579351,16
16nh_0579352,16
16nh_0591836,16
16nh_0591835,16
16nh_0598705,16
16nh_0598707,16
16nh_0598708,16
16nh_0598706,16
16nh_0598710,16
16nh_0598709,16
16nh_0598711,16
16nh_0598712,16
16nh_0600215,16
16nh_0600216,16
16nh_0640749,16
16nh_0680738,16
16nh_0680739,16
16nh_0680740,16
16nh_0680741,16
16nh_0774766,16
16nh_0774767,16
16nh_0774769,16
16nh_0774768,16
16nh_0800148,16
16nh_0800149,16
16nh_0800150,16
16nh_0800151,16
16nh_0923141,16
16nh_0923142,16
17nh_0000847,17
17nh_0001518,17
17nh_0001783,17
17nh_0003845,17
17nh_0006844,17
17nh_0009984,17
17nh_0012836,17
17nh_0013401,17
17nh_0014282,17
17nh_0015169,17
17nh_0016072,17
17nh_0016518,17
17nh_0018238,17
17nh_0021471,17
17nh_0021599,17
17nh_0022553,17
17nh_0022751,17
17nh_0023690,17
17nh_0023766,17
17nh_0024266,17
17nh_0024267,17
17nh_0025068,17
17nh_0025069,17
17nh_0025570,17
17nh_0025817,17
17nh_0025876,17
17nh_0026426,17
17nh_0028520,17
17nh_0038461,17
17nh_0041871,17
17nh_0041870,17
17nh_0046979,17
17nh_0051751,17
17nh_0054109,17
17nh_0056025,17
17nh_0057620,17
17nh_0058813,17
17nh_0062426,17
17nh_0063703,17
17nh_0064804,17
17nh_0066006,17
17nh_0066150,17
17nh_0068343,17
17nh_0071336,17
17nh_0071337,17
17nh_0072023,17
17nh_0074084,17
17nh_0074085,17
17nh_0075972,17
17nh_0076275,17
17nh_0078712,17
17nh_0087903,17
17nh_0087904,17
17nh_0087982,17
17nh_0087999,17
17nh_0088000,17
17nh_0088876,17
17nh_0095364,17
17nh_0099077,17
17nh_0106782,17
17nh_0107936,17
17nh_0110996,17
17nh_0111106,17
17nh_0111987,17
17nh_0111988,17
17nh_0112334,17
17nh_0112612,17
17nh_0115112,17
17nh_0115111,17
17nh_0117331,17
17nh_0118782,17
17nh_0119000,17
17nh_0119710,17
17nh_0119711,17
17nh_0121118,17
17nh_0125286,17
17nh_0129178,17
17nh_0135187,17
17nh_0135188,17
17nh_0135775,17
17nh_0140241,17
17nh_0146004,17
17nh_0147731,17
17nh_0153191,17
17nh_0155169,17
17nh_0156102,17
17nh_0159241,17
17nh_0160092,17
17nh_0160495,17
17nh_0160496,17
17nh_0160494,17
17nh_0160497,17
17nh_0162345,17
17nh_0169384,17
17nh_0169385,17
17nh_0169689,17
17nh_0172426,17
17nh_0178125,17
17nh_0179108,17
17nh_0182774,17
17nh_0183168,17
17nh_0190462,17
17nh_0190838,17
17nh_0190839,17
17nh_0191537,17
17nh_0197214,17
17nh_0197215,17
17nh_0200098,17
17nh_0200499,17
17nh_0200725,17
17nh_0207847,17
17nh_0208200,17
17nh_0209414,17
17nh_0212128,17
17nh_0213106,17
17nh_0213384,17
17nh_0214264,17
17nh_0214337,17
17nh_0219099,17
17nh_0219735,17
17nh_0228828,17
17nh_0230163,17
17nh_0240738,17
17nh_0241735,17
17nh_0248317,17
17nh_0255318,17
17nh_0258729,17
17nh_0264296,17
17nh_0265147,17
17nh_0267594,17
17nh_0269487,17
17nh_0288642,17
17nh_0293413,17
17nh_0305931,17
17nh_0315095,17
17nh_0316300,17
17nh_0321581,17
17nh_0323957,17
17nh_0327276,17
17nh_0327990,17
17nh_0329069,17
17nh_0355962,17
17nh_0359512,17
17nh_0366280,17
17nh_0368149,17
17nh_0385130,17
17nh_0391391,17
17nh_0391536,17
17nh_0401578,17
17nh_0412349,17
17nh_0414654,17
17nh_0418062,17
17nh_0426920,17
17nh_0432627,17
17nh_0432722,17
17nh_0434389,17
17nh_0435728,17
17nh_0445842,17
17nh_0461029,17
17nh_0480405,17
17nh_0491715,17
17nh_0491879,17
17nh_0494713,17
17nh_0495390,17
17nh_0498932,17
17nh_0502409,17
17nh_0507549,17
17nh_0507888,17
17nh_0508992,17
17nh_0514797,17
17nh_0517499,17
17nh_0522840,17
17nh_0525117,17
17nh_0531959,17
17nh_0538326,17
17nh_0541001,17
17nh_0549143,17
17nh_0550452,17
17nh_0556153,17
17nh_0560912,17
17nh_0574439,17
17nh_0582171,17
17nh_0598154,17
17nh_0602214,17
17nh_0602307,17
17nh_0607545,17
17nh_0610747,17
17nh_0611001,17
17nh_0619216,17
17nh_0624635,17
17nh_0624636,17
17nh_0628634,17
17nh_0631010,17
17nh_0637539,17
17nh_0641528,17
17nh_0646352,17
17nh_0653528,17
17nh_0660583,17
17nh_0662799,17
17nh_0670148,17
17nh_0690058,17
17nh_0693324,17
17nh_0693326,17
17nh_0693325,17
17nh_0693327,17
17nh_0699499,17
17nh_0716704,17
17nh_0724134,17
17nh_0724133,17
17nh_0731120,17
17nh_0738027,17
17nh_0743675,17
17nh_0748138,17
17nh_0761757,17
17nh_0763214,17
17nh_0765148,17
17nh_0766003,17
17nh_0774770,17
17nh_0779740,17
17nh_0784426,17
17nh_0790388,17
17nh_0790387,17
17nh_0792012,17
17nh_0795974,17
17nh_0800712,17
17nh_0802213,17
17nh_0803276,17
17nh_0805184,17
17nh_0805533,17
17nh_0805534,17
17nh_0818608,17
17nh_0820639,17
17nh_0831742,17
17nh_0835809,17
17nh_0848197,17
17nh_0859725,17
17nh_0871290,17
17nh_0876895,17
17nh_0886612,17
17nh_0891971,17
17nh_0893257,17
17nh_0895221,17
17nh_0912362,17
17nh_0913476,17
17nh_0917779,17
17nh_0933948,17
17nh_0944417,17
17nh_0944418,17
17nh_0952451,17
17nh_0952452,17
17nh_0953211,17
17nh_0954017,17
17nh_0964063,17
17nh_0966158,17
17nh_0972606,17
17nh_0978824,17
17nh_0980123,17
17nh_0980634,17
17nh_0981397,17
17nh_0998243,17
17nh_1040731,17
17nh_1062192,17
17nh_1067544,17
17nh_1072384,17
17nh_1076567,17
17nh_1077616,17
17nh_1077617,17
17nh_1086635,17
17nh_1086634,17
17nh_1087078,17
17nh_1087079,17
17nh_1091704,17
17nh_1121841,17
17nh_1149391,17
17nh_1149392,17
17nh_1155443,17
17nh_1155442,17
17nh_1162892,17
17nh_1162893,17
17nh_1165312,17
17nh_1183133,17
17nh_1186922,17
17nh_1198688,17
17nh_1199908,17
17nh_1200709,17
17nh_1221861,17
17nh_1226656,17
17nh_1263239,17
17nh_1270363,17
17nh_1277386,17
17nh_1289345,17
17nh_1290687,17
17nh_1291378,17
17nh_1314100,17
17nh_1318296,17
17nh_1356063,17
17nh_1359320,17
17nh_1374832,17
17nh_1392414,17
17nh_1395570,17
17nh_1395571,17
17nh_1396162,17
17nh_1407301,17
17nh_1408456,17
17nh_1418359,17
17nh_1451217,17
17nh_1455847,17
17nh_1460837,17
17nh_1468215,17
17nh_1473781,17
17nh_1477242,17
17nh_1477747,17
17nh_1484800,17
17nh_1484801,17
17nh_1484802,17
17nh_1484803,17
17nh_1494094,17
17nh_1550780,17
17nh_1554181,17
17nh_1554182,17
17nh_1554636,17
17nh_1571970,17
17nh_1585651,17
17nh_1590516,17
17nh_1609324,17
17nh_1609547,17
17nh_1617592,17
17nh_1617591,17
17nh_1677335,17
17nh_1704015,17
17nh_1706228,17
17nh_1727387,17
17nh_1729791,17
17nh_1741410,17
17nh_1744141,17
17nh_1748870,17
17nh_1771450,17
17nh_1774529,17
17nh_1778495,17
17nh_1779170,17
17nh_1783207,17
17nh_1794563,17
17nh_1802668,17
17nh_1827892,17
17nh_1835843,17
17nh_1854967,17
17nh_1857484,17
17nh_1864853,17
17nh_1870165,17
17nh_1870918,17
17nh_1870917,17
17nh_1887842,17
17nh_1923298,17
17nh_1923299,17
17nh_1932358,17
