name,crossings
9_18,9
16nh_0001837,16
16nh_0002942,16
16nh_0003892,16
16nh_0004251,16
16nh_0004879,16
16nh_0007424,16
16nh_0008362,16
16nh_0009971,16
16nh_0011038,16
16nh_0011309,16
16nh_0012941,16
16nh_0013960,16
16nh_0014633,16
16nh_0015127,16
16nh_0015389,16
16nh_0016031,16
16nh_0017287,16
16nh_0019836,16
16nh_0019837,16
16nh_0021809,16
16nh_0024875,16
16nh_0026162,16
16nh_0028653,16
16nh_0034425,16
16nh_0035961,16
16nh_0036190,16
16nh_0036191,16
16nh_0037027,16
16nh_0039848,16
16nh_0040490,16
16nh_0048418,16
16nh_0049924,16
16nh_0055000,16
16nh_0055001,16
16nh_0062546,16
16nh_0069902,16
16nh_0077808,16
16nh_0077807,16
16nh_0088986,16
16nh_0090652,16
16nh_0095437,16
16nh_0105977,16
16nh_0121163,16
16nh_0123679,16
16nh_0124219,16
16nh_0134335,16
16nh_0138228,16
16nh_0144012,16
16nh_0144013,16
16nh_0199340,16
16nh_0252344,16
16nh_0252345,16
16nh_0253305,16
16nh_0312238,16
16nh_0344139,16
16nh_0344138,16
16nh_0344140,16
16nh_0344141,16
16nh_0576535,16
16nh_0576536,16
16nh_0576537,16
16nh_0576538,16
