name,crossings,dt_code
9_27,9,
16nh_0003489,16,nGDPlkAmeOfihbJC
16nh_0003744,16,inElPHkObMgjdaFC
16nh_0004933,16,iEkHPCNMaDobjGFl
16nh_0004990,16,kEAjBCiNpfdMOGLh
16nh_0005118,16,kGnHLajDOBfMEpIc
16nh_0005361,16,lFIMjOAkeChpNDBG
16nh_0005576,16,edImaGLJnBOFpchK
16nh_0005812,16,nIHOjkCmBPedgaLF
16nh_0006333,16,lfeJobMakDPhNGcI
16nh_0006799,16,lDGOKJBIMFEaNHPC
16nh_0007079,16,gfeJnbaIMKCOHpdL
16nh_0007257,16,jIHNKpMCBoLEDGAf
16nh_0007781,16,kNGILJCoFDpMEABh
16nh_0007800,16,mEDPBKHNjlFiaOGC
16nh_0007801,16,mEDPBhLifKNGaOJC
16nh_0008014,16,mOFkBnDJALcGpHeI
16nh_0008681,16,nkGlOHCMDpibFaEj
16nh_0009427,16,kGFPMCBJlOaNiDHE
16nh_0009634,16,dOMpNlkeCAgfBHJI
16nh_0009881,16,jMFHoCipEbLNAKgd
16nh_0009880,16,mKhgpcNebliAjOFd
16nh_0009988,16,fnoIJlHMKDCpaGbe
16nh_0010041,16,ndLfibkOeMpCHaJG
16nh_0010622,16,mJIFGPHDCBLNaOKE
16nh_0010642,16,nhgPbIjdMlOfEaKC
16nh_0011175,16,feOMpaNlgDBhCIKJ
16nh_0011319,16,jEPMBIklOaNhgCFD
16nh_0011361,16,cFlEKInmAODphgbJ
16nh_0011395,16,feOjNaHLPciMGBDK
16nh_0011791,16,edHmaGLJnBOFpicK
16nh_0013157,16,hdGNjaCoKMePIBfL
16nh_0013294,16,enOgaIcfLDbPHKjM
16nh_0015708,16,mOkjgApdcNhbfEIl
16nh_0018398,16,flekPbHMNcOiaGDJ
16nh_0019160,16,cIoGjdNKBMepHFal
16nh_0019392,16,miNBHjlEDaGPfOCK
16nh_0019528,16,iLFmpGBoeKNAcJdh
16nh_0019540,16,fImoKbHJAGLEpcdn
16nh_0019539,16,hKDPgmobJLAInefC
16nh_0019631,16,hfgLonbaJMpDICek
16nh_0019913,16,mGefjcPLNOdHaKIB
16nh_0019914,16,mOKFALijngBCpDhE
16nh_0021219,16,nGKFjOPMLeiBHaDC
16nh_0022705,16,cliEJPOMGaDNbHKF
16nh_0023408,16,elNHpGJDmFaoiCBk
16nh_0026036,16,iEOPNGJamKFBDhLC
16nh_0027038,16,leJMpikOfBhaNDGC
16nh_0027941,16,mgJEPIKaNCLFbOHD
16nh_0028344,16,kdoijaLPNbeMGFcH
16nh_0029127,16,gJopcmbILANHeKfd
16nh_0029219,16,iOKAmjnepLfCHgBD
16nh_0029487,16,dJMpNhelfCOgBIKa
16nh_0029486,16,gLOFjMpNkheiBDAC
16nh_0030105,16,kfIPJNaEmCoBhlGD
16nh_0030238,16,ngiOKHbMLpCEFaDj
16nh_0030381,16,kGONjCBILadMHPEF
16nh_0031679,16,ihfpNcLbaKOMGEJd
16nh_0032350,16,ngOaLibdkfPMEhCJ
16nh_0032358,16,jiFKhNBeoaLCpDgm
16nh_0033176,16,kDHnLJIoBFpMEAcg
16nh_0033408,16,cGoHJDBNLEMpIFak
16nh_0033861,16,nhKgpcjdMBfOIaLe
16nh_0034486,16,mJHNgkdePLfBoCaI
16nh_0034487,16,ehFmpGCnKLOIdbaJ
16nh_0035190,16,elDIkGMNCHobaFpj
16nh_0036132,16,kFJOlPBmDCaNheIG
16nh_0036199,16,cMiENPJLaGFOBHDK
16nh_0038262,16,fphKJaIcLNOGBEDM
16nh_0038539,16,ndfjMLcOEbpGIaHk
16nh_0039138,16,iOGLAHMBpDnjFCkE
16nh_0039765,16,mGKnBjPLOeiDaHcF
16nh_0040512,16,fNMHKaIlCEogDPjB
16nh_0042500,16,eLgMaHJcPFnoDBkI
16nh_0043883,16,cFiHMBDKanpGoEjl
16nh_0044436,16,lphoJIMbFEDaNGkc
16nh_0044487,16,gmfNkobILpeHaDCj
16nh_0044491,16,kEILPJCmgOaNhDFB
16nh_0044598,16,niEKhBpdfMCOJaLg
16nh_0045527,16,cImHGLpDKnAEojbf
16nh_0045645,16,fioKmaHNepCJbGdl
16nh_0047010,16,cnkEIPJLMDoaHGbF
16nh_0047446,16,kEGoJLHBpDnMFAic
16nh_0050207,16,doMiFHJEpaGnBklc
16nh_0050208,16,cLpEGIDmnFhAojkb
16nh_0050209,16,gnEFOClIKMHpaJbD
16nh_0050210,16,eOJKpNiflgMhCDAB
16nh_0050452,16,lphojiMbfedaNGkc
16nh_0053401,16,ckpEIonmlDhajgfb
16nh_0053402,16,mEONGlABkphifDCj
16nh_0053576,16,gLojpnmIKdHBAfec
16nh_0053577,16,dkMpFHlEaongCBji
16nh_0054110,16,jFGiMBENpdLOACKh
16nh_0055372,16,hDOGijBmLfenApkC
16nh_0055953,16,cGkHNDBJMFaopEIl
16nh_0061512,16,cKoMNhPjlfBeiDaG
16nh_0062219,16,miOgJBpcfLNEaDKh
16nh_0062332,16,mEONHljBAfpgiDCk
16nh_0062333,16,mIONHBjAElpfgDCk
16nh_0064678,16,nKmGjlOpbeAifhDC
16nh_0065009,16,feobJmHKLDNGpaIc
16nh_0066031,16,kHeLjOiAncpMDgFB
16nh_0066202,16,fMejopLKNHcGAIdb
16nh_0066523,16,eHMplGJANFCdOIBK
16nh_0067003,16,cgoKIDMbFENPHJaL
16nh_0068673,16,jpEiGmCodaLNfKbh
16nh_0068672,16,gdKebNpILMCOHFJa
16nh_0069185,16,mEiplNAdKbHJgOFc
16nh_0069186,16,mDElBHpkNAgcjOIf
16nh_0069280,16,nfhJGbMLpCODEaKi
16nh_0069888,16,kHfOJgcPDMaENILB
16nh_0069904,16,kHeLjOiAncpMDgFb
16nh_0070265,16,iFGkNALopEcjBhDm
16nh_0070493,16,mogJILKbaNCFpEDh
16nh_0070566,16,hDlPfoJaMNGIcKeB
16nh_0071071,16,hgMpJocaLDNIBKef
16nh_0073230,16,nelGjMCOFbpdIaHk
16nh_0073411,16,fDLOKpNjgMhBEIAC
16nh_0073412,16,ekpoaNifMgdbcHJl
16nh_0073957,16,edHmaGJBLFoIncpk
16nh_0076604,16,iNHlpAkOeMgjdFBC
16nh_0078394,16,dnKhFMJpoBGIaElc
16nh_0078474,16,fOjiGpHElcNdAKBM
16nh_0078475,16,kEpgjBiNdfaMOHLc
16nh_0079800,16,jgofIlknEpMcdabh
16nh_0079821,16,eIonmGJALFpdHkbc
16nh_0080298,16,lIMkhOdJeBGpNCAF
16nh_0080311,16,iLfEPhbncKMAJogD
16nh_0080312,16,hKeogMbdJLAINFpc
16nh_0080510,16,edoInGJKCMFpHabl
16nh_0081129,16,eJhKaMDolPGNiFcB
16nh_0081586,16,fnpJMaHLCODEGKbI
16nh_0081786,16,jnolIckbEpMfdagh
16nh_0083641,16,ncjlgiPMebOaHdKF
16nh_0084669,16,mHkFiNpJeAocgDBl
16nh_0085208,16,moKFiNLBeaGCpDhj
16nh_0086264,16,fnoGHpKIDLCEJabm
16nh_0086265,16,dolmGIJNEFpckaHb
16nh_0089068,16,hnmaopJdKLFIcbge
16nh_0089067,16,eoHInLKMCBGFJpad
16nh_0089977,16,jMfpGLcONbHEIAKd
16nh_0091457,16,nLeOgicakfPMBhDJ
16nh_0092314,16,edlnmGJKpFIobach
16nh_0092354,16,nkglOHcMDpibFaEj
16nh_0092435,16,hpNLodCaJMBFGIKe
16nh_0093073,16,jELfAKpmogDNhBci
16nh_0095382,16,lJIpcBKMOEFaNHGd
16nh_0095736,16,enJHpIDlFCAOgKbM
16nh_0096185,16,nHeJPMiAlODgFbKC
16nh_0096924,16,dnJpGKOLBmHEciFa
16nh_0097236,16,mFkAhBDOeLcNpJIG
16nh_0098955,16,lgfpjkabMOecNIHd
16nh_0099657,16,kFdpIAJENGbMOHLc
16nh_0099658,16,fNplocHJMGBdAIKe
16nh_0101350,16,fKopIcHLDMBNGJae
16nh_0102613,16,fmoJIaDLEGnCHpkb
16nh_0102693,16,flopIbJMENGHaKdc
16nh_0105111,16,emoIlKJnFCHpbagd
16nh_0105677,16,nJeOmkilPfBgcaDH
16nh_0106426,16,imJPhObadLNCgfKE
16nh_0107603,16,gLnpIocKDMHAJbef
16nh_0107874,16,bmDHIOLNCpEGFaKj
16nh_0107976,16,kIFnaHCpJBeMOdLg
16nh_0107975,16,kdeJbOLanChMGPiF
16nh_0108366,16,njiOKbpCLfMHEaDg
16nh_0109429,16,iLfoMhpdbKNAEJgc
16nh_0109608,16,dImoGJEAlFnbhkpc
16nh_0109995,16,mJEphNAdklBigOFc
16nh_0109996,16,mHebKcplNAgDjOIf
16nh_0110727,16,mefkJbaNLGoHpIDc
16nh_0111151,16,fLNJIaDmEGOPhCBK
16nh_0111317,16,dMohLGJpcFNEAKbi
16nh_0111489,16,cIlEMpkfNBOgaDJH
16nh_0111499,16,lhDPKIMEaGObNFJC
16nh_0111925,16,jMHoipeBdgLNAKcf
16nh_0111926,16,hKFGMBOpJLAINDEC
16nh_0113637,16,nmPHJKabOLEFDgIC
16nh_0114722,16,gfemjnaILOdHpcbK
16nh_0115761,16,jMoFICDbEpLNAKhg
16nh_0115762,16,jMGHoCIEFpLNAKdb
16nh_0115763,16,jMFiGHBEopLNAKdc
16nh_0115764,16,jMEHICDoFpLNAKgb
16nh_0115791,16,cnkEJPlOMDafHbIG
16nh_0116567,16,kNEFOCjBLpgMIAHD
16nh_0116566,16,hKNgBIpdJFAEOCLM
16nh_0117206,16,jdmgOPabEfLNcKHI
16nh_0117205,16,epkOaGIlFbnhDjCM
16nh_0117380,16,iLeogMbcpKNAFJhd
16nh_0118298,16,ngJImCbKPEFOadLH
