knot,crossings
9_34,9
16nh_0004058,16
16nh_0006724,16
16nh_0007072,16
16nh_0009845,16
16nh_0014569,16
16nh_0014568,16
16nh_0017573,16
16nh_0020036,16
16nh_0020509,16
16nh_0020842,16
16nh_0023801,16
16nh_0025928,16
16nh_0026361,16
16nh_0031191,16
16nh_0033950,16
16nh_0033951,16
16nh_0035126,16
16nh_0038537,16
16nh_0039281,16
16nh_0047719,16
16nh_0055497,16
16nh_0055729,16
16nh_0065172,16
16nh_0065954,16
16nh_0065955,16
16nh_0067308,16
16nh_0067580,16
16nh_0072355,16
16nh_0073524,16
16nh_0075481,16
16nh_0075640,16
16nh_0077641,16
16nh_0080649,16
16nh_0083968,16
16nh_0084714,16
16nh_0084715,16
16nh_0085766,16
16nh_0087574,16
16nh_0090214,16
16nh_0092313,16
16nh_0092720,16
16nh_0093472,16
16nh_0097346,16
16nh_0097472,16
16nh_0099669,16
16nh_0104395,16
16nh_0106358,16
16nh_0107858,16
16nh_0107859,16
16nh_0110500,16
16nh_0110501,16
16nh_0111072,16
16nh_0119633,16
16nh_0126577,16
16nh_0127571,16
16nh_0127587,16
16nh_0131413,16
16nh_0135163,16
16nh_0137839,16
16nh_0138658,16
16nh_0138861,16
16nh_0139531,16
16nh_0141013,16
16nh_0146995,16
16nh_0153240,16
16nh_0154986,16
16nh_0159424,16
16nh_0175081,16
16nh_0175967,16
16nh_0176079,16
16nh_0176804,16
16nh_0177958,16
16nh_0185645,16
16nh_0196087,16
16nh_0203935,16
16nh_0206428,16
16nh_0207775,16
16nh_0207774,16
16nh_0208177,16
16nh_0208178,16
16nh_0215070,16
16nh_0217252,16
16nh_0220660,16
16nh_0227411,16
16nh_0227568,16
16nh_0234212,16
16nh_0243464,16
16nh_0243520,16
16nh_0257942,16
16nh_0263475,16
16nh_0269888,16
16nh_0270312,16
16nh_0271267,16
16nh_0276090,16
16nh_0276094,16
16nh_0276091,16
16nh_0281994,16
16nh_0301604,16
16nh_0304134,16
16nh_0305951,16
16nh_0307000,16
16nh_0348234,16
16nh_0350512,16
16nh_0351037,16
16nh_0351186,16
16nh_0354917,16
16nh_0354918,16
16nh_0358890,16
16nh_0359968,16
16nh_0359969,16
16nh_0361088,16
16nh_0361444,16
16nh_0365202,16
16nh_0369188,16
16nh_0375445,16
16nh_0380400,16
16nh_0380401,16
16nh_0389926,16
16nh_0390430,16
16nh_0393997,16
16nh_0393996,16
16nh_0396622,16
16nh_0399664,16
16nh_0405531,16
16nh_0406279,16
16nh_0408647,16
16nh_0413981,16
16nh_0423132,16
16nh_0443139,16
16nh_0467469,16
16nh_0467609,16
16nh_0474734,16
16nh_0476830,16
16nh_0482084,16
16nh_0510593,16
16nh_0510594,16
16nh_0510996,16
16nh_0519128,16
16nh_0519129,16
16nh_0535746,16
16nh_0579751,16
16nh_0579752,16
16nh_0615860,16
16nh_0630040,16
16nh_0638934,16
16nh_0647568,16
16nh_0647569,16
16nh_0647671,16
16nh_0686361,16
16nh_0734677,16
16nh_0743487,16
16nh_0752086,16
16nh_0752087,16
16nh_0756864,16
16nh_0756863,16
