knot,crossings
9_36,9
16nh_0006675,16
16nh_0006825,16
16nh_0007559,16
16nh_0007780,16
16nh_0008464,16
16nh_0008916,16
16nh_0010777,16
16nh_0011932,16
16nh_0012439,16
16nh_0015998,16
16nh_0016780,16
16nh_0016781,16
16nh_0017736,16
16nh_0017789,16
16nh_0018123,16
16nh_0023626,16
16nh_0025174,16
16nh_0025696,16
16nh_0026555,16
16nh_0028758,16
16nh_0035278,16
16nh_0042140,16
16nh_0051623,16
16nh_0052906,16
16nh_0053031,16
16nh_0054506,16
16nh_0061538,16
16nh_0061887,16
16nh_0062684,16
16nh_0062739,16
16nh_0063926,16
16nh_0071400,16
16nh_0075506,16
16nh_0076682,16
16nh_0077035,16
16nh_0082003,16
16nh_0083894,16
16nh_0088612,16
16nh_0089445,16
16nh_0090002,16
16nh_0090216,16
16nh_0090884,16
16nh_0093176,16
16nh_0094259,16
16nh_0095561,16
16nh_0095562,16
16nh_0100755,16
16nh_0102254,16
16nh_0102897,16
16nh_0118658,16
16nh_0124195,16
16nh_0132110,16
16nh_0133144,16
16nh_0137716,16
16nh_0142011,16
16nh_0142586,16
16nh_0147120,16
16nh_0161499,16
16nh_0175021,16
16nh_0179593,16
16nh_0179594,16
16nh_0187525,16
16nh_0189358,16
16nh_0196721,16
16nh_0196720,16
16nh_0196719,16
16nh_0210044,16
16nh_0210045,16
16nh_0221779,16
16nh_0221778,16
16nh_0244760,16
16nh_0248592,16
16nh_0271135,16
16nh_0281463,16
16nh_0281464,16
16nh_0295579,16
16nh_0298423,16
16nh_0299262,16
16nh_0318174,16
16nh_0331545,16
16nh_0331546,16
16nh_0339039,16
16nh_0365492,16
16nh_0376515,16
16nh_0384372,16
16nh_0391930,16
16nh_0391929,16
16nh_0476191,16
16nh_0480780,16
16nh_0526924,16
16nh_0530838,16
16nh_0565345,16
