knot,crossings
9_45,9
16nh_0002219,16
16nh_0002595,16
16nh_0006018,16
16nh_0006686,16
16nh_0010143,16
16nh_0010925,16
16nh_0011007,16
16nh_0011008,16
16nh_0014691,16
16nh_0017219,16
16nh_0019830,16
16nh_0021191,16
16nh_0022208,16
16nh_0023559,16
16nh_0025573,16
16nh_0025913,16
16nh_0028712,16
16nh_0034036,16
16nh_0036018,16
16nh_0040067,16
16nh_0041596,16
16nh_0041597,16
16nh_0049274,16
16nh_0050642,16
16nh_0052981,16
16nh_0052980,16
16nh_0052982,16
16nh_0052983,16
16nh_0053121,16
16nh_0054919,16
16nh_0055483,16
16nh_0056935,16
16nh_0057213,16
16nh_0057644,16
16nh_0061015,16
16nh_0063591,16
16nh_0066007,16
16nh_0071673,16
16nh_0072862,16
16nh_0074588,16
16nh_0076637,16
16nh_0088221,16
16nh_0089643,16
16nh_0096613,16
16nh_0105845,16
16nh_0112113,16
16nh_0113174,16
16nh_0113616,16
16nh_0117184,16
16nh_0119444,16
16nh_0123995,16
16nh_0130573,16
16nh_0133280,16
16nh_0136067,16
16nh_0147538,16
16nh_0150034,16
16nh_0150273,16
16nh_0150274,16
16nh_0157135,16
16nh_0160353,16
16nh_0162390,16
16nh_0162391,16
16nh_0167456,16
16nh_0169422,16
16nh_0173878,16
16nh_0173879,16
16nh_0177586,16
16nh_0177780,16
16nh_0180475,16
16nh_0180621,16
16nh_0183984,16
16nh_0191496,16
16nh_0200243,16
16nh_0204685,16
16nh_0204684,16
16nh_0206362,16
16nh_0226737,16
16nh_0232359,16
16nh_0240694,16
16nh_0241950,16
16nh_0246871,16
16nh_0303600,16
16nh_0318110,16
16nh_0328024,16
16nh_0333415,16
16nh_0337038,16
16nh_0340287,16
16nh_0341036,16
16nh_0341037,16
16nh_0341038,16
16nh_0353403,16
16nh_0355396,16
16nh_0375898,16
16nh_0403832,16
16nh_0427497,16
16nh_0440322,16
16nh_0444043,16
16nh_0496498,16
16nh_0496499,16
16nh_0505689,16
16nh_0538437,16
16nh_0562516,16
16nh_0608487,16
16nh_0621504,16
16nh_0621505,16
16nh_0709365,16
16nh_0709366,16
16nh_0880955,16
16nh_0880956,16
