name,crossings,dt_code
8_8,8,
16nh_0000610,16,kNJIHOLEDCpMGAFB
16nh_0000709,16,iGNOJpAmfKEBhlCD
16nh_0000890,16,jnGFpLIkCoMhEabd
16nh_0000994,16,fKJNMaHLPOBEGDCI
16nh_0001319,16,kjihNLpocbaMEFDg
16nh_0001620,16,ephOaNjfmcgDiBKL
16nh_0002183,16,mIFEPChjBgLNaOKD
16nh_0002184,16,mdJabIHPFLCNeOKG
16nh_0002880,16,jEGlBIPDNaFockHm
16nh_0003124,16,lGofhjBkeMdaNIpc
16nh_0003651,16,mjeLgPckbNhDoIaF
16nh_0004339,16,fiGmloHCnePJdbaK
16nh_0004575,16,nEpgAjkdfMhOIbCL
16nh_0004657,16,mOLFiHCknABgpDeJ
16nh_0004797,16,mDAlBkNFjphecOGi
16nh_0004975,16,elIonGKpCMFaJBdh
16nh_0005427,16,hKFiBnDaLcOGPJeM
16nh_0006559,16,lJOiFMhkdBgaNEPC
16nh_0006707,16,iFAMLBODpEnjHGkc
16nh_0006890,16,jDOFIBpmEaLNhKgC
16nh_0006889,16,hENgOcmaJLpIdfBk
16nh_0007045,16,ilFMpGBoeKNaCJdh
16nh_0008649,16,gfMIOjaLKNpHCBED
16nh_0009225,16,iOLFnHkDaCgjPBeM
16nh_0009541,16,hGLOIpBmJECNAfKD
16nh_0010037,16,ehFjpGCnKdMOIbaL
16nh_0010187,16,jFIlGAOMCpNHdKEB
16nh_0010619,16,jMFHCoKDpnLGABie
16nh_0011003,16,emlHpGJDNFaobICk
16nh_0011667,16,kopHNJDmCEaIglFb
16nh_0011668,16,hEMPGkBoNlfijCaD
16nh_0011930,16,kNGFIoCLJDpMHABe
16nh_0012048,16,gmLHpokIDNBfJaCe
16nh_0012128,16,doLaNjepKfMBIGch
16nh_0012320,16,fjHINaDlCpMgOEKb
16nh_0012420,16,iDgNAhcoeKMpJBfl
16nh_0012421,16,cJnEGpDKAmHobilf
16nh_0012654,16,dilmFJPONaEHcbKG
16nh_0013026,16,kDMJgliOeBpNfCHa
16nh_0013409,16,elHpoGKCNMFaJIBd
16nh_0013464,16,mJhNAgpkblCieODf
16nh_0013876,16,mFpkjAOcdNhgbEIl
16nh_0013890,16,cNgFlIaJEPmdoBkH
16nh_0014193,16,edLoaNjpKfMCIGbh
16nh_0014565,16,mlHpoJIBNFEcaGKd
16nh_0016188,16,iLFOhBDneKMAJpgC
16nh_0016189,16,jMFpHBIoEcLNAKdg
16nh_0017305,16,lHJPOkaMfeBiNGCD
16nh_0018699,16,mLofApJcbNGIeDKh
