name,crossings,dt_code
9_11,9,
16nh_0002057,16,lHnFiOBKPeGaJcmD
16nh_0002858,16,jfHOKpIMBaLENGCD
16nh_0003667,16,jmiGNbCpdfLOaEKh
16nh_0005014,16,inJfhPMdoKCaGblE
16nh_0005130,16,gpmbOjaILfNHcKED
16nh_0005577,16,kehnbLajOcgMFpId
16nh_0007385,16,lNjMiApogdbfECkh
16nh_0007613,16,fOMGLpHDjnAECBiK
16nh_0010271,16,jmoKbHNEFaLCpIGd
16nh_0010272,16,gnEKBCoIMpFDaHlj
16nh_0017681,16,igfokpbMaLNeHJdc
16nh_0018159,16,nHKgJpceMBDOIaLf
16nh_0019755,16,jMGHKpBCofLEADin
16nh_0024572,16,iEhMlAdopKNfGJcb
16nh_0029094,16,lkEMIBjoDgfaNCph
16nh_0032634,16,elpIbNjfCMgaOHKd
16nh_0036524,16,mNhOaijcelPgfDBK
16nh_0038285,16,fmoJalHKDnGpeicb
16nh_0043516,16,lIHkGMEDBocpNFAj
16nh_0044982,16,mdfpLJbKENHGaOIc
16nh_0049816,16,cmhFGKDaONEPJbIL
16nh_0049817,16,jiNpGLDEcaMOFBKh
16nh_0057606,16,hmgkOlbcJNPfeaID
16nh_0063122,16,kopLJHINFMaDCGEb
16nh_0063123,16,gopHNLaDCFMEJKIb
16nh_0065948,16,nJPgOikdlmBhfaEC
16nh_0074163,16,mJNghBkopAlfiECd
16nh_0077369,16,jKFOpNhldeMBgACi
16nh_0089530,16,henjoaIpLMcGFKdb
16nh_0102763,16,ieOglPBmaKNhdJCF
16nh_0110037,16,iJLpcBnKoMFHEAgd
16nh_0130066,16,mCEIBPOJlDNhaKGF
16nh_0130067,16,kfpJIHaNEDbMOGLc
16nh_0139729,16,gfKmpoaJNLBHdIce
16nh_0140651,16,idLoaJNKpMFCHEGb
16nh_0144729,16,mOHNgkdeLAfBpCJI
16nh_0144728,16,kOMpAhilfBdNgCEJ
16nh_0154922,16,gnjfMobILpcHEadk
16nh_0164645,16,cmaEIlojDngfbphk
16nh_0172918,16,fNKoHpJELGMCIABd
16nh_0225326,16,ekomjINLFadHbpGc
16nh_0228423,16,nhOJLBpfKMEIDaCg
16nh_0228424,16,nhOKIBpfLDMEJaCg
16nh_0245127,16,emGNiLKBaopFhDCj
16nh_0254791,16,fmoLGpJKDNEHbIac
16nh_0262930,16,mDKHNLJBoFCGpEAi
16nh_0300259,16,kMLgBAjcopfNDEih
16nh_0322734,16,gdofIblMKENapHJc
16nh_0359859,16,kNMIoJDLGFaCHPeB
16nh_0397854,16,mEOGIPBJlDNhaKCF
16nh_0435897,16,gnoIHKpJLMEFDbac
16nh_0435898,16,edlpaHJKNOMbGFIc
16nh_0449585,16,gpjLfoaKCnMDHbie
16nh_0643251,16,ldpjfkaMOHbeNGIc
