knot,crossings
9_41,9
16nh_0000843,16
16nh_0001063,16
16nh_0001298,16
16nh_0001343,16
16nh_0001993,16
16nh_0003258,16
16nh_0005013,16
16nh_0005735,16
16nh_0005878,16
16nh_0006035,16
16nh_0006871,16
16nh_0007599,16
16nh_0008055,16
16nh_0008084,16
16nh_0008742,16
16nh_0009011,16
16nh_0009101,16
16nh_0009504,16
16nh_0010503,16
16nh_0012310,16
16nh_0012309,16
16nh_0012461,16
16nh_0016612,16
16nh_0017042,16
16nh_0017618,16
16nh_0017856,16
16nh_0017857,16
16nh_0022322,16
16nh_0027884,16
16nh_0033152,16
16nh_0034791,16
16nh_0036963,16
16nh_0039403,16
16nh_0039798,16
16nh_0040791,16
16nh_0040817,16
16nh_0041529,16
16nh_0041590,16
16nh_0045786,16
16nh_0045966,16
16nh_0045967,16
16nh_0046740,16
16nh_0049589,16
16nh_0051627,16
16nh_0052699,16
16nh_0053748,16
16nh_0053872,16
16nh_0053977,16
16nh_0055276,16
16nh_0056249,16
16nh_0056755,16
16nh_0059572,16
16nh_0063020,16
16nh_0067336,16
16nh_0068446,16
16nh_0068452,16
16nh_0068758,16
16nh_0068938,16
16nh_0071299,16
16nh_0071543,16
16nh_0073948,16
16nh_0076254,16
16nh_0076727,16
16nh_0077843,16
16nh_0078112,16
16nh_0078257,16
16nh_0079030,16
16nh_0080194,16
16nh_0080451,16
16nh_0081959,16
16nh_0081960,16
16nh_0086832,16
16nh_0089596,16
16nh_0091664,16
16nh_0092842,16
16nh_0095446,16
16nh_0101710,16
16nh_0101711,16
16nh_0103402,16
16nh_0106594,16
16nh_0108451,16
16nh_0108607,16
16nh_0108608,16
16nh_0109594,16
16nh_0111321,16
16nh_0111407,16
16nh_0112865,16
16nh_0119766,16
16nh_0119765,16
16nh_0122911,16
16nh_0122912,16
16nh_0123351,16
16nh_0125278,16
16nh_0125277,16
16nh_0129230,16
16nh_0129639,16
16nh_0129640,16
16nh_0131090,16
16nh_0131089,16
16nh_0133025,16
16nh_0134583,16
16nh_0134582,16
16nh_0140610,16
16nh_0141064,16
16nh_0141155,16
16nh_0146344,16
16nh_0148111,16
16nh_0152148,16
16nh_0152400,16
16nh_0155137,16
16nh_0158754,16
16nh_0162635,16
16nh_0170057,16
16nh_0171412,16
16nh_0174136,16
16nh_0179558,16
16nh_0180866,16
16nh_0181988,16
16nh_0187321,16
16nh_0187393,16
16nh_0188521,16
16nh_0189632,16
16nh_0191325,16
16nh_0191726,16
16nh_0193759,16
16nh_0194300,16
16nh_0204653,16
16nh_0210102,16
16nh_0211546,16
16nh_0215598,16
16nh_0218972,16
16nh_0226235,16
16nh_0227318,16
16nh_0231565,16
16nh_0252027,16
16nh_0254700,16
16nh_0275543,16
16nh_0277661,16
16nh_0277660,16
16nh_0285949,16
16nh_0289667,16
16nh_0312554,16
16nh_0314838,16
16nh_0314837,16
16nh_0314840,16
16nh_0314839,16
16nh_0322302,16
16nh_0332515,16
16nh_0335529,16
16nh_0342241,16
16nh_0349184,16
16nh_0349187,16
16nh_0349185,16
16nh_0349186,16
16nh_0354211,16
16nh_0357244,16
16nh_0361345,16
16nh_0362838,16
16nh_0371983,16
16nh_0375284,16
16nh_0375283,16
16nh_0378917,16
16nh_0379453,16
16nh_0383856,16
16nh_0392380,16
16nh_0394336,16
16nh_0394335,16
16nh_0406081,16
16nh_0407808,16
16nh_0407809,16
16nh_0409682,16
16nh_0413763,16
16nh_0417971,16
16nh_0417970,16
16nh_0423204,16
16nh_0423205,16
16nh_0431565,16
16nh_0452390,16
16nh_0452391,16
16nh_0465157,16
16nh_0465507,16
16nh_0469921,16
16nh_0480250,16
16nh_0481145,16
16nh_0484911,16
16nh_0484912,16
16nh_0488130,16
16nh_0491040,16
16nh_0503445,16
16nh_0506900,16
16nh_0506901,16
16nh_0519814,16
16nh_0527574,16
16nh_0534077,16
16nh_0547664,16
16nh_0567922,16
16nh_0574353,16
16nh_0596403,16
16nh_0604981,16
16nh_0604982,16
16nh_0606918,16
16nh_0606919,16
16nh_0647324,16
16nh_0647323,16
16nh_0649133,16
16nh_0650093,16
16nh_0650094,16
16nh_0652709,16
16nh_0653224,16
16nh_0653223,16
16nh_0667976,16
16nh_0674558,16
16nh_0722665,16
16nh_0732950,16
16nh_0761584,16
16nh_0772912,16
16nh_0775477,16
16nh_0817302,16
16nh_0822671,16
16nh_0870340,16
16nh_0870339,16
16nh_0870341,16
16nh_0870342,16
16nh_0873369,16
16nh_0873370,16
16nh_0873367,16
16nh_0873368,16
16nh_0908214,16
16nh_0908213,16
