knot,crossings
9_4,9
16ns_02,16
16nh_0001014,16
16nh_0003078,16
16nh_0003077,16
16nh_0003798,16
16nh_0003992,16
16nh_0010515,16
16nh_0011293,16
16nh_0011530,16
16nh_0012306,16
16nh_0012307,16
16nh_0012331,16
16nh_0014608,16
16nh_0019606,16
16nh_0025633,16
16nh_0028669,16
16nh_0031524,16
16nh_0040430,16
16nh_0042438,16
16nh_0054767,16
16nh_0089063,16
16nh_0142981,16
16nh_0159098,16
16nh_0213472,16
16nh_0220370,16
16nh_0259392,16
16nh_0259391,16
16nh_0700545,16
16nh_0700546,16
16nh_0700544,16
16nh_0700547,16
