knot,crossings
8_1,8
16nh_0001194,16
16nh_0004045,16
16nh_0004719,16
16nh_0004720,16
16nh_0013354,16
16nh_0014185,16
16nh_0014777,16
16nh_0018341,16
16nh_0022036,16
16nh_0022035,16
16nh_0024037,16
16nh_0024808,16
16nh_0031839,16
16nh_0033204,16
16nh_0033415,16
16nh_0035732,16
16nh_0041442,16
16nh_0044178,16
16nh_0047090,16
16nh_0052785,16
16nh_0057437,16
16nh_0067056,16
16nh_0077158,16
16nh_0078329,16
16nh_0119863,16
16nh_0120751,16
16nh_0127738,16
16nh_0136076,16
16nh_0136309,16
16nh_0140660,16
16nh_0144088,16
16nh_0152884,16
16nh_0158642,16
16nh_0165498,16
16nh_0170805,16
16nh_0175311,16
16nh_0178705,16
16nh_0194574,16
16nh_0202873,16
16nh_0217046,16
16nh_0257560,16
16nh_0270338,16
16nh_0270339,16
16nh_0271315,16
16nh_0280384,16
16nh_0301695,16
16nh_0307835,16
16nh_0322288,16
16nh_0322289,16
16nh_0326638,16
16nh_0331282,16
16nh_0331683,16
16nh_0405514,16
16nh_0405513,16
16nh_0409070,16
16nh_0417297,16
16nh_0417296,16
16nh_0417298,16
16nh_0417299,16
16nh_0422584,16
16nh_0429953,16
16nh_0444008,16
16nh_0446397,16
16nh_0450869,16
16nh_0455297,16
16nh_0467472,16
16nh_0513035,16
16nh_0519684,16
16nh_0519683,16
16nh_0590424,16
16nh_0590423,16
16nh_0648990,16
16nh_0699355,16
16nh_0717683,16
16nh_0721568,16
