name,crossings,dt_code
9_48,9,
16nh_0000841,16,jfGOKpInBaLEChmD
16nh_0003140,16,lFEKOBIMGaDpNHCj
16nh_0007134,16,hfjponLaKMcGIbed
16nh_0007355,16,fInGLpHDJABOEKcM
16nh_0008720,16,mFjhgBkdcpeNaOLi
16nh_0008719,16,mfjpihKbedGNaOLc
16nh_0009205,16,kENPOJILGFaMHCBD
16nh_0010625,16,cliEMpokbgNhaDJf
16nh_0011759,16,inGpKoLBaMDFJhce
16nh_0013566,16,dOkiFHLEpcnaGjBm
16nh_0013567,16,jOFaPHmBEdCnkglI
16nh_0014253,16,cMiEHNLDpbFoJAkG
16nh_0018571,16,mNhkibApdeOcgFJl
16nh_0019595,16,goIpbLaJmCFNhEKd
16nh_0020371,16,fIJHNaDlPBmgoEkC
16nh_0023780,16,gejpoLaKMNcFIHbd
16nh_0024353,16,jigMbpcOeaLNDKfH
16nh_0024354,16,kfjHNbaCpdgMOELi
16nh_0026064,16,imfPhlbeoKNcgJaD
16nh_0029146,16,eDiOlKnfMcHaPJgB
16nh_0031420,16,mFGKjAOlCeNhpDIB
16nh_0032199,16,doGaFICLEpmHnkbj
16nh_0032200,16,dohaFLIJcGNEpKbm
16nh_0032700,16,khNagmJocFpIelBd
16nh_0044293,16,lGEMPjkBfohaNDiC
16nh_0044472,16,kNFipCBjdhgMOALe
16nh_0044473,16,kNDGjpHCBeiMOALf
16nh_0048359,16,gfpiLNkJmcabOhEd
16nh_0048696,16,mgIJlCbaNFEpdOHk
16nh_0051569,16,ionGpKECaLMFJhbd
16nh_0051570,16,jGFICoBLDpMNHKAe
16nh_0052437,16,imFphlBeoKNcgJad
16nh_0055444,16,cFlEHAJDpGnbokmi
16nh_0055443,16,mfIphlaedKNBgOJc
16nh_0058083,16,lEjMPIKoFbHaNDgC
16nh_0063322,16,dkomJINLFEaHbpGc
16nh_0064581,16,feMJlaHONDIpCBGk
16nh_0065415,16,fdomKaJNLGEIbpHc
16nh_0072952,16,enHojMLKBapGFidc
16nh_0079856,16,dGIpHAlECBnofjkm
16nh_0079857,16,knpLGIJOEFaDCbHm
16nh_0083951,16,jMHKANBLpoDCGEFi
16nh_0084396,16,gEHomAnJlBpdifkc
16nh_0094041,16,cmiENpklbfOhgaDJ
16nh_0096425,16,hKfoLcbnJMAEIpgd
16nh_0097503,16,ieoaJncLpKDHbfmg
16nh_0100960,16,kNILHpJECGoMDABf
16nh_0102128,16,lGJMhiOCkBepNDAF
16nh_0103179,16,enhjpGLMocdFKbai
16nh_0105895,16,nGLPKHBMEOICFaJD
16nh_0115980,16,lIGMhkBeCOfpNDAJ
16nh_0119457,16,mhFKICBPlDNEaOJG
16nh_0123687,16,gLfMoJpCnhEdAikb
16nh_0126938,16,cFjEHANDplboiGkm
16nh_0156705,16,dLjiFOAMGcpNHBEk
16nh_0158893,16,hNfJpoceKmDABiLg
16nh_0165638,16,jGKpicNlodFmhBAe
16nh_0167698,16,lGFjMDBokcphNEAi
16nh_0170926,16,nDgABJMcKPFOHeLI
16nh_0170925,16,nIMKPHjEGBfOCaLD
16nh_0179503,16,gfmpKcaIOlEnbjHd
16nh_0180882,16,mENhkAljcpdgfOBi
16nh_0204955,16,gLKoJBnIMACEHpdf
16nh_0214438,16,cfnEKaIPOLDJGHbM
16nh_0218097,16,lGOHIkDBFMepNJAC
16nh_0223487,16,gnFHJLaICMEoDpbk
16nh_0228174,16,mFligBjdpeNacOKh
16nh_0270325,16,mhNIKPjaLDfCgOBE
16nh_0325220,16,gLemoJpKnFIAdhcb
16nh_0345862,16,iFnpoLBKcMEGJAhd
16nh_0353009,16,nmhObljcefPgiaDK
16nh_0412772,16,kdojaLNpgFbMEIch
16nh_0523553,16,dnglKJbmPHEaofcI
16nh_0542959,16,gfpoKInLDMEHJabc
16nh_0542962,16,kjpoHMILDFnEGabc
16nh_0542961,16,donkILJMEGapHFbc
16nh_0542960,16,dloaIHNMEFGbpJck
16nh_0554569,16,heOJglbaNCIPfKDM
16nh_0556741,16,djagMipcfobNEKLh
16nh_0556740,16,iopFNJCLaGDMHEKb
16nh_0563385,16,foMHLpIDKEBGCJan
16nh_0563386,16,ifngaLdocKMEJphb
16nh_0588265,16,fpleoaJIKNMHcGbd
16nh_0588264,16,mcoaHJLIDKENpGFb
16nh_0636583,16,ljGMpoaCDbneHIfk
16nh_0636946,16,jnHFIBLCKpEGDoam
16nh_0636947,16,dpgaKMJcNLOHFIEb
16nh_0777336,16,mogJIapkENCbfDHl
