knot,crossings
6_1,6
9_46,9
16nh_0000122,16
16nh_0000279,16
16nh_0000292,16
16nh_0000455,16
16nh_0000465,16
16nh_0000464,16
16nh_0000520,16
16nh_0000533,16
16nh_0000632,16
16nh_0000834,16
16nh_0001122,16
16nh_0001205,16
16nh_0001316,16
16nh_0001346,16
16nh_0001536,16
16nh_0001898,16
16nh_0001915,16
16nh_0001914,16
16nh_0001950,16
16nh_0002131,16
16nh_0002275,16
16nh_0002335,16
16nh_0002371,16
16nh_0002389,16
16nh_0002553,16
16nh_0002807,16
16nh_0002874,16
16nh_0003051,16
16nh_0003052,16
16nh_0003058,16
16nh_0003190,16
16nh_0003365,16
16nh_0003434,16
16nh_0003481,16
16nh_0003482,16
16nh_0003855,16
16nh_0003951,16
16nh_0004068,16
16nh_0004180,16
16nh_0004281,16
16nh_0004282,16
16nh_0004560,16
16nh_0004561,16
16nh_0005289,16
16nh_0005385,16
16nh_0005946,16
16nh_0006041,16
16nh_0006085,16
16nh_0006232,16
16nh_0006241,16
16nh_0006430,16
16nh_0006840,16
16nh_0007228,16
16nh_0007675,16
16nh_0007892,16
16nh_0008195,16
16nh_0008255,16
16nh_0008256,16
16nh_0008254,16
16nh_0008257,16
16nh_0008604,16
16nh_0008980,16
16nh_0009235,16
16nh_0009674,16
16nh_0010086,16
16nh_0010129,16
16nh_0010337,16
16nh_0010447,16
16nh_0010448,16
16nh_0010446,16
16nh_0010596,16
16nh_0010746,16
16nh_0011030,16
16nh_0012143,16
16nh_0012285,16
16nh_0012287,16
16nh_0012286,16
16nh_0012473,16
16nh_0013192,16
16nh_0013250,16
16nh_0013479,16
16nh_0013947,16
16nh_0013946,16
16nh_0014738,16
16nh_0014802,16
16nh_0014803,16
16nh_0015123,16
16nh_0015124,16
16nh_0015332,16
16nh_0016216,16
16nh_0016215,16
16nh_0016530,16
16nh_0016529,16
16nh_0016740,16
16nh_0017724,16
16nh_0018120,16
16nh_0018479,16
16nh_0018480,16
16nh_0019443,16
16nh_0020174,16
16nh_0020592,16
16nh_0021574,16
16nh_0022668,16
16nh_0022711,16
16nh_0022980,16
16nh_0023809,16
16nh_0024324,16
16nh_0024623,16
16nh_0024660,16
16nh_0025468,16
16nh_0025582,16
16nh_0025712,16
16nh_0026940,16
16nh_0028503,16
16nh_0028777,16
16nh_0029257,16
16nh_0029589,16
16nh_0030803,16
16nh_0031488,16
16nh_0031506,16
16nh_0032712,16
16nh_0033194,16
16nh_0033676,16
16nh_0035220,16
16nh_0035363,16
16nh_0038029,16
16nh_0039183,16
16nh_0039182,16
16nh_0039367,16
16nh_0039691,16
16nh_0039855,16
16nh_0043573,16
16nh_0043572,16
16nh_0044033,16
16nh_0044034,16
16nh_0044220,16
16nh_0044684,16
16nh_0044683,16
16nh_0047141,16
16nh_0047905,16
16nh_0048005,16
16nh_0048411,16
16nh_0048738,16
16nh_0050385,16
16nh_0050544,16
16nh_0050543,16
16nh_0050560,16
16nh_0050559,16
16nh_0050614,16
16nh_0050709,16
16nh_0051649,16
16nh_0051928,16
16nh_0052047,16
16nh_0052046,16
16nh_0054727,16
16nh_0054728,16
16nh_0055301,16
16nh_0055302,16
16nh_0055435,16
16nh_0055965,16
16nh_0057527,16
16nh_0058182,16
16nh_0058692,16
16nh_0059611,16
16nh_0059635,16
16nh_0059636,16
16nh_0059638,16
16nh_0059637,16
16nh_0059639,16
16nh_0059634,16
16nh_0062153,16
16nh_0062152,16
16nh_0063378,16
16nh_0063379,16
16nh_0063712,16
16nh_0064878,16
16nh_0065624,16
16nh_0065840,16
16nh_0066652,16
16nh_0068134,16
16nh_0070105,16
16nh_0070106,16
16nh_0070323,16
16nh_0072983,16
16nh_0073460,16
16nh_0075304,16
16nh_0075303,16
16nh_0076807,16
16nh_0077860,16
16nh_0077906,16
16nh_0078271,16
16nh_0078546,16
16nh_0078654,16
16nh_0078950,16
16nh_0079979,16
16nh_0080469,16
16nh_0082807,16
16nh_0082921,16
16nh_0082922,16
16nh_0083120,16
16nh_0083791,16
16nh_0084018,16
16nh_0084414,16
16nh_0084949,16
16nh_0085751,16
16nh_0087086,16
16nh_0088234,16
16nh_0088647,16
16nh_0089325,16
16nh_0090730,16
16nh_0090731,16
16nh_0091571,16
16nh_0091572,16
16nh_0092197,16
16nh_0092508,16
16nh_0095867,16
16nh_0096035,16
16nh_0096912,16
16nh_0098000,16
16nh_0098001,16
16nh_0098709,16
16nh_0100191,16
16nh_0100192,16
16nh_0102738,16
16nh_0104260,16
16nh_0104261,16
16nh_0104688,16
16nh_0104894,16
16nh_0105775,16
16nh_0108912,16
16nh_0109262,16
16nh_0109461,16
16nh_0113091,16
16nh_0115365,16
16nh_0115413,16
16nh_0116993,16
16nh_0116994,16
16nh_0117249,16
16nh_0118536,16
16nh_0118535,16
16nh_0119356,16
16nh_0119611,16
16nh_0119612,16
16nh_0121748,16
16nh_0122827,16
16nh_0123358,16
16nh_0123750,16
16nh_0131128,16
16nh_0131127,16
16nh_0132480,16
16nh_0135823,16
16nh_0136203,16
16nh_0136684,16
16nh_0136683,16
16nh_0137070,16
16nh_0137071,16
16nh_0137892,16
16nh_0137893,16
16nh_0139068,16
16nh_0141612,16
16nh_0144527,16
16nh_0144528,16
16nh_0145560,16
16nh_0145772,16
16nh_0146597,16
16nh_0147824,16
16nh_0148510,16
16nh_0151008,16
16nh_0152603,16
16nh_0155552,16
16nh_0155553,16
16nh_0155750,16
16nh_0155749,16
16nh_0156688,16
16nh_0157281,16
16nh_0161356,16
16nh_0161355,16
16nh_0168963,16
16nh_0168964,16
16nh_0169487,16
16nh_0169905,16
16nh_0169906,16
16nh_0169908,16
16nh_0169907,16
16nh_0172489,16
16nh_0172490,16
16nh_0172488,16
16nh_0172491,16
16nh_0176089,16
16nh_0177673,16
16nh_0177697,16
16nh_0178155,16
16nh_0178961,16
16nh_0178962,16
16nh_0182252,16
16nh_0186007,16
16nh_0186008,16
16nh_0186748,16
16nh_0187373,16
16nh_0187372,16
16nh_0193548,16
16nh_0193547,16
16nh_0193813,16
16nh_0198613,16
16nh_0198612,16
16nh_0200725,16
16nh_0203652,16
16nh_0203651,16
16nh_0205319,16
16nh_0219276,16
16nh_0219277,16
16nh_0221661,16
16nh_0222166,16
16nh_0225245,16
16nh_0225244,16
16nh_0225246,16
16nh_0225247,16
16nh_0236350,16
16nh_0236351,16
16nh_0236796,16
16nh_0238496,16
16nh_0239194,16
16nh_0239808,16
16nh_0246808,16
16nh_0246807,16
16nh_0248090,16
16nh_0248089,16
16nh_0257315,16
16nh_0257316,16
16nh_0264780,16
16nh_0264781,16
16nh_0270137,16
16nh_0272027,16
16nh_0272029,16
16nh_0272028,16
16nh_0272521,16
16nh_0272610,16
16nh_0272986,16
16nh_0272985,16
16nh_0273540,16
16nh_0273541,16
16nh_0274158,16
16nh_0274159,16
16nh_0274160,16
16nh_0274161,16
16nh_0275690,16
16nh_0275691,16
16nh_0278774,16
16nh_0279092,16
16nh_0279598,16
16nh_0279599,16
16nh_0279597,16
16nh_0279596,16
16nh_0281205,16
16nh_0281206,16
16nh_0287079,16
16nh_0291040,16
16nh_0291039,16
16nh_0292018,16
16nh_0292019,16
16nh_0302259,16
16nh_0303577,16
16nh_0303578,16
16nh_0303579,16
16nh_0303576,16
16nh_0315295,16
16nh_0319059,16
16nh_0324710,16
16nh_0324709,16
16nh_0326368,16
16nh_0326370,16
16nh_0326367,16
16nh_0326369,16
16nh_0332427,16
16nh_0332579,16
16nh_0338233,16
16nh_0338234,16
16nh_0345724,16
16nh_0346610,16
16nh_0346611,16
16nh_0347917,16
16nh_0347918,16
16nh_0348626,16
16nh_0352091,16
16nh_0352092,16
16nh_0352240,16
16nh_0352239,16
16nh_0356526,16
16nh_0360070,16
16nh_0362852,16
16nh_0364632,16
16nh_0367311,16
16nh_0367312,16
16nh_0371017,16
16nh_0371089,16
16nh_0371090,16
16nh_0375472,16
16nh_0375473,16
16nh_0380415,16
16nh_0381159,16
16nh_0385907,16
16nh_0385908,16
16nh_0387191,16
16nh_0390178,16
16nh_0390177,16
16nh_0394966,16
16nh_0394967,16
16nh_0396284,16
16nh_0400194,16
16nh_0400195,16
16nh_0404338,16
16nh_0404339,16
16nh_0404337,16
16nh_0404340,16
16nh_0410013,16
16nh_0413143,16
16nh_0419120,16
16nh_0420451,16
16nh_0423693,16
16nh_0423694,16
16nh_0423695,16
16nh_0423692,16
16nh_0428242,16
16nh_0434693,16
16nh_0441056,16
16nh_0445156,16
16nh_0445155,16
16nh_0450938,16
16nh_0453069,16
16nh_0453070,16
16nh_0453067,16
16nh_0453068,16
16nh_0456668,16
16nh_0456669,16
16nh_0457153,16
16nh_0457729,16
16nh_0457987,16
16nh_0461209,16
16nh_0463523,16
16nh_0463982,16
16nh_0466245,16
16nh_0467362,16
16nh_0467413,16
16nh_0467809,16
16nh_0467810,16
16nh_0467811,16
16nh_0467812,16
16nh_0469370,16
16nh_0469371,16
16nh_0471529,16
16nh_0472051,16
16nh_0474144,16
16nh_0474145,16
16nh_0477654,16
16nh_0477655,16
16nh_0483102,16
16nh_0483103,16
16nh_0496224,16
16nh_0496223,16
16nh_0509447,16
16nh_0509446,16
16nh_0511813,16
16nh_0511812,16
16nh_0529222,16
16nh_0529221,16
16nh_0530762,16
16nh_0533073,16
16nh_0533072,16
16nh_0533074,16
16nh_0533071,16
16nh_0534244,16
16nh_0534969,16
16nh_0534968,16
16nh_0537235,16
16nh_0537238,16
16nh_0537237,16
16nh_0537236,16
16nh_0537724,16
16nh_0541119,16
16nh_0541120,16
16nh_0552126,16
16nh_0552127,16
16nh_0553283,16
16nh_0553284,16
16nh_0555088,16
16nh_0555087,16
16nh_0555403,16
16nh_0558593,16
16nh_0558594,16
16nh_0568851,16
16nh_0571092,16
16nh_0571093,16
16nh_0571088,16
16nh_0571094,16
16nh_0571091,16
16nh_0575412,16
16nh_0578088,16
16nh_0583648,16
16nh_0584703,16
16nh_0584702,16
16nh_0584701,16
16nh_0584704,16
16nh_0587680,16
16nh_0587681,16
16nh_0589194,16
16nh_0622329,16
16nh_0622330,16
16nh_0625031,16
16nh_0625033,16
16nh_0625030,16
16nh_0625032,16
16nh_0625417,16
16nh_0626774,16
16nh_0627429,16
16nh_0627430,16
16nh_0635104,16
16nh_0635105,16
16nh_0640502,16
16nh_0640501,16
16nh_0652215,16
16nh_0652214,16
16nh_0663989,16
16nh_0663992,16
16nh_0663995,16
16nh_0663991,16
16nh_0663990,16
16nh_0663993,16
16nh_0663994,16
16nh_0663988,16
