name,crossings
9_20,9
16nh_0004947,16
16nh_0005096,16
16nh_0007663,16
16nh_0007944,16
16nh_0007945,16
16nh_0008293,16
16nh_0008294,16
16nh_0008570,16
16nh_0009077,16
16nh_0009900,16
16nh_0010924,16
16nh_0011487,16
16nh_0011797,16
16nh_0012569,16
16nh_0013885,16
16nh_0014161,16
16nh_0015649,16
16nh_0015650,16
16nh_0016557,16
16nh_0017749,16
16nh_0020794,16
16nh_0020879,16
16nh_0021263,16
16nh_0021262,16
16nh_0021669,16
16nh_0022655,16
16nh_0024030,16
16nh_0026310,16
16nh_0027279,16
16nh_0027843,16
16nh_0027897,16
16nh_0028975,16
16nh_0029043,16
16nh_0030359,16
16nh_0030508,16
16nh_0034360,16
16nh_0035039,16
16nh_0035831,16
16nh_0037185,16
16nh_0037328,16
16nh_0037599,16
16nh_0039440,16
16nh_0039441,16
16nh_0040770,16
16nh_0041791,16
16nh_0042100,16
16nh_0042525,16
16nh_0044377,16
16nh_0044467,16
16nh_0044466,16
16nh_0045070,16
16nh_0045526,16
16nh_0045566,16
16nh_0047815,16
16nh_0049113,16
16nh_0049224,16
16nh_0051253,16
16nh_0051254,16
16nh_0051255,16
16nh_0051256,16
16nh_0051909,16
16nh_0052787,16
16nh_0052814,16
16nh_0055564,16
16nh_0055563,16
16nh_0056542,16
16nh_0059819,16
16nh_0060194,16
16nh_0060292,16
16nh_0060293,16
16nh_0065083,16
16nh_0069512,16
16nh_0069513,16
16nh_0070238,16
16nh_0070239,16
16nh_0070751,16
16nh_0071064,16
16nh_0071065,16
16nh_0071254,16
16nh_0078705,16
16nh_0079789,16
16nh_0079790,16
16nh_0080823,16
16nh_0081059,16
16nh_0085024,16
16nh_0085661,16
16nh_0088653,16
16nh_0088906,16
16nh_0089923,16
16nh_0095438,16
16nh_0097119,16
16nh_0097208,16
16nh_0097676,16
16nh_0098521,16
16nh_0101926,16
16nh_0103722,16
16nh_0105165,16
16nh_0110216,16
16nh_0115855,16
16nh_0117781,16
16nh_0122776,16
16nh_0124455,16
16nh_0126728,16
16nh_0129003,16
16nh_0129479,16
16nh_0133763,16
16nh_0133832,16
16nh_0135036,16
16nh_0136439,16
16nh_0139665,16
16nh_0143690,16
16nh_0147082,16
16nh_0149934,16
16nh_0153643,16
16nh_0155256,16
16nh_0155257,16
16nh_0156804,16
16nh_0159682,16
16nh_0160650,16
16nh_0160828,16
16nh_0160827,16
16nh_0161696,16
16nh_0164354,16
16nh_0164353,16
16nh_0164971,16
16nh_0164972,16
16nh_0166292,16
16nh_0171840,16
16nh_0174745,16
16nh_0180269,16
16nh_0182470,16
16nh_0183509,16
16nh_0184097,16
16nh_0189225,16
16nh_0193521,16
16nh_0193522,16
16nh_0193796,16
16nh_0194615,16
16nh_0194614,16
16nh_0199488,16
16nh_0204834,16
16nh_0205734,16
16nh_0207457,16
16nh_0211325,16
16nh_0222405,16
16nh_0231739,16
16nh_0232824,16
16nh_0232825,16
16nh_0240359,16
16nh_0241889,16
16nh_0243556,16
16nh_0256943,16
16nh_0258795,16
16nh_0258922,16
16nh_0259728,16
16nh_0260945,16
16nh_0265136,16
16nh_0265137,16
16nh_0267634,16
16nh_0268913,16
16nh_0271826,16
16nh_0271827,16
16nh_0279375,16
16nh_0279374,16
16nh_0283688,16
16nh_0293640,16
16nh_0305235,16
16nh_0308799,16
16nh_0310573,16
16nh_0322814,16
16nh_0325586,16
16nh_0334424,16
16nh_0334425,16
16nh_0339433,16
16nh_0340869,16
16nh_0343925,16
16nh_0360744,16
16nh_0379908,16
16nh_0383456,16
16nh_0384651,16
16nh_0396112,16
16nh_0396113,16
16nh_0406585,16
16nh_0412440,16
16nh_0412439,16
16nh_0412441,16
16nh_0412442,16
16nh_0441243,16
16nh_0441244,16
16nh_0446549,16
16nh_0446550,16
16nh_0446700,16
16nh_0451487,16
16nh_0451488,16
16nh_0461171,16
16nh_0461172,16
16nh_0474100,16
16nh_0479873,16
16nh_0479874,16
16nh_0499781,16
16nh_0525002,16
16nh_0534348,16
16nh_0538078,16
16nh_0554308,16
16nh_0554309,16
16nh_0554310,16
16nh_0554311,16
16nh_0554312,16
16nh_0554313,16
16nh_0554314,16
16nh_0554315,16
16nh_0578578,16
16nh_0610450,16
16nh_0668660,16
16nh_0690300,16
16nh_0773109,16
