knot,crossings
9_15,9
16nh_0001609,16
16nh_0003825,16
16nh_0005840,16
16nh_0005841,16
16nh_0006833,16
16nh_0007225,16
16nh_0008596,16
16nh_0008678,16
16nh_0010242,16
16nh_0011890,16
16nh_0016481,16
16nh_0016482,16
16nh_0016732,16
16nh_0017991,16
16nh_0020066,16
16nh_0021245,16
16nh_0022525,16
16nh_0022524,16
16nh_0022967,16
16nh_0025137,16
16nh_0025341,16
16nh_0025799,16
16nh_0026630,16
16nh_0026888,16
16nh_0027095,16
16nh_0028159,16
16nh_0030706,16
16nh_0033603,16
16nh_0033652,16
16nh_0035121,16
16nh_0036323,16
16nh_0037556,16
16nh_0037557,16
16nh_0038066,16
16nh_0040582,16
16nh_0042542,16
16nh_0045853,16
16nh_0045854,16
16nh_0045855,16
16nh_0045856,16
16nh_0048854,16
16nh_0053810,16
16nh_0053906,16
16nh_0053907,16
16nh_0056629,16
16nh_0058290,16
16nh_0060622,16
16nh_0061939,16
16nh_0061940,16
16nh_0067392,16
16nh_0070405,16
16nh_0070407,16
16nh_0070406,16
16nh_0075580,16
16nh_0078958,16
16nh_0080729,16
16nh_0085334,16
16nh_0085697,16
16nh_0085749,16
16nh_0093233,16
16nh_0094272,16
16nh_0094273,16
16nh_0097649,16
16nh_0099904,16
16nh_0106523,16
16nh_0111811,16
16nh_0112692,16
16nh_0113279,16
16nh_0114477,16
16nh_0118805,16
16nh_0123416,16
16nh_0123417,16
16nh_0130220,16
16nh_0131790,16
16nh_0135345,16
16nh_0144568,16
16nh_0145087,16
16nh_0145413,16
16nh_0147025,16
16nh_0147689,16
16nh_0149945,16
16nh_0151219,16
16nh_0151855,16
16nh_0152391,16
16nh_0152392,16
16nh_0152753,16
16nh_0156139,16
16nh_0156140,16
16nh_0163704,16
16nh_0168464,16
16nh_0168852,16
16nh_0168851,16
16nh_0176537,16
16nh_0178733,16
16nh_0180972,16
16nh_0187435,16
16nh_0191282,16
16nh_0192816,16
16nh_0194750,16
16nh_0194751,16
16nh_0195241,16
16nh_0201478,16
16nh_0202049,16
16nh_0202048,16
16nh_0214221,16
16nh_0236733,16
16nh_0240511,16
16nh_0269439,16
16nh_0288652,16
16nh_0289763,16
16nh_0300685,16
16nh_0301637,16
16nh_0311899,16
16nh_0311900,16
16nh_0312128,16
16nh_0313620,16
16nh_0323316,16
16nh_0333886,16
16nh_0358049,16
16nh_0362482,16
16nh_0365040,16
16nh_0401355,16
16nh_0403804,16
16nh_0466162,16
16nh_0478198,16
16nh_0490448,16
16nh_0493464,16
16nh_0548628,16
16nh_0575668,16
16nh_0575667,16
16nh_0657567,16
16nh_0690467,16
