name,crossings,dt_code
8_6,8,
16nh_0000362,16,kieocbjaLgfMHpdn
16nh_0000508,16,enHokGLJBMpaFIcd
16nh_0000642,16,mOKiALBjdngFpChE
16nh_0001231,16,lhOgidKbeMFpNJAC
16nh_0002414,16,gfjONabILPeMHKDC
16nh_0002725,16,dOmnGKJABLFEpcHI
16nh_0002834,16,dmlkFIponEhcbajg
16nh_0003154,16,kGIpMBJlEFoNhDac
16nh_0003206,16,fIHNMaCkPlgoEDjB
16nh_0003603,16,cknFIJPOMLaEDbHG
16nh_0003863,16,nlOjIhBaMPcgFeKD
16nh_0004584,16,eIoKaJMFBPDNGLcH
16nh_0004675,16,keoijaLPNdbMGFcH
16nh_0005529,16,eHnmiGLJdAOFpcbK
16nh_0005633,16,mlGipkjNdcfoaHBe
16nh_0005745,16,chpMjdLKaeNOFIGb
16nh_0005746,16,nFEjPBMOkdhiGaLC
16nh_0006411,16,hopKJIMaFEDCGLbn
16nh_0007012,16,gLNKOMaEDpiCFBHj
16nh_0012189,16,keonHpLJDMaGFIbc
16nh_0013126,16,honpJILaFEDGKcbm
16nh_0014115,16,kFIHonLJCBpMGAed
16nh_0014169,16,mJKGlCPEaNBhdOIF
16nh_0016116,16,iEjGBHmDoNcPfKaL
16nh_0016230,16,lFIEOCKJMBGaNHPD
16nh_0018147,16,fLpNjbHOKeMAIDGc
16nh_0018323,16,gKonpJdILEBMHacf
16nh_0021739,16,lgfkpjbaMOcdNIHe
16nh_0022975,16,gNfLHobJDMpEIACk
16nh_0023938,16,ehnKpGJMbFDOIaLC
16nh_0026145,16,mhKNajolDpgBeICf
16nh_0026394,16,jimLpKnCoaFEHgbd
16nh_0026654,16,eoHlmGJKBnFpdaic
16nh_0030101,16,dmFaGjCPLeNIObKH
16nh_0031421,16,eLfKiHcNApoBDjGm
16nh_0036211,16,dIpnGKJAMEFboHcl
16nh_0038428,16,jfhmObKancLGpiED
16nh_0040477,16,iGOBpKdMaLNEHJCf
16nh_0042386,16,hnKopILaFECGJdbm
16nh_0044646,16,dIlpFNMKBGOHaEJc
16nh_0046075,16,emlHbGJNCFpodaIk
16nh_0046287,16,mEpjAIOkFNcgbDHl
16nh_0050833,16,mOLiABJKdnGFpChE
16nh_0051056,16,dkomJILNEFaHpbGc
16nh_0051596,16,ldgpKMJbFOHaNEIc
16nh_0052890,16,enoIbGJKCMFpHadl
16nh_0055420,16,elnmjHIKFapGocbd
16nh_0055421,16,cepKJaDNMOFGIHLb
16nh_0058160,16,njkIHmlODPbfgaEC
16nh_0064364,16,gpMJoNaILBEFHCKd
16nh_0065905,16,gonmpLaIKEFHJcbd
16nh_0065906,16,foapJcMLKNDHGIbe
16nh_0069354,16,gNfMHobJLDpEIACk
16nh_0072541,16,mfKNHLaEJPDBgOCI
16nh_0075455,16,lCGKHOEBJMDaNIPF
16nh_0076710,16,mNkiHpJAObFceGDl
16nh_0077144,16,hdjpomlaKNcgfIeb
16nh_0079085,16,doHaGJLNBEMpFIck
16nh_0079260,16,kfOIMaNBJCpDELGH
16nh_0080833,16,eNMHpIDlFCOgJBAK
16nh_0083620,16,cjgEHokaDnbMPfiL
16nh_0086026,16,fdIokpMLNCHeGJba
16nh_0086999,16,hJEOKBlpNMCgfIAD
16nh_0089499,16,gfnJoblIMKCpaHed
16nh_0097407,16,mfknHIpbELoDaJcg
16nh_0117394,16,eloIpKJnDHFbacgm
16nh_0126941,16,cmfEJpbolnDihakg
16nh_0133692,16,ioFnJDBKmELGpach
16nh_0135081,16,cgmENPkblfOhiaDJ
16nh_0148391,16,kjaNHLPEObiMFDCG
16nh_0151532,16,iepLbonKaMGJChfd
16nh_0151533,16,kfpoHNaELDbMIGjc
16nh_0152679,16,dIKoHMLJAENBFGpc
16nh_0152872,16,dNGpHClEBMOfJIAK
16nh_0159252,16,kLFMIBCAoDnGEphj
16nh_0159877,16,jenmiaKOGbLFpcdH
16nh_0163153,16,doGkFMJBLNpaIEHc
16nh_0166103,16,nimGOPCDbaFEhjLK
16nh_0169573,16,lfNPMhKbaoGiEDjC
16nh_0170525,16,edibmGNPlchOjaFK
16nh_0180868,16,dgJaMNcplBohkFEi
16nh_0182753,16,jFKhniAmogLBpedc
16nh_0184144,16,ifKopcHMaLBNGJed
16nh_0196052,16,eOJMaCinfgPBDhLK
16nh_0196053,16,eOGJaClPBDmnfkIH
16nh_0201571,16,ehpLbJNamOgiDkFc
16nh_0203036,16,bfKILgamoCNEDpJh
16nh_0204036,16,cFoHLBiDnMEpJgak
16nh_0205666,16,hoMGBCKpDlFijEan
16nh_0205669,16,jCPFGOImDaEnkhlB
16nh_0205667,16,eoMHpLiCfgBDJKan
16nh_0205668,16,iOEkGHNCaFmdjlPB
16nh_0213175,16,lHMjiopeBdgfNCAk
16nh_0221247,16,mhlgJIpkaNObcFED
16nh_0241297,16,coaEINJMDLFpHGbk
16nh_0241298,16,hngpJLcbKDIMEoaf
16nh_0241461,16,mNGHkAOCBFpdjEIl
16nh_0241638,16,hEKonILpMFGBJAdc
16nh_0256105,16,nHdjmPLBOaceGkIF
16nh_0266648,16,kFLihjAenogMBpdc
16nh_0272700,16,fNopHcIKDMGBAJLe
16nh_0273199,16,kMpibLANGocEFHdj
16nh_0282517,16,hOJGIlDaFCNePKBM
16nh_0283976,16,kfgONIbpcMaDEJLh
16nh_0284617,16,mlHPBIaDEONfgKJC
16nh_0302938,16,lEGMHkjNApoiDCBf
16nh_0303164,16,eghbpJLcaMNOIFKd
16nh_0303165,16,dnopHIMKEacFGLbj
16nh_0319333,16,dgpbKNLaFMOHJIEc
16nh_0319334,16,gnfoIcmKLDHJpbae
16nh_0333221,16,jdmhiaKObeLFPcGN
16nh_0337305,16,keiopbdNcMaGHJLf
16nh_0360993,16,ljkiPDMaonbhGFcE
16nh_0368593,16,fdGnioCKMeHPJbaL
16nh_0377819,16,dnoaFKcbMPEJHIgL
16nh_0383646,16,jFKPONBCamHGEiLD
16nh_0385139,16,enHojIKCFapGdbml
16nh_0400061,16,iLngopKdeMFBJAch
16nh_0412047,16,foKHmnIJBLCGpead
16nh_0412048,16,cgnKILboDEMHJpaf
16nh_0412049,16,doklGHMJNEpcaIFb
16nh_0412050,16,cfnKILoaDEMHJpgb
16nh_0428430,16,doipKJLnFcEHbagm
16nh_0457208,16,cfpLNKaDMHOGIJEb
16nh_0457209,16,cfpKHJaDLMOGNIEb
16nh_0486990,16,jKifhopLenMBGAcd
16nh_0493875,16,ncejbHMFKPdOGaLI
16nh_0493876,16,kciaNHpjEbgMODLf
16nh_0498143,16,fDHABkNClopeijGm
16nh_0498144,16,fopiLaDJcMNEGHKb
16nh_0520519,16,lfpIobNKMCHaJGde
16nh_0530344,16,djgaFMcLObPHEKIN
16nh_0530923,16,nelObamkfPgchiDJ
16nh_0567909,16,dkpbHMLOFNGaIEJc
16nh_0567910,16,dnjlHIMEGpocaFkb
16nh_0575921,16,cmkEJNIlODpbhaFG
16nh_0624597,16,hfpMJboaLCNIKDge
16nh_0624598,16,geHLoanKCMIBJpfd
16nh_0624599,16,cljGNIEMFpboaDHk
16nh_0624600,16,jcoiaLNKpdMGEHFb
16nh_0638841,16,njimhObcegaPdkFL
16nh_0728133,16,nfgPaimjelOhbdKC
16nh_0749904,16,cnlHJKODmGPFaibE
16nh_0763779,16,dcioMKNLFbpHEGaj
16nh_0763781,16,geLIoanKJCMBHpfd
16nh_0763782,16,jpoibNKMcaGEHFLd
16nh_0763780,16,chnLJMKEboGDFapi
16nh_0960253,16,jghMKLopfaDNCEib
16nh_0960254,16,chjMOKLEbpaNDFGi
16nh_0960255,16,jfhMKLopbgDNCEai
16nh_0960256,16,cjkMGLNabohpFDEi
17nh_0000792,17,nEDQBMLKJOHGFaPIC
17nh_0001919,17,nMlPjCbOAqdfGiHEk
17nh_0002798,17,hOgfmdcqJLnIekPAB
17nh_0002799,17,dMLoFHjEngAPBiqKc
17nh_0004358,17,hNfqKApcEmiDOjBLg
17nh_0004801,17,cLpEHkNDQOfAjGMbI
17nh_0008700,17,hOdgqlacJMfPIeBKN
17nh_0009346,17,ogMqiclNePHBfKaJd
17nh_0010547,17,hgkIQPLaJDnoFcbmE
17nh_0011337,17,oihmjCqfbNdPKeaLg
17nh_0016129,17,jpEqMBlfOaNgkDIHc
17nh_0016229,17,hEmlpjNqOfiGcbKAd
17nh_0017237,17,dpmqOieLNfacHbGJk
17nh_0018379,17,eMPiaGJdNFloQHckB
17nh_0019475,17,dpIaHkeMCOfNQGJbL
17nh_0019693,17,fPOhKqLdgEnIAjCBM
17nh_0020020,17,hgfLOqbaJMEpIckDn
17nh_0020129,17,cOiEHJnDqaGmpkfBl
17nh_0020146,17,jDhFnBqcMaLPOeIKg
17nh_0020384,17,emiPbHKLQdONaGFJC
17nh_0025243,17,liEPOKJMFaHbNGQDC
17nh_0025833,17,inKAmjOPdLfCqHbGE
17nh_0025886,17,ePJMqKofCNHADIBgL
17nh_0026298,17,gLfqncbKMPOAHeIJd
17nh_0028409,17,glPkFNqOmhdbijEAC
17nh_0029278,17,kpHGQBCDFnaMOjLiE
17nh_0029279,17,conEGiDlfPmhkqabJ
17nh_0030215,17,eHINaCkmQlofpDgjB
17nh_0035739,17,lkepoHJMbaFiNGqdc
17nh_0036604,17,egomqLKaFPNHdIbJc
17nh_0037102,17,oHlKGnIAEmPQjfbDC
17nh_0038116,17,oJPGkaQCmneBilfDH
17nh_0038328,17,djFaGnCQPLbOIeKMH
17nh_0038775,17,knFqiBjeOgcMPaHLd
17nh_0040547,17,dqlaHjeMPfONbGKIc
17nh_0040548,17,hcpqKOMaLniDGjFEb
17nh_0043893,17,kGHMqpJBLDoNCIAfe
17nh_0045940,17,cnhEKQPFbOLDJIaMG
17nh_0046083,17,cojEGlDkNbqfPIMaH
17nh_0046084,17,bnDKQhilfPOCgJaME
17nh_0047576,17,mIHPClqeBKNafOJDg
17nh_0048640,17,oCIMJKqfnBEPDahLg
17nh_0049777,17,mHkNjQlBGecipODaF
17nh_0050757,17,jgqNHpbEmaLOiDKcf
17nh_0054519,17,olkfqdJPMGcbNIaHe
17nh_0055682,17,jEFKAOiLpnDMHqBCg
17nh_0056061,17,oFqJLBNDmhPGiEaKc
17nh_0056069,17,jNOKLqIDEpMGHABCf
17nh_0060610,17,gNfqLcbJmPoEikAhd
17nh_0061658,17,cMiENQPJaLOGBHDKF
17nh_0061758,17,jHKeplqBonMCfAigd
17nh_0062744,17,ihMpqJNcaFEOGBKLd
17nh_0067009,17,jflkIObPMqNcHDAGE
17nh_0068864,17,eNqKbHlPomDgjiAfc
17nh_0069177,17,ckmJpdQNOFaHGbLeI
17nh_0069732,17,jNipqLKObcGFEHAMd
17nh_0070515,17,imhoLaQcfKPNbEdJG
17nh_0073102,17,mgNQiKhafLPEdOCBJ
17nh_0074047,17,nFEIQBMPkDOhGaJLC
17nh_0074121,17,eLqIbGOkmDhAjPFNc
17nh_0074866,17,meIlacHPFBNqdOJKG
17nh_0077224,17,njLEOkaIQMfCBgPDH
17nh_0077255,17,gFnIqCkJDHAmopble
17nh_0077618,17,nhjEQlOaKcMfIbPGD
17nh_0079792,17,foqhKaIdlEngCpjbm
17nh_0080765,17,ePgKqLcfDonHAijBM
