knot,crossings
5_1,5
16nh_0000805,16
16nh_0001496,16
16nh_0001815,16
16nh_0001858,16
16nh_0002349,16
16nh_0002368,16
16nh_0003439,16
16nh_0003458,16
16nh_0003721,16
16nh_0003777,16
16nh_0003921,16
16nh_0003940,16
16nh_0003939,16
16nh_0004097,16
16nh_0005402,16
16nh_0007144,16
16nh_0007287,16
16nh_0007288,16
16nh_0007458,16
16nh_0007802,16
16nh_0007803,16
16nh_0007804,16
16nh_0007805,16
16nh_0008473,16
16nh_0009164,16
16nh_0009163,16
16nh_0011068,16
16nh_0012261,16
16nh_0013271,16
16nh_0013918,16
16nh_0014474,16
16nh_0014519,16
16nh_0014520,16
16nh_0015010,16
16nh_0015011,16
16nh_0015483,16
16nh_0017074,16
16nh_0020871,16
16nh_0021729,16
16nh_0021730,16
16nh_0023983,16
16nh_0025614,16
16nh_0027183,16
16nh_0027528,16
16nh_0029838,16
16nh_0030779,16
16nh_0030871,16
16nh_0030870,16
16nh_0032941,16
16nh_0033276,16
16nh_0033275,16
16nh_0036400,16
16nh_0036401,16
16nh_0036885,16
16nh_0037545,16
16nh_0037546,16
16nh_0038911,16
16nh_0043171,16
16nh_0043172,16
16nh_0043220,16
16nh_0043798,16
16nh_0043799,16
16nh_0046054,16
16nh_0049034,16
16nh_0050852,16
16nh_0050851,16
16nh_0053265,16
16nh_0056626,16
16nh_0061200,16
16nh_0062817,16
16nh_0064195,16
16nh_0066447,16
16nh_0068127,16
16nh_0072063,16
16nh_0072435,16
16nh_0077926,16
16nh_0077927,16
16nh_0078047,16
16nh_0078750,16
16nh_0080004,16
16nh_0084910,16
16nh_0088872,16
16nh_0089488,16
16nh_0089489,16
16nh_0093551,16
16nh_0093552,16
16nh_0093615,16
16nh_0097423,16
16nh_0099940,16
16nh_0103181,16
16nh_0104132,16
16nh_0107081,16
16nh_0107200,16
16nh_0107201,16
16nh_0109115,16
16nh_0110892,16
16nh_0117671,16
16nh_0117672,16
16nh_0117669,16
16nh_0117670,16
16nh_0120319,16
16nh_0122297,16
16nh_0122295,16
16nh_0122294,16
16nh_0122296,16
16nh_0124542,16
16nh_0127336,16
16nh_0137821,16
16nh_0146065,16
16nh_0146891,16
16nh_0151184,16
16nh_0153728,16
16nh_0154163,16
16nh_0157758,16
16nh_0161588,16
16nh_0161999,16
16nh_0163428,16
16nh_0165958,16
16nh_0169193,16
16nh_0172175,16
16nh_0175335,16
16nh_0182634,16
16nh_0186133,16
16nh_0197991,16
16nh_0201425,16
16nh_0201427,16
16nh_0201431,16
16nh_0201426,16
16nh_0201428,16
16nh_0201430,16
16nh_0201429,16
16nh_0201432,16
16nh_0201435,16
16nh_0201436,16
16nh_0201433,16
16nh_0201434,16
16nh_0207749,16
16nh_0211601,16
16nh_0217423,16
16nh_0217424,16
16nh_0221181,16
16nh_0221974,16
16nh_0221975,16
16nh_0230591,16
16nh_0232360,16
16nh_0236632,16
16nh_0236633,16
16nh_0255222,16
16nh_0260740,16
16nh_0264676,16
16nh_0272665,16
16nh_0287638,16
16nh_0303534,16
16nh_0306816,16
16nh_0325222,16
16nh_0327342,16
16nh_0344168,16
16nh_0345129,16
16nh_0393485,16
16nh_0406170,16
16nh_0437996,16
16nh_0438365,16
16nh_0456871,16
16nh_0458810,16
16nh_0474523,16
16nh_0475968,16
16nh_0486952,16
16nh_0489821,16
16nh_0489822,16
16nh_0500537,16
16nh_0501053,16
16nh_0501054,16
16nh_0518596,16
16nh_0518824,16
16nh_0525563,16
16nh_0525564,16
16nh_0525565,16
16nh_0525566,16
16nh_0554508,16
16nh_0555561,16
16nh_0555562,16
16nh_0591780,16
16nh_0591779,16
16nh_0632056,16
16nh_0632057,16
16nh_0731962,16
16nh_0749218,16
16nh_0749219,16
17nh_0000099,17
17nh_0000343,17
17nh_0001022,17
17nh_0001530,17
17nh_0001637,17
17nh_0001757,17
17nh_0002400,17
17nh_0002523,17
17nh_0002524,17
17nh_0002548,17
17nh_0002621,17
17nh_0002686,17
17nh_0002945,17
17nh_0002958,17
17nh_0003066,17
17nh_0003368,17
17nh_0003781,17
17nh_0005541,17
17nh_0005869,17
17nh_0006773,17
17nh_0007997,17
17nh_0007998,17
17nh_0008600,17
17nh_0008925,17
17nh_0009757,17
17nh_0009771,17
17nh_0009770,17
17nh_0010078,17
17nh_0011065,17
17nh_0011066,17
17nh_0013751,17
17nh_0013752,17
17nh_0015964,17
17nh_0016114,17
17nh_0016154,17
17nh_0016153,17
17nh_0016250,17
17nh_0018103,17
17nh_0018607,17
17nh_0019049,17
17nh_0019131,17
17nh_0019132,17
17nh_0019379,17
17nh_0019669,17
17nh_0019670,17
17nh_0020144,17
17nh_0021017,17
17nh_0021856,17
17nh_0023114,17
17nh_0023845,17
17nh_0023883,17
17nh_0024496,17
17nh_0024811,17
17nh_0024812,17
17nh_0024988,17
17nh_0024989,17
17nh_0025699,17
17nh_0027040,17
17nh_0027039,17
17nh_0027362,17
17nh_0027976,17
17nh_0027977,17
17nh_0028950,17
17nh_0028951,17
17nh_0031490,17
17nh_0031491,17
17nh_0033030,17
17nh_0033215,17
17nh_0033212,17
17nh_0033216,17
17nh_0033263,17
17nh_0034232,17
17nh_0035438,17
17nh_0036361,17
17nh_0037737,17
17nh_0037798,17
17nh_0039398,17
17nh_0040185,17
17nh_0041802,17
17nh_0041811,17
17nh_0042719,17
17nh_0044298,17
17nh_0044494,17
17nh_0044495,17
17nh_0044729,17
17nh_0046653,17
17nh_0046654,17
17nh_0047061,17
17nh_0047167,17
17nh_0047530,17
17nh_0047850,17
17nh_0049107,17
17nh_0051091,17
17nh_0051876,17
17nh_0052406,17
17nh_0054041,17
17nh_0055060,17
17nh_0055630,17
17nh_0055631,17
17nh_0057018,17
17nh_0057334,17
17nh_0058101,17
17nh_0058316,17
17nh_0059531,17
17nh_0060521,17
17nh_0062220,17
17nh_0062546,17
17nh_0062547,17
17nh_0062548,17
17nh_0062550,17
17nh_0062549,17
17nh_0062551,17
17nh_0065391,17
17nh_0065390,17
17nh_0067110,17
17nh_0067819,17
17nh_0069029,17
17nh_0069679,17
17nh_0070046,17
17nh_0070045,17
17nh_0071976,17
17nh_0072068,17
17nh_0072090,17
17nh_0074503,17
17nh_0075355,17
