name,crossings
9_26,9
16nh_0002491,16
16nh_0003273,16
16nh_0004140,16
16nh_0006053,16
16nh_0006336,16
16nh_0006924,16
16nh_0007790,16
16nh_0008231,16
16nh_0008341,16
16nh_0012447,16
16nh_0015070,16
16nh_0015616,16
16nh_0015617,16
16nh_0016299,16
16nh_0016298,16
16nh_0017639,16
16nh_0017692,16
16nh_0017913,16
16nh_0024083,16
16nh_0024814,16
16nh_0026989,16
16nh_0028649,16
16nh_0028650,16
16nh_0028873,16
16nh_0028911,16
16nh_0033736,16
16nh_0036689,16
16nh_0038229,16
16nh_0038809,16
16nh_0040479,16
16nh_0041812,16
16nh_0042349,16
16nh_0042351,16
16nh_0042352,16
16nh_0042350,16
16nh_0043785,16
16nh_0045449,16
16nh_0045448,16
16nh_0047368,16
16nh_0050906,16
16nh_0055069,16
16nh_0055383,16
16nh_0056142,16
16nh_0056143,16
16nh_0056204,16
16nh_0056687,16
16nh_0059424,16
16nh_0059425,16
16nh_0061570,16
16nh_0065089,16
16nh_0065177,16
16nh_0067531,16
16nh_0067532,16
16nh_0070006,16
16nh_0074732,16
16nh_0075486,16
16nh_0077913,16
16nh_0080720,16
16nh_0082986,16
16nh_0083466,16
16nh_0084076,16
16nh_0087254,16
16nh_0091892,16
16nh_0094255,16
16nh_0095759,16
16nh_0098040,16
16nh_0098342,16
16nh_0101260,16
16nh_0103409,16
16nh_0105536,16
16nh_0108136,16
16nh_0108711,16
16nh_0109366,16
16nh_0112429,16
16nh_0113984,16
16nh_0116828,16
16nh_0118743,16
16nh_0120574,16
16nh_0120573,16
16nh_0126175,16
16nh_0126683,16
16nh_0129331,16
16nh_0129332,16
16nh_0129333,16
16nh_0129334,16
16nh_0129765,16
16nh_0129766,16
16nh_0130304,16
16nh_0130422,16
16nh_0138288,16
16nh_0139446,16
16nh_0140797,16
16nh_0142478,16
16nh_0144455,16
16nh_0149306,16
16nh_0149307,16
16nh_0152662,16
16nh_0158455,16
16nh_0162192,16
16nh_0177775,16
16nh_0179959,16
16nh_0181629,16
16nh_0202267,16
16nh_0202266,16
16nh_0202269,16
16nh_0202268,16
16nh_0219941,16
16nh_0220621,16
16nh_0231283,16
16nh_0236034,16
16nh_0245946,16
16nh_0258971,16
16nh_0258972,16
16nh_0265015,16
16nh_0267577,16
16nh_0269587,16
16nh_0275033,16
16nh_0275593,16
16nh_0300124,16
16nh_0311085,16
16nh_0321657,16
16nh_0331904,16
16nh_0336690,16
16nh_0346979,16
16nh_0352334,16
16nh_0356071,16
16nh_0359660,16
16nh_0359777,16
16nh_0359778,16
16nh_0364196,16
16nh_0367817,16
16nh_0368065,16
16nh_0370244,16
16nh_0370824,16
16nh_0375280,16
16nh_0379921,16
16nh_0384712,16
16nh_0386484,16
16nh_0386485,16
16nh_0391429,16
16nh_0396092,16
16nh_0396726,16
16nh_0405709,16
16nh_0425317,16
16nh_0446905,16
16nh_0448087,16
16nh_0450839,16
16nh_0451325,16
16nh_0451984,16
16nh_0458310,16
16nh_0458494,16
16nh_0458495,16
16nh_0459233,16
16nh_0495595,16
16nh_0504867,16
16nh_0509434,16
16nh_0512087,16
16nh_0531048,16
16nh_0539314,16
16nh_0539315,16
16nh_0539316,16
16nh_0539317,16
16nh_0561167,16
16nh_0576365,16
16nh_0580206,16
16nh_0599219,16
16nh_0599221,16
16nh_0599220,16
16nh_0599222,16
16nh_0599391,16
16nh_0599390,16
16nh_0608632,16
16nh_0620078,16
16nh_0620885,16
16nh_0628920,16
16nh_0631360,16
16nh_0631361,16
16nh_0633685,16
16nh_0633686,16
16nh_0675072,16
16nh_0681594,16
16nh_0683564,16
16nh_0696821,16
16nh_0706357,16
16nh_0706358,16
16nh_0734067,16
16nh_0748771,16
16nh_0809351,16
16nh_0822522,16
16nh_0826049,16
16nh_0826050,16
16nh_0826052,16
16nh_0826051,16
16nh_0831693,16
16nh_0831692,16
16nh_0898868,16
16nh_0898870,16
16nh_0898869,16
16nh_0898871,16
16nh_0898872,16
16nh_0898873,16
16nh_0898874,16
16nh_0898876,16
16nh_0898877,16
16nh_0898875,16
16nh_0898881,16
16nh_0898878,16
16nh_0898880,16
16nh_0898882,16
16nh_0898879,16
16nh_0898883,16
16nh_0910672,16
16nh_0910670,16
16nh_0910671,16
16nh_0910673,16
