knot,crossings
8_15,8
16nh_0000424,16
16nh_0001460,16
16nh_0001619,16
16nh_0004965,16
16nh_0006943,16
16nh_0008513,16
16nh_0009228,16
16nh_0009229,16
16nh_0009765,16
16nh_0011706,16
16nh_0015555,16
16nh_0016099,16
16nh_0017344,16
16nh_0017637,16
16nh_0017997,16
16nh_0019379,16
16nh_0019762,16
16nh_0021142,16
16nh_0022451,16
16nh_0022741,16
16nh_0022740,16
16nh_0026406,16
16nh_0031150,16
16nh_0034804,16
16nh_0036108,16
16nh_0036709,16
16nh_0040597,16
16nh_0043019,16
16nh_0050359,16
16nh_0055607,16
16nh_0057271,16
16nh_0059037,16
16nh_0060635,16
16nh_0060636,16
16nh_0060641,16
16nh_0064034,16
16nh_0077093,16
16nh_0077459,16
16nh_0080219,16
16nh_0083927,16
16nh_0097056,16
16nh_0097055,16
16nh_0102927,16
16nh_0103855,16
16nh_0109977,16
16nh_0113153,16
16nh_0115666,16
16nh_0116240,16
16nh_0118363,16
16nh_0123196,16
16nh_0129135,16
16nh_0137885,16
16nh_0147949,16
16nh_0175193,16
16nh_0182802,16
16nh_0207067,16
16nh_0207066,16
16nh_0212282,16
16nh_0213276,16
16nh_0223767,16
16nh_0223766,16
16nh_0225033,16
16nh_0225155,16
16nh_0225156,16
16nh_0225687,16
16nh_0229425,16
16nh_0235525,16
16nh_0237251,16
16nh_0242221,16
16nh_0249435,16
16nh_0252595,16
16nh_0255024,16
16nh_0257027,16
16nh_0287308,16
16nh_0287309,16
16nh_0298003,16
16nh_0307817,16
16nh_0308787,16
16nh_0331296,16
16nh_0331297,16
16nh_0335689,16
16nh_0335688,16
16nh_0389843,16
16nh_0392157,16
16nh_0446691,16
16nh_0458424,16
16nh_0458425,16
16nh_0464186,16
16nh_0468188,16
16nh_0562288,16
16nh_0566522,16
16nh_0669439,16
16nh_0669440,16
16nh_0781042,16
16nh_0805927,16
16nh_0805928,16
16nh_0809722,16
16nh_0809719,16
16nh_0809720,16
16nh_0809721,16
