group,invariant
"['K15n53176', 'K15n53741']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 5, 49), (0, 5, 5, 5, 7, 7, 16, 16, 49, 49, 49)): 1, (2, 2, (0, 401), (0, 401)): 1, (3, 3, (0, 7, 7, 16, 16), (0, 7, 7, 16, 16)): 1, (6, 24, (0, 3, 7, 7, 11, 16, 16), (0, 3, 3, 3, 5, 5, 5, 7, 7, 11, 11, 11, 32, 32, 49, 49, 49, 401)): 1, (4, 4, (0, 17, 17, 401), (0, 17, 17, 401)): 1, (5, 5, (0, 2, 2, 2, 2, 229, 229), (0, 2, 2, 2, 2, 229, 229)): 1, (6, 6, (0, 7, 7, 32, 32, 401), (0, 7, 7, 32, 32, 401)): 1, (6, 12, (0, 5, 7, 7, 16, 16, 49), (0, 5, 5, 5, 7, 7, 16, 16, 49, 49, 49)): 1}"
"['K15n121830', 'K15n123366']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 11, 49), (0, 11, 49)): 1, (6, 36, (0, 2, 8, 11, 49), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 7, 7, 8, 8, 8, 8, 11, 49, 173, 173, 173, 173)): 1, (6, 36, (0, 2, 2, 11, 49, 173), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 7, 7, 8, 8, 8, 8, 11, 49, 173, 173, 173, 173)): 1, (3, 3, (0, 149, 149), (0, 149, 149)): 1, (4, 4, (0, 3, 3, 7, 7, 11, 49), (0, 3, 3, 7, 7, 11, 49)): 1, (5, 5, (0, 631, 631), (0, 631, 631)): 1, (6, 6, (0, 11, 49, 149, 149), (0, 11, 49, 149, 149)): 1}"
"['K15n5231', 'K15n6178']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 97), (0, 97)): 1, (3, 3, (0, 43, 43), (0, 43, 43)): 1, (4, 4, (0, 13, 13, 97), (0, 13, 13, 97)): 1, (5, 5, (0, 281, 281), (0, 281, 281)): 1, (6, 6, (0, 43, 43, 97), (0, 43, 43, 97)): 1}"
"['K15n8672', 'K15n10289']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 11, 19), (0, 11, 19)): 1, (4, 4, (0, 11, 13, 13, 19), (0, 11, 13, 13, 19)): 1, (5, 5, (0, 121, 121), (0, 121, 121)): 1, (3, 3, (0, 73, 73), (0, 73, 73)): 1, (6, 6, (0, 11, 19, 73, 73), (0, 11, 19, 73, 73)): 1}"
"['K15n16953', 'K15n19930']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 79), (0, 79)): 1, (3, 3, (0, 37, 37), (0, 37, 37)): 1, (4, 4, (0, 13, 13, 79), (0, 13, 13, 79)): 1, (5, 5, (0,), (0,)): 1, (6, 6, (0, 37, 37, 79), (0, 37, 37, 79)): 1}"
"['K14n2154', 'K14n2067']","{(1, 1, (0,), (0,)): 1, (5, 60, (0, 3, 3), (0, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 5, 5, 5, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 31, 31, 31, 31, 31)): 1, (6, 60, (0, 2, 3, 3, 8, 31), (0, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 5, 5, 5, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 31, 31, 31, 31, 31)): 1, (2, 2, (0, 241), (0, 241)): 1, (3, 3, (0, 25, 25), (0, 25, 25)): 1, (4, 4, (0, 241), (0, 241)): 1, (5, 5, (0, 3, 3, 3, 3, 19, 19), (0, 3, 3, 3, 3, 19, 19)): 1, (6, 6, (0, 25, 25, 241), (0, 25, 25, 241)): 1}"
"['K15n2855', 'K15n1876']","{(1, 1, (0,), (0,)): 1, (3, 3, (0, 5, 5, 31, 31), (0, 5, 5, 31, 31)): 1, (2, 2, (0, 359), (0, 359)): 1, (5, 5, (0, 31, 31, 131, 131), (0, 31, 31, 131, 131)): 1, (4, 4, (0, 47, 47, 359), (0, 47, 47, 359)): 1, (6, 6, (0, 5, 5, 5, 5, 31, 31, 359), (0, 5, 5, 5, 5, 31, 31, 359)): 1}"
"['K15a58351', 'K15a59126']","{(1, 1, (0,), (0,)): 1, (2, 2, (0, 997), (0, 997)): 1, (4, 4, (0, 7, 7, 997), (0, 7, 7, 997)): 1, (5, 60, (0, 0, 4), (0, 0, 0, 0, 0, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8, 8, 9, 27, 27, 27, 27, 113, 113, 113, 113, 113, 829, 829, 829)): 1, (6, 60, (0, 4, 4, 9, 113), (0, 0, 0, 0, 0, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 8, 8, 8, 8, 9, 27, 27, 27, 27, 113, 113, 113, 113, 113, 829, 829, 829)): 1, (5, 5, (0, 961, 961), (0, 961, 961)): 1, (3, 3, (0, 109, 109), (0, 109, 109)): 1, (6, 6, (0, 109, 109, 997), (0, 109, 109, 997)): 1}"
"['K14a728', 'K14a493']","{(1, 1, (0,), (0,)): 1, (4, 12, (0, 2, 2, 9), (0, 2, 2, 2, 2, 2, 2, 4, 4, 9, 9, 9, 49, 49)): 1, (2, 2, (0, 13, 37), (0, 13, 37)): 1, (3, 3, (0, 4, 4, 49, 49), (0, 4, 4, 49, 49)): 1, (6, 12, (0, 2, 2, 4, 4, 9, 49, 49), (0, 2, 2, 2, 2, 2, 2, 4, 4, 9, 9, 9, 49, 49)): 1, (4, 4, (0, 13, 37, 53, 53), (0, 13, 37, 53, 53)): 1, (5, 5, (0, 5171, 5171), (0, 5171, 5171)): 1, (6, 6, (0, 4, 4, 4, 4, 13, 37, 49, 49), (0, 4, 4, 4, 4, 13, 37, 49, 49)): 1, (6, 24, (0, 2, 2, 8, 8, 9, 49, 49), (0, 2, 2, 2, 2, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 13, 32, 32, 37, 49, 49)): 1}"
"['K15a5499', 'K15a5416']","{(1, 1, (0,), (0,)): 1, (5, 10, (0, 2, 2, 2, 2, 5), (0, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 181)): 1, (2, 2, (0, 5, 181), (0, 5, 181)): 1, (3, 3, (0, 193, 193), (0, 193, 193)): 1, (4, 4, (0, 5, 17, 17, 181), (0, 5, 17, 17, 181)): 1, (5, 5, (0, 7, 7, 7, 7), (0, 7, 7, 7, 7)): 1, (6, 6, (0, 5, 181, 193, 193), (0, 5, 181, 193, 193)): 1}"
