knot,symmetry_group,verified,amphichiral
K11a24,0,True,False
K14n6225,0,True,False
K14n6227,0,True,False
K14n6229,0,True,False
K14n6231,0,True,False
K14n24739,0,True,False
K14n24744,Z/2,True,False
K14n24746,Z/2,True,False
K13n1918,0,True,False
K13n1919,0,True,False
K13n1922,0,True,False
K13n1924,Z/2,True,False
K15n127467,0,True,False
K15n19982,0,True,False
K15n127469,0,True,False
K15n137214,0,True,False
K15n127471,0,True,False
K15n137216,0,True,False
K15n137217,0,True,False
K15n43,0,True,False
K15n78052,0,True,False
K15n127478,0,True,False
K15n127479,0,True,False
K15n127480,0,True,False
K15n59251,0,True,False
K11a26,0,True,False
K11a28,0,True,False
K15n78053,0,True,False
K15n78054,0,True,False
K11a30,0,True,False
K15n127481,0,True,False
K15n78056,0,True,False
K13n1925,0,True,False
K13n1931,0,True,False
K13n1939,Z/2,True,False
K11a35,Z/2,True,False
K14n24750,0,True,False
K14n24754,0,True,False
K14n24772,0,True,False
K14n24774,0,True,False
K11a36,Z/2,True,False
K11a37,Z/2,True,False
K11a38,0,True,False
K13n1942,0,True,False
K13n1945,0,True,False
K13n1946,0,True,False
K13n1951,0,True,False
K13n1957,Z/2,True,False
K13n1964,Z/2,True,False
K13n1967,0,True,False
K13n1969,Z/2,True,False
K13n1971,Z/2,True,False
K15n127483,0,True,False
K15n127484,0,True,False
K15n127491,0,True,False
K11a39,Z/2,True,False
K11a44,Z/2,True,False
K15n68849,0,True,False
K15n68854,0,True,False
K15n68856,0,True,False
K11a47,Z/2 + Z/2,True,False
K11a52,0,True,False
K15n59258,0,True,False
K15n59270,0,True,False
K15n59273,Z/2,True,False
K15n59274,Z/2,True,False
K14n15193,0,True,False
K15n68863,0,True,False
K15n156786,0,True,False
K15n156787,0,True,False
K15n156789,0,True,False
K13n1982,0,True,False
K13n1984,Z/2,True,False
K15n107899,0,True,False
K15n107901,0,True,False
K15n68865,0,True,False
K15n68871,0,True,False
K15n68880,0,True,False
K13n1989,Z/2,True,False
K13n1990,0,True,False
K13n1994,Z/2,True,False
K13n1995,0,True,False
K13n2003,0,True,False
K13n2006,Z/2,True,False
K13n2010,0,True,False
K13n2015,Z/2 + Z/2,True,False
K14n24777,0,True,False
K14n24781,0,True,False
K15n156796,0,True,False
K15n156802,Z/2,True,False
K15n156804,0,True,False
K15n156806,0,True,False
K15n156810,Z/2,True,False
K15n156814,0,True,False
K15n107904,0,True,False
K14n24783,0,True,False
K13n2025,0,True,False
K13n2028,0,True,False
K13n2035,0,True,False
K14n15194,0,True,False
K13n2036,0,True,False
K11a56,Z/2,True,False
K11a58,Z/2,True,False
K11a67,0,True,False
K15n97281,0,True,False
K15a54453,0,True,False
K14n15197,0,True,False
K14n15199,0,True,False
K14n15200,0,True,False
K13n2043,0,True,False
K13n2044,0,True,False
K15n107906,0,True,False
K15n107908,0,True,False
K15n107910,0,True,False
K11a69,0,True,False
K15n107911,0,True,False
K15n40275,0,True,False
K15n117707,0,True,False
K13n2050,0,True,False
K13n2051,0,True,False
K13n2052,0,True,False
K15n9974,0,True,False
K14n24788,0,True,False
K15n9978,0,True,False
K14n24793,0,True,False
K14n24794,0,True,False
K14n24798,0,True,False
K15n40280,0,True,False
K15n40286,0,True,False
K15n40297,0,True,False
K13n2055,0,True,False
K15n40305,0,True,False
K13n2056,0,True,False
K13n2063,Z/2 + Z/2,True,False
K13n2069,0,True,False
K13n2070,0,True,False
K13n2071,0,True,False
K14n15203,0,True,False
K13n2081,0,True,False
K13n2082,0,True,False
K13n2084,0,True,False
K11a72,0,True,False
K14n15207,0,True,False
K15n97283,0,True,False
K13n2085,0,True,False
K15a54458,0,True,False
K13n2086,0,True,False
K14n15208,0,True,False
K15n156819,0,True,False
K14n24801,0,True,False
K15a54462,0,True,False
K15n156822,0,True,False
K15n156825,0,True,False
K15n78060,0,True,False
K15n78061,0,True,False
K15n156831,Z/2,True,False
K15n78062,0,True,False
K15n78063,0,True,False
K15n127496,0,True,False
K15n127498,0,True,False
K11a73,Z/2,True,False
K15n127500,0,True,False
K11a76,0,True,False
K13n2096,0,True,False
K13n2097,0,True,False
K13n2098,0,True,False
K13n2107,0,True,False
K13n2117,0,True,False
K13n2118,Z/2,True,False
K13n2119,Z/2,True,False
K13n2134,Z/2,True,False
K13n2137,Z/2,True,False
K13n2138,Z/2,True,False
K13n2139,0,True,False
K13n2140,0,True,False
K13n2143,0,True,False
K15n137222,0,True,False
K15n156832,Z/2,True,False
K15n156838,0,True,False
K15n78065,0,True,False
K15n78068,0,True,False
K15n78071,0,True,False
K13n2147,0,True,False
K13n2152,0,True,False
K13n2153,0,True,False
K11a80,0,True,False
K13n2158,0,True,False
K15n78072,0,True,False
K13n2160,0,True,False
K13n2169,0,True,False
K13n2173,0,True,False
K13n2176,Z/2,True,False
K13n2191,0,True,False
K13n2198,0,True,False
K13n2199,0,True,False
K13n2202,0,True,False
K13n2205,0,True,False
K13n2207,0,True,False
K13n2208,0,True,False
K13n2209,Z/2,True,False
K13n2215,0,True,False
K13n2218,0,True,False
K13n2223,0,True,False
K13n2225,0,True,False
K13n2226,0,True,False
K13n2230,0,True,False
K13n2244,0,True,False
K13n2247,0,True,False
K13n2248,0,True,False
K11a84,Z/2 + Z/2,True,False
K11a87,Z/2,True,False
K11a88,Z/2,True,False
K15n40312,0,True,False
K15n40321,0,True,False
K15n40327,0,True,False
K14n15214,0,True,False
K15n40328,Z/2,True,False
K15n40335,0,True,False
K15n40336,0,True,False
K15n40339,0,True,False
K15n40340,0,True,False
K15n40343,0,True,False
K15n40344,0,True,False
K15n40345,0,True,False
K13n2249,0,True,False
K13n2250,0,True,False
K13n2258,0,True,False
K15n78088,0,True,False
K13n2262,0,True,False
